theme_id,theme_type,theme_name,cell_id,route_item_id,bottleneck_status,feasibility,scarcity,substitutability,demand_evidence,supply_evidence,company_progress,canonical_point_ids,missing_evidence,source_ids,as_of
T011,topic,4x400G EML演示与未来3.2T路径,,,not_applicable,company_claim_only,insufficient,insufficient,,,CL018[corporate_author]:Lumentum博客称演示4x400G EML可插拔模块并将其作为未来8x400G 3.2T路径,,仅有公司官网技术演示；电话会未提及该具体3.2T路径,S_LITE_BLOG_20260430,2026-08-06
T012,topic,AI光学系统多维扩展约束,,,candidate,company_claim_only,insufficient,insufficient,,,CL016[corporate_author]:Lumentum技术作者提出AI光学生态需要同时应对带宽功耗散热可靠性制造和供应链问题；不视为已证实行业瓶颈,,公司技术作者提出的问题框架尚未由管理层逐项确认,S_LITE_BLOG_20260430,2026-08-06
T013,topic,CPO光源技术与商业化进度,C1,,solution_emerging,partially_supported,company_claim_only,insufficient,,CL023:Lumentum预计UHP CPO激光器在2026年12月季度产生有意义收入,CL019[corporate_author]:Lumentum博客称演示800mW超高功率激光器以支持更多光引擎功率分发; CL023[management]:Lumentum预计UHP CPO激光器在2026年12月季度产生有意义收入,,Lumentum预计UHP CPO光源在2026年12月季度产生有意义收入；尚未证明规模化部署,S_LITE_2026Q3;S_LITE_BLOG_20260430,2026-08-06
T014,solution,OCS生产瓶颈解除与双厂爬坡,,,solution_emerging,company_claim_only,partially_supported,insufficient,,CL031:Coherent称已解决OCS生产瓶颈并在两座工厂快速提高产出,CL031[management]:Coherent称已解决OCS生产瓶颈并在两座工厂快速提高产出,,Coherent称瓶颈已解除并开始快速爬坡；缺少下游部署量与独立供应商验证,S_COHR_2026Q3_C,2026-08-06
T015,topic,CPO精密光学封装商业进度,,,solution_emerging,company_claim_only,company_claim_only,insufficient,,,,,Fabrinet称已有少量收入并参与三家客户项目；尚无规模或部署量验证,,
T016,bottleneck,高速数通关键组件组合约束,,,candidate,partially_supported,partially_supported,insufficient,,CL032:Fabrinet称datacom组件与材料短缺使出货和收入显著低于需求; CL036:Arista称行业范围多类关键组件短缺且需求超过当年供给; CL066:Ciena称光子部件供应形成约束; CL068:Ciena称供应约束实际压低第一季度可实现收入,,,Fabrinet与Arista确认多组件约束；Ciena进一步确认photonics parts受限并压低收入。MACOM与IQE双方确认长期外延供应安排，但未披露技术份额产能或交付，因此只能证明企业在响应风险而不能证明卡点缓解,S_ANET_2026Q1_CALL;S_CIEN_2025Q4;S_CIEN_2026Q1;S_FN_2026Q3_C,2026-08-11
T017,topic,CPO商业化与采用阶段,,,solution_emerging,partially_supported,company_claim_only,insufficient,CL039:Arista称当时CPO仍偏实验且各供应商方案高度专有并把开放CPO放在数年后; CL069:Ciena预计Vesta样品于2026年第二季度可提供,CL023:Lumentum预计UHP CPO激光器在2026年12月季度产生有意义收入; CL026:Lumentum称scale-out CPO与OCS已有初始贡献但仍相对较小，scale-up CPO仍处早期; CL035:Fabrinet称已有少量CPO收入并正与三家客户推进项目; CL069:Ciena预计Vesta样品于2026年第二季度可提供,CL019[corporate_author]:Lumentum博客称演示800mW超高功率激光器以支持更多光引擎功率分发; CL023[management]:Lumentum预计UHP CPO激光器在2026年12月季度产生有意义收入; CL069[management]:Ciena预计Vesta样品于2026年第二季度可提供,,Lumentum与Fabrinet已有早期收入；Ciena发布Vesta 6.4T CPX而Credo收购DustPhotonics增加硅光能力，但均未证明客户样品量产或规模部署,S_ANET_2026Q1_CALL;S_CIEN_2026Q1;S_FN_2026Q3_C;S_LITE_2026Q3;S_LITE_2026Q3_C;S_LITE_BLOG_20260430,2026-08-11
T018,limited_demand,AI网络平台需求（非光学确认）,,,candidate,partially_supported,insufficient,insufficient,CL040:NVIDIA称Spectrum-X规模已超过其他以太网网络同行合计; CL041:NVIDIA称数据中心网络收入约150亿美元并同比接近三倍; CL045:Broadcom称FY2025Q3 AI收入同比增长63%至52亿美元；只作为非光学需求背景; CL046:Broadcom称FY2025Q4 AI半导体收入同比增长74%；不能换算光模块需求; CL047:Broadcom称FY2026Q1 AI收入84亿美元并同比增长106%；只作为非光学需求背景; CL048:Broadcom称FY2026Q2 AI半导体收入108亿美元并同比增长143%；不能换算光模块需求; CL058:Nokia称2026Q2 AI与云订单流入28亿欧元且销售额同比翻倍以上；只能作混合网络需求证据; CL061:Nokia预计约一半相关订单在未来十二个月转化为收入,,CL040[management]:NVIDIA称Spectrum-X规模已超过其他以太网网络同行合计; CL041[management]:NVIDIA称数据中心网络收入约150亿美元并同比接近三倍; CL061[management]:Nokia预计约一半相关订单在未来十二个月转化为收入,,NVIDIA网络收入与Broadcom AI半导体收入持续增长；Nokia报告混合网络订单，Marvell需求归因仅留研究底稿，所有口径均缺少可比光学份额,S_AVGO_2025Q3;S_AVGO_2025Q4;S_AVGO_2026Q1;S_AVGO_2026Q2;S_NOK_2026Q2;S_NVDA_2026Q1_CALL,2026-08-11
T019,limited_demand,800GbE与1.6T下游系统部署,,,candidate,partially_supported,insufficient,insufficient,CL037:Arista称800GbE累计部署客户已超过100家; CL038:Arista预计1.6T于2027年进入生产规模,,CL037[management]:Arista称800GbE累计部署客户已超过100家; CL038[management]:Arista预计1.6T于2027年进入生产规模,,Arista确认超过100个800GbE客户并预计1.6T在2027生产规模；未给出光模块数量或CPO比例,S_ANET_2026Q1_CALL,2026-08-06
T020,limited_demand,AI数据中心容量建设（非光学确认）,,,candidate,company_claim_only,insufficient,insufficient,CL042:Meta称Q1资本开支包含服务器数据中心与网络基础设施投资; CL043:Meta称将显著扩大自有数据中心版图并通过供应链协议锁定未来组件; CL044:Meta称多年期云协议的容量将在2026年与2027年陆续上线,,CL043[management]:Meta称将显著扩大自有数据中心版图并通过供应链协议锁定未来组件; CL044[management]:Meta称多年期云协议的容量将在2026年与2027年陆续上线,,Meta确认2026至2027容量建设但没有800G、1.6T、CPO、LPO或模块供应商披露,S_META_2026Q1_CALL,2026-08-06
T021,topic,相干光与AI数据中心互联采用阶段,,,solution_emerging,partially_supported,company_claim_only,insufficient,CL051:Nokia称800G ZR或ZR+相干可插拔已一般可用并开始向一家美国客户发货; CL053:Nokia称2025Q4 Optical Networks净销售额同比增长17%；不能视作单一模块出货; CL054:Nokia称2026Q1取得多项AI与云设计定点及可插拔和线路系统订单; CL056:Nokia预计相关产品在2027年中开始送样; CL059:Nokia称2026Q2在光网络和IP网络均取得长期订单；不能换算相干模块数量; CL062:Nokia预计相关产品在2027年下半年开始量产; CL063:Ciena称首个scale-across项目已开始产生收入出货; CL064:Ciena预计首个scale-across项目未来数季爬坡至数亿美元; CL065:Ciena称WL6 Nano 800G相干可插拔已进入初始收入出货; CL067:Ciena称首个hyperscaler追加多个集群订单; CL070:Ciena预计Hyper-Rail在2026年底开始标准化; CL071:Ciena预计Hyper-Rail于2027年开始爬坡; CL072:Ciena称获得首个Hyper-Rail多轨订单; CL073:Ciena称赢得大型hyperscaler相干模块项目,CL051:Nokia称800G ZR或ZR+相干可插拔已一般可用并开始向一家美国客户发货; CL056:Nokia预计相关产品在2027年中开始送样; CL062:Nokia预计相关产品在2027年下半年开始量产; CL063:Ciena称首个scale-across项目已开始产生收入出货; CL064:Ciena预计首个scale-across项目未来数季爬坡至数亿美元; CL065:Ciena称WL6 Nano 800G相干可插拔已进入初始收入出货; CL070:Ciena预计Hyper-Rail在2026年底开始标准化; CL071:Ciena预计Hyper-Rail于2027年开始爬坡,CL051[management]:Nokia称800G ZR或ZR+相干可插拔已一般可用并开始向一家美国客户发货; CL054[management]:Nokia称2026Q1取得多项AI与云设计定点及可插拔和线路系统订单; CL056[management]:Nokia预计相关产品在2027年中开始送样; CL059[management]:Nokia称2026Q2在光网络和IP网络均取得长期订单；不能换算相干模块数量; CL062[management]:Nokia预计相关产品在2027年下半年开始量产; CL063[management]:Ciena称首个scale-across项目已开始产生收入出货; CL064[management]:Ciena预计首个scale-across项目未来数季爬坡至数亿美元; CL065[management]:Ciena称WL6 Nano 800G相干可插拔已进入初始收入出货; CL067[management]:Ciena称首个hyperscaler追加多个集群订单; CL070[management]:Ciena预计Hyper-Rail在2026年底开始标准化; CL071[management]:Ciena预计Hyper-Rail于2027年开始爬坡; CL072[management]:Ciena称获得首个Hyper-Rail多轨订单; CL073[management]:Ciena称赢得大型hyperscaler相干模块项目,,Nokia已有首批发货与后续订单；Ciena从初始收入出货推进到hyperscaler追加集群订单及Hyper-Rail首单，但客户均未具名且供应仍未跟上需求,S_CIEN_2025Q3;S_CIEN_2025Q4;S_CIEN_2026Q1;S_CIEN_2026Q2;S_NOK_2025Q3;S_NOK_2025Q4;S_NOK_2026Q1;S_NOK_2026Q2,2026-08-11
