candidate_id,entity_name,entity_type,suggested_role,suggested_tier,priority,capability_scope,inclusion_reason,source_ref,verification_status,promoted_entity_id,reviewed_at,notes
CAND_MYCRONIC,Mycronic,company,upstream_enabler,quarterly,P2,EQ3/EQ4,高精度die bonding可观察封装节拍,https://www.mycronic.com/product-areas/die-bonding/,promoted,MYCRONIC,2026-08-13,两期正式材料均明确光通信设备需求
CAND_SUSS,SUSS MicroTec,company,upstream_enabler,watch,P2,EQ5,永久键合覆盖异质集成,https://www.suss.com/en/products-solutions/bonding-solutions/permanent-bonding?languageChanged=en,promoted,WATCH_SUSS,2026-08-13,正式材料只支持半导体设备相邻信号
CAND_OXIG,Oxford Instruments,company,upstream_enabler,quarterly,P2,EQ2,InP激光与探测器等离子工艺交叉验证制造卡点,https://plasma.oxinst.com/media-centre/wp/plasma-solutions-for-inp-lasers-and-photodiodes,promoted,OXIG,2026-08-13,用正式半年及全年材料观察设备订单
CAND_SAMCO,Samco,company,upstream_enabler,watch,P2,EQ2,InP设备补充日本制造设备样本,https://www.samco.co.jp/whatsnew/products/2026/03/ExpandingLineupInPEquipment.php,promoted,WATCH_SAMCO,2026-08-13,两期正式材料未拆光通信客户或收入
CAND_KEYS,Keysight,company,upstream_enabler,watch,P2,EQ7,224G与1.6T验证进度领先于量产,https://www.keysight.com/au/en/about/newsroom/news-releases/2026/0313-pr26-049-keysight-introduces-new-224g-test-solutions-to-enable-1-6t-optical-network-validation.html,promoted,WATCH_KEYS,2026-08-13,季度通信测试口径过宽只做事件监控
CAND_VIAV,VIAVI,company,upstream_enabler,quarterly,P2,EQ7,1.6T OSFP测试观察验证瓶颈,https://www.viavisolutions.com/en-us/products/one-1600er-osfp-1600gb-s-test-module,promoted,VIAV,2026-08-13,正式季度材料持续确认数据中心测试需求
CAND_ADTN,ADTRAN,company,system_vendor,quarterly,P2,MOD2,800G与相干可插拔补齐运营商和边缘DCI,https://www.adtran.com/de-de/innovation/optical-networking/800g-optical-transport,promoted,ADTN,2026-08-13,AI集群内互联与运营商光传输分开
CAND_ACCTON,Accton,company,system_vendor,watch,P2,MOD1,800G LPO与光波长交换连接ODM端,https://www.accton.com/optics/,promoted,WATCH_ACCTON,2026-08-13,正式披露未拆光学产品规模
CAND_WIWYNN,Wiwynn,company,system_vendor,quarterly,P2,MOD1,机柜级CPO生态与高速互联集成,https://www.wiwynn.com/technology/high-speed-interconnect,promoted,WIWYNN,2026-08-13,CPO投资关系不自动解释为采购关系
CAND_GLW,Corning,company,upstream_enabler,quarterly,P2,M4/D9,AI数据中心光纤连接和CPO补足被动互联,https://www.corning.com/optical-communications/worldwide/en/home/solutions/glassworks-ai.html,promoted,GLW,2026-08-13,季度光通信分部口径可持续验证
CAND_HAMAMATSU,Hamamatsu Photonics,company,upstream_enabler,quarterly,P3,C3,InGaAs探测器可能补足接收器件,https://www.hamamatsu.com/eu/en/news/featured-products_and_technologies/2024/meeting-optical-communication-demands.html,source_verified,,2026-08-13,数据中心收入不透明；两期tier review为零结果故不升watch
CAND_FREIBERGER,Freiberger Compound Materials,company,upstream_enabler,watch,P3,M1,GaAs与InP晶圆提供材料端事件信号,https://freiberger.com/en/technology/,promoted,WATCH_FREIBERGER,2026-08-13,私企不承担季度义务
CAND_NTTID,NTT Innovative Devices,company,upstream_enabler,watch,P3,C5/C6,相干DSP产品适合按发布与合作监控,https://www.ntt-innovative-devices.com/en/optical_communications/dsp_products.html,promoted,WATCH_NTTID,2026-08-13,NTT子公司
CAND_FUJITSUOC,Fujitsu Optical Components,company,core_peer,watch,P3,C6/MOD2,相干收发器和调制接收器适合事件监控,https://www.fujitsu.com/jp/group/foc/imagesgig5/FOC%20Product%20Line-up_20201202.pdf,promoted,WATCH_FUJITSUOC,2026-08-13,母公司季度难归因
CAND_MCHP,Microchip,company,upstream_enabler,watch,P3,C5,高速Ethernet PHY可能提供电侧信号,https://www.microchip.com/en-us/products/high-speed-networking-and-video/ethernet/ethernet-phys/meta-dx-family,promoted,WATCH_MCHP,2026-08-15,两期正式材料仅电侧相邻信号；晋级watch且不建光侧事件
CAND_LWLG,Lightwave Logic,company,upstream_enabler,quarterly,P3,M3/C4,电光聚合物调制器提供新材料路线,https://www.sec.gov/Archives/edgar/data/1325964/000107997326001097/lwlg_10q-063026.htm,promoted,LWLG,2026-08-15,四期SEC正式材料逐槽登记；商业化规模极小与量产最早2027年需分层跟踪
CAND_OPENLIGHT,OpenLight,company,upstream_enabler,watch,P3,C1/C4,集成激光硅光平台适合跟踪PDK与量产事件,https://openlightphotonics.com/,promoted,WATCH_OPENLIGHT,2026-08-13,私企
CAND_SICOYA,Sicoya,company,upstream_enabler,watch,P3,C4/D12,硅光芯片与收发组件适合事件监控,https://sicoya.com/en/silicon-photonic-components/,promoted,WATCH_SICOYA,2026-08-13,客户量产透明度低
CAND_SCINTIL,SCINTIL Photonics,company,upstream_enabler,watch,P3,C1/C4,异质集成硅光提供新路线样本,https://www.scintil-photonics.com/,promoted,WATCH_SCINTIL,2026-08-13,融资与量产不确定
CAND_XSCAPE,Xscape Photonics,company,upstream_enabler,watch,P3,C1/C4/D12,多波长光引擎适合跟踪客户采用,https://www.xscapephotonics.com/falconx,promoted,WATCH_XSCAPE,2026-08-13,路线新
CAND_AVICENA,Avicena,company,upstream_enabler,watch,P3,D12,microLED光互联提供非主流路线对照,https://avicena.tech/avicena-launches-the-worlds-first-microled-optical-interconnect-eval-kit/,promoted,WATCH_AVICENA,2026-08-13,量产待证
CAND_AYAR,Ayar Labs,company,upstream_enabler,watch,P3,C4/D12,UCIe光I/O芯粒与外置光源适合样片客户产能监控,https://ayarlabs.com/news/ayar-labs-unveils-worlds-first-ucie-optical-chiplet-for-ai-scale-up-architectures/,promoted,WATCH_AYAR,2026-08-13,私企
CAND_LIGHTMATTER,Lightmatter,company,upstream_enabler,watch,P3,D12,Passage NPO与OBO适合商业采用监控,https://lightmatter.co/products/passage,promoted,WATCH_LIGHTMATTER,2026-08-13,路线风险
CAND_RANOVUS,Ranovus,company,upstream_enabler,watch,P3,D12,Odin CPO适合跟踪合作演示与量产迁移,https://ranovus.com/wp-content/uploads/2024/03/Ranovus-CPO-3.0-MediaTek-announcement-March-20-2024-Final.pdf,promoted,WATCH_RANOVUS,2026-08-13,演示与量产需分开
CAND_SOURCEPHOTONICS,Source Photonics,company,core_peer,watch,P3,MOD1,800G与1.6T PAM4模块适合产品产能事件监控,https://www.sourcephotonics.com/news/source-photonics-announce-the-product-availability-of-its-200g-per-lane-based-1-6t-and-800g-pam4-transceiver-family-products-at-ofc25/,promoted,WATCH_SOURCEPHOTONICS,2026-08-13,无连续公开财报
CAND_SMARTOPTICS,Smartoptics,company,system_vendor,quarterly,P3,MOD1/MOD2,OSFP与开放光传输提供欧洲长尾样本,https://smartoptics.com/cision-post/smartoptics-group-asa-smop-q2-2026-financial-results/,promoted,SMOP,2026-08-15,四期Oslo Bors季度报告逐槽登记；财务愿景为前瞻不当作已实现收入
CAND_AMKR,Amkor,company,upstream_enabler,quarterly,P3,P1,光子与光学封装提供OSAT补充,https://amkor.com/technology/,source_verified,,2026-08-13,官网证据较泛
CAND_DELTA,Delta Electronics,company,system_vendor,quarterly,P3,MOD1/D12,COBO与800G概念验证提供系统集成样本,https://landing.deltaww.com/en-US/news/12998,source_verified,,2026-08-13,旧演示不能证明当前量产
CAND_TEL,TE Connectivity,company,upstream_enabler,quarterly,P3,D9,数据中心与CPO连接提供连接器长尾样本,https://www.te.com/en/about-te/news-center/te-ofc-2026.html,source_verified,,2026-08-13,光互联收入难分拆
CAND_MOLEX,Molex,company,upstream_enabler,watch,P3,D9,CPO连接和OCS适合新品并购事件监控,https://www.molex.com/en-us/news/molex-accelerates-ai-cluster-deployment-with-one-stop-optical-interconnect-architecture-and-debut-of-high-radix-optical-circuit-switch-platform,promoted,WATCH_MOLEX,2026-08-13,Koch私有子公司
CAND_SENKO,SENKO Advanced Components,company,upstream_enabler,watch,P3,D9,高密度连接适合产品与合作事件监控,https://www.senko.com/mpc-series/,promoted,WATCH_SENKO,2026-08-13,私企
CAND_TERAMOUNT,Teramount,company,upstream_enabler,watch,P3,D9/P1,PhotonicPlug与并购事件适合监控,https://www.molex.com/en-us/news/agreement-to-acquire-teramount-to-accelerate-scalable-co-packaged-optics-adoption,promoted,WATCH_TERAMOUNT,2026-08-13,并购状态待持续核
CAND_FICONTEC,ficonTEC,company,upstream_enabler,watch,P3,EQ3/EQ4/EQ7,光子装配与测试自动化适合订单事件监控,https://www.ficontec.com/,promoted,WATCH_FICONTEC,2026-08-13,私企
CAND_PI,PI,company,upstream_enabler,watch,P3,EQ4,光子对准适合产品和订单事件监控,https://www.pi-usa.us/en/products/photonics-alignment-solutions,promoted,WATCH_PI,2026-08-13,订单应用不可分
CAND_EVG,EV Group,company,upstream_enabler,watch,P3,EQ5,die-to-wafer bonding适合异质集成事件监控,https://www.evgroup.com/fileadmin/media/products/bonding/Die_to_Wafer_bonding_systems/White_Paper_D2W_Bonding.pdf,promoted,WATCH_EVG,2026-08-13,应用横跨多行业
CAND_EXFO,EXFO,company,upstream_enabler,watch,P3,EQ7,800G实验室与制造测试适合事件监控,https://www.exfo.com/en/products/lab-manufacturing-testing/network-protocol-testing/ethernet-testing/ftbx-88800-series/,promoted,WATCH_EXFO,2026-08-13,电信测试需与AI内部互联区分
CAND_RBBN,Ribbon Communications,company,system_vendor,quarterly,P3,MOD2,IP optical networking提供传输长尾样本,https://ribboncommunications.com/solutions/service-provider-solutions/ip-optical/ribbons-automated-ip-routing-and-optical-networking,source_verified,,2026-08-13,AI光互联信号偏弱
CAND_EKI,Ekinops,company,system_vendor,quarterly,P3,MOD2,400G相干系统提供欧洲长尾样本,https://www.ekinops.com/images/press-releases/24.01.2023-PM400FR05-C2A_PR_ENG.pdf,source_verified,,2026-08-13,AI DCI归因有限
CAND_HPE,HPE,company,system_vendor,quarterly,P3,MOD1/MOD2,Juniper并入后提供AI网络与1.6T-ready系统信号,https://www.hpe.com/us/en/juniper-data-center-interconnect.html,source_verified,,2026-08-13,并购后口径复杂
CAND_GOOGL,Alphabet,company,downstream,watch,P3,T019/T020,云侧高带宽与容量需求只做需求验证,https://abc.xyz/investor/events/event-details/2025/Thomas-Kurian-CEO-of-Google-Cloud-at-the-Goldman-Sachs-Communacopia--Technology-Conference-on-September-9-2025Thomas-Kurian-CEO-of-Google-Cloud-at-the-Goldman-Sachs-Communacopia--Technology-Conference-on-September-9-2025/default.aspx,promoted,WATCH_GOOGL,2026-08-13,一般capex不能映射MOD1
CAND_MSFT,Microsoft,company,downstream,watch,P3,T020,AI数据中心容量和资本开支只做需求验证,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q3,promoted,WATCH_MSFT,2026-08-13,不补光学四季度槽
CAND_AMZN,Amazon,company,downstream,watch,P3,T020,AWS AI基础设施需求只做需求验证,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-First-Quarter-Results/,promoted,WATCH_AMZN,2026-08-13,光学细节通常缺失
CAND_ORCL,Oracle,company,downstream,watch,P3,T020,OCI容量与具名合作可做客户侧验证,https://investor.oracle.com/investor-news/news-details/2026/Oracle-Announces-Record-Q4-and-FY-2026-Results-Driven-by-Cloud-Infrastructure--Cloud-Applications/,promoted,WATCH_ORCL,2026-08-13,订单与光模块消耗非一一对应
CAND_AMD,AMD,company,downstream,watch,P3,T018/T019,rack-scale平台提供互连需求背景,https://ir.amd.com/news-events/press-releases/detail/1261/amd-showcases-helios-rack-scale-platform-built-on-the-open-compute-project-open-rack-for-ai-introduced-by-meta,promoted,WATCH_AMD,2026-08-13,平台发布不证明具体光学BOM
