event_claim_id,legacy_claim_id,disclosure_id,claimant_entity_id,claimant_role,statement_kind,quote,anchor,summary,review_status,reviewed_at,notes
ECL018,,D_CRDO_20260317_CARDINAL,CRDO,corporate_disclosure,fact_assertion,Credo is now sampling the Cardinal DSP family to lead customers.,Product Availability paragraph,Credo称Cardinal 1.6T光DSP正在向主要客户送样,anchor_reviewed,2026-08-11,上游DSP送样不等于1.6T光模块认证或量产
ECL019,,D_CRDO_20260413_DUST,CRDO,corporate_disclosure,fact_assertion,it has entered into a definitive agreement to acquire DustPhotonics,lead paragraph beginning SAN JOSE,Credo已签署收购DustPhotonics的确定性协议,anchor_reviewed,2026-08-11,确定性协议不等于交易完成；硅光收入预测另作观察
ECL020,,D_CRDO_20260528_DUST_CLOSE,CRDO,corporate_disclosure,fact_assertion,it has completed its acquisition of DustPhotonics,lead paragraph beginning SAN JOSE,Credo确认已经完成DustPhotonics收购,anchor_reviewed,2026-08-11,只关闭收购事件；不证明产品整合或FY2027收入目标兑现
ECL021,CL063,D_CIEN_20250904_Q3,CIEN,management,fact_assertion,Initial revenue shipments are underway.,prepared remarks p.3 / scale-across project paragraph,Ciena称首个scale-across项目已开始产生收入出货,anchor_reviewed,2026-08-11,客户未具名且相干scale-across不同于短距IMDD模块
ECL022,CL068,D_CIEN_20260305_Q1,CIEN,management,fact_assertion,our revenue in the first quarter would have been higher but for these constraints,prepared remarks pp.6-7 / supply constraint discussion,Ciena称供应约束实际压低第一季度可实现收入,anchor_reviewed,2026-08-11,约束落在component vendors但没有识别具体元件
ECL023,CL072,D_CIEN_20260604_Q2,CIEN,management,fact_assertion,we've been awarded the industry's first multi-rail order from a leading hyperscaler,prepared remarks p.3 / Hyper-Rail paragraph,Ciena称获得首个Hyper-Rail多轨订单,anchor_reviewed,2026-08-11,首单不等于已经出货一般可用或确认收入
ECL024,,D_AXTI_20260729_LITE,AXTI,corporate_disclosure,fact_assertion,entered into a definitive agreement with Lumentum Operations LLC for the supply and capacity reservation of indium phosphide wafer substrates,opening paragraph,AXT称与Lumentum签署InP晶圆供给和产能预留协议,anchor_reviewed,2026-08-13,单方公告；不推导交付数量良率或Lumentum实际消耗
ECL025,,D_GFS_20260729_CHIPS,GFS,corporate_disclosure,fact_assertion,entered into a letter of intent with the U.S. Department of Commerce to accelerate research and development of next-generation silicon photonics,opening paragraph,GlobalFoundries称与美国商务部签署硅光研发LOI,anchor_reviewed,2026-08-13,LOI不是最终拨款；公司引述政府官员仍属同一披露件
ECL026,,D_TSEM_20260714_JAPAN,TSEM,corporate_disclosure,forward_looking,full production readiness expected during the fourth quarter of 2027,track one paragraph,Tower预计日本第一轨300mm硅光产能于2027Q4具备全面生产准备,anchor_reviewed,2026-08-13,明确是管理层目标；不等于当前产能良率或客户认证已完成
ECL027,,D_VECO_20260611_ENNOSTAR,VECO,corporate_disclosure,fact_assertion,first commercial acceptance and qualification of its LUMINA+ metal organic chemical vapor deposition system by Ennostar Corporation,opening paragraph,Veeco称LUMINA+ MOCVD获Ennostar首次商业验收与资格认证,anchor_reviewed,2026-08-13,单方公告虽具名对手方仍不算独立来源；应用范围跨多个市场
ECL028,,D_LITE_20260326_GREENSBORO,LITE,corporate_disclosure,forward_looking,The facility is expected to ramp production in mid-2028,capacity expansion paragraph,Lumentum预计美国Greensboro InP工厂于2028年中爬坡生产,anchor_reviewed,2026-08-13,当前运营设施仍需改造；前瞻目标不等于InP产线已经量产
ECL029,,D_GLW_20260506_NVDA,GLW,corporate_disclosure,forward_looking,Corning will increase its U.S.-based optical connectivity manufacturing capacity by 10x and expand its U.S. fiber production capacity by more than 50%,second paragraph,Corning提出美国光连接产能十倍和光纤产能提升逾50%的目标,anchor_reviewed,2026-08-13,联合新闻稿中的前瞻目标；不等于工厂已建成或产能可用
ECL030,,D_NVDA_20260506_GLW,NVDA,counterparty,forward_looking,Corning will increase its U.S.-based optical connectivity manufacturing capacity by 10x and expand its U.S. fiber production capacity by more than 50%,second paragraph,NVIDIA官网转载同一联合稿中的Corning产能目标,anchor_reviewed,2026-08-13,独立域名但同一联合新闻稿；origin_group相同不得加一票
ECL031,,D_POET_20260514_LUMILENS,POET,corporate_disclosure,fact_assertion,Lumilens has placed an initial purchase order with the Company for the manufacturing of EOI-based engines valued at $50 million,notable business highlights supply agreement bullet,POET称Lumilens下达价值5000万美元EOI光引擎初始采购订单,anchor_reviewed,2026-08-13,第一方披露；不纳入可能超过5亿美元的五年前瞻采购额
ECL032,,D_POET_20260427_CELESTIAL_CANCEL,POET,corporate_disclosure,fact_assertion,"announced the cancellation of all purchase orders received by the Company from Celestial AI",lead paragraph beginning SAN JOSE CA April 27 2026,POET披露Celestial AI此前全部采购订单被取消,anchor_reviewed,2026-08-22,Marvell Semiconductor Inc. provided written notice of the cancellation to the Company on April 23 2026；Celestial AI不在身份表故counterparty留空
ECL033,,D_COHR_20260302_NVDA,COHR,corporate_disclosure,fact_assertion,The nonexclusive agreement includes an NVIDIA multibillion-dollar purchase commitment and future access and capacity rights for advanced laser and optical networking products.,second paragraph,Coherent披露已签非独家多年协议，含NVIDIA数十亿美元采购承诺及未来产能权,anchor_reviewed,2026-08-22,协议存在为事实；未来采购承诺和产能权不等于实际交付或可用产能
ECL034,,D_COHR_20260302_NVDA,COHR,corporate_disclosure,forward_looking,"NVIDIA is investing $2 billion in Coherent to support research and development, future capacity and operations",second paragraph,Coherent披露NVIDIA拟投资20亿美元支持研发未来产能和运营,anchor_reviewed,2026-08-22,前瞻投资表述；不等于资金已到账
ECL035,,D_LITE_20260302_NVDA,LITE,corporate_disclosure,fact_assertion,The nonexclusive agreement includes an NVIDIA multibillion purchase commitment and future capacity access rights for advanced laser components.,second paragraph,Lumentum披露已签非独家多年协议，含NVIDIA数十亿美元采购承诺及未来产能权,anchor_reviewed,2026-08-22,协议存在为事实；未来采购承诺和产能权不等于实际交付或可用产能
ECL036,,D_LITE_20260302_NVDA,LITE,corporate_disclosure,forward_looking,"NVIDIA is investing $2 billion in Lumentum to support R&D, future capacity and operations",second paragraph,Lumentum披露NVIDIA拟投资20亿美元支持研发未来产能和运营,anchor_reviewed,2026-08-22,前瞻投资表述；不等于资金已到账
ECL037,,D_MOLEX_20260507_TERAMOUNT,WATCH_MOLEX,corporate_disclosure,fact_assertion,Molex Completes Acquisition of Teramount Ltd.,公告标题,Molex完成对Teramount Ltd.的收购,anchor_reviewed,2026-08-22,收购完成不证明产品整合、量产或收入
