disclosure_id,publisher_entity_id,legacy_source_id,title,disclosure_type,content_class,provenance_class,canonical_url,local_path,content_hash,origin_group,published_at,updated_at,discovered_at,retrieved_at,reviewed_at,retrieval_status,processing_status,review_scope,notes
D_AVGO_20260304_Q1,AVGO,S_AVGO_2026Q1,Broadcom FY2026 Q1 financial results,official_release,corporate_narrative,first_party,https://investors.broadcom.com/news-releases/news-release-details/broadcom-inc-announces-first-quarter-fiscal-year-2026-financial,,,OG_AVGO_20260304_Q1,2026-03-04,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,CEO引述与AI收入段落,AI收入合并定制加速器与AI网络；不推导光模块需求
D_AVGO_20260603_Q2,AVGO,S_AVGO_2026Q2,Broadcom FY2026 Q2 financial results,official_release,corporate_narrative,first_party,https://investors.broadcom.com/news-releases/news-release-details/broadcom-inc-announces-second-quarter-fiscal-year-2026-financial,,,OG_AVGO_20260603_Q2,2026-06-03,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,CEO引述与AI半导体收入段落,AI半导体收入合并定制加速器与AI网络；不推导光模块需求
D_MRVL_20250828_Q2,MRVL,S_MRVL_2026Q2,Marvell FY2026 Q2 financial results,official_release,corporate_narrative,first_party,https://investor.marvell.com/news-events/press-releases/detail/989/marvell-technology-inc-reports-second-quarter-of-fiscal-year-2026-financial-results,,,OG_MRVL_20250828_Q2,2025-08-28,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,CEO引述中custom silicon与electro-optics需求段落,电光产品与定制芯片合并表述；没有速率或出货量
D_MRVL_20251202_Q3,MRVL,S_MRVL_2026Q3,Marvell FY2026 Q3 financial results,official_release,corporate_narrative,first_party,https://investor.marvell.com/news-events/press-releases/detail/999/marvell-technology-inc-reports-third-quarter-of-fiscal-year-2026-financial-results,,,OG_MRVL_20251202_Q3,2025-12-02,,2026-08-11,2026-08-11,2026-08-11,retrieved,no_relevant_claims,CEO引述及公告正文按optics optical electro-optics 800G 1.6T检索,本次官方业绩稿未形成可锚定的光学特定主张；不是公司沉默的跨材料结论
D_MRVL_20260305_Q4,MRVL,S_MRVL_2026Q4,Marvell FY2026 Q4 and fiscal-year results,official_release,corporate_narrative,first_party,https://investor.marvell.com/news-events/press-releases/detail/1011/marvell-technology-inc-reports-fourth-quarter-and-fiscal-year-2026-financial-results,,,OG_MRVL_20260305_Q4,2026-03-05,,2026-08-11,2026-08-11,2026-08-11,retrieved,no_relevant_claims,CEO引述及公告正文按optics optical electro-optics 800G 1.6T检索,数据中心收入含多类产品但本次稿件未形成光学特定主张
D_MRVL_20260527_Q1,MRVL,S_MRVL_2027Q1,Marvell FY2027 Q1 financial results,official_release,corporate_narrative,first_party,https://investor.marvell.com/news-events/press-releases/detail/1023/marvell-technology-inc-reports-first-quarter-of-fiscal-year-2027-financial-results,,,OG_MRVL_20260527_Q1,2026-05-27,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,CEO引述中800G与1.6T scale-out optics段落,强劲需求与多种Marvell方案合并表述；没有客户订单或出货量
D_NOK_20260129_Q4,NOK,S_NOK_2025Q4,Nokia Q4 2025 and full-year financial report,official_release,commercial_disclosure,first_party,https://www.nokia.com/newsroom/nokia-corporation-financial-report-for-q4-2025-and-full-year-2025/,,,OG_NOK_20260129_Q4,2026-01-29,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,CEO引述中Network Infrastructure与Optical Networks段落,光网络收入没有按产品速率和客户拆分
D_NOK_20260423_Q1,NOK,S_NOK_2026Q1,Nokia Q1 2026 interim report,official_release,commercial_disclosure,first_party,https://www.nokia.com/newsroom/nokia-corporation-interim-report-for-q1-2026/,,,OG_NOK_20260423_Q1,2026-04-23,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,CEO引述中Network Infrastructure及产品路线和InP设施段落,订单与路线图为第一方管理层陈述；未获得客户独立确认
D_NOK_20260723_Q2,NOK,S_NOK_2026Q2,Nokia Q2 and half-year 2026 report,official_release,commercial_disclosure,first_party,https://www.nokia.com/newsroom/nokia-corporation-report-for-q2-and-half-year-2026/,,,OG_NOK_20260723_Q2,2026-07-23,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,CEO引述中AI与Cloud订单供应约束及收入转换段落,光网络与IP网络混合口径；供应约束未指明具体器件
D_CIEN_20250904_Q3,CIEN,S_CIEN_2025Q3,Ciena FY2025 Q3 earnings call transcript,official_release,commercial_disclosure,first_party,https://s25.q4cdn.com/550667411/files/doc_financials/2025/q3/Transcript-Cienas-Fiscal-Third-Quarter-2025-Financial-Results-Conference-Call.pdf,,,OG_CIEN_20250904_Q3,2025-09-04,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,"Gary Smith prepared remarks p.3；Scott McFeely Q&A pp.14-15，复核scale-across、400ZR+与pluggable shipment",公司IR托管逐字稿；客户未具名
D_CIEN_20251211_Q4,CIEN,S_CIEN_2025Q4,Ciena FY2025 Q4 and year-end earnings call transcript,official_release,commercial_disclosure,first_party,https://s25.q4cdn.com/550667411/files/doc_financials/2025/q4/Cienas-Fiscal-4th-Quarter-and-Year-End-2025-Financial-Results-Conference-Call.pdf,,,OG_CIEN_20251211_Q4,2025-12-11,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,"Gary Smith prepared remarks p.4；Marc Graff Q&A pp.13-15，复核WL6 Nano初始收入与photonics constraint",第一方管理层陈述；不定位具体受限器件
D_CIEN_20260305_Q1,CIEN,S_CIEN_2026Q1,Ciena FY2026 Q1 earnings call transcript,official_release,commercial_disclosure,first_party,https://s25.q4cdn.com/550667411/files/doc_events/2026/03/Q1-2026-Earnings-Call-Transcript.pdf,,,OG_CIEN_20260305_Q1,2026-03-05,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,"Gary Smith prepared remarks pp.3-5；Marc Graff prepared remarks and Q&A pp.6-7，复核hyperscaler orders、供应约束及产品时间表",订单与供应约束均为第一方管理层陈述
D_CIEN_20260604_Q2,CIEN,S_CIEN_2026Q2,Ciena FY2026 Q2 earnings call transcript,official_release,commercial_disclosure,first_party,https://s25.q4cdn.com/550667411/files/content_files/Ciena-Fiscal-Q2-2026-Financial-Results-Call.pdf,,,OG_CIEN_20260604_Q2,2026-06-04,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,"Gary Smith prepared remarks pp.3-4；Marc Graff prepared remarks p.5，复核Hyper-Rail order、coherent module win与supply-demand gap",相干与scale-across口径不同于短距IMDD模块
D_MTSI_20251106_Q4,MTSI,S_MTSI_2025Q4,MACOM FY2025 Q4 and fiscal-year results,official_release,corporate_narrative,first_party,https://ir.macom.com/news-releases/news-release-details/macom-reports-fiscal-fourth-quarter-and-fiscal-year-2025/,,,OG_MTSI_20251106_Q4,2025-11-06,,2026-08-11,2026-08-11,2026-08-11,retrieved,no_relevant_claims,Management Commentary及正文按optical optics coherent 800G 1.6T data center检索并通读,本业绩稿未形成光学特定管理层主张；不是跨材料沉默结论
D_MTSI_20260205_Q1,MTSI,S_MTSI_2026Q1,MACOM FY2026 Q1 results,official_release,corporate_narrative,first_party,https://ir.macom.com/news-releases/news-release-details/macom-reports-fiscal-first-quarter-2026-financial-results/,,,OG_MTSI_20260205_Q1,2026-02-05,,2026-08-11,2026-08-11,2026-08-11,retrieved,no_relevant_claims,Management Commentary及正文按optical optics coherent 800G 1.6T data center检索并通读,CEO为泛化经营表述；不倒灌其他SEC披露
D_MTSI_20260507_Q2,MTSI,S_MTSI_2026Q2,MACOM FY2026 Q2 results,official_release,corporate_narrative,first_party,https://ir.macom.com/news-releases/news-release-details/macom-reports-fiscal-second-quarter-2026-financial-results,,,OG_MTSI_20260507_Q2,2026-05-07,,2026-08-11,2026-08-11,2026-08-11,retrieved,no_relevant_claims,Management Commentary及正文按optical optics coherent 800G 1.6T data center检索并通读,下半年增长展望未指向光学
D_MTSI_20260806_Q3,MTSI,S_MTSI_2026Q3,MACOM FY2026 Q3 results,regulatory_filing,corporate_narrative,first_party,https://www.sec.gov/Archives/edgar/data/1493594/000149359426000036/ex99_1earningsreleaseq3fy26.htm,,,OG_MTSI_20260806_Q3,2026-08-06,,2026-08-11,2026-08-11,2026-08-11,retrieved,no_relevant_claims,Management Commentary及正文按optical optics coherent 800G 1.6T data center检索并通读,SEC exhibit中的业绩稿无光学特定管理层主张；10-Q另行登记
D_CRDO_20250903_Q1,CRDO,S_CRDO_2026Q1,Credo FY2026 Q1 results,official_release,corporate_narrative,first_party,https://investors.credosemi.com/news-events/news/news-details/2025/Credo-Technology-Group-Holding-Ltd-Reports-First-Quarter-of-Fiscal-Year-2026-Financial-Results/,,,OG_CRDO_20250903_Q1,2025-09-03,,2026-08-11,2026-08-11,2026-08-11,retrieved,no_relevant_claims,CEO引述及正文按optical optics ZeroFlap DSP 800G 1.6T检索并通读,hyperscaler partnership为公司整体口径
D_CRDO_20251201_Q2,CRDO,S_CRDO_2026Q2,Credo FY2026 Q2 results,official_release,commercial_disclosure,first_party,https://investors.credosemi.com/news-events/news/news-details/2025/Credo-Technology-Group-Holding-Ltd-Reports-Second-Quarter-of-Fiscal-Year-2026-Financial-Results/default.aspx,,,OG_CRDO_20251201_Q2,2025-12-01,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,Bill Brennan CEO quote中ZeroFlap Optics ALC OmniConnect upcoming ramps句,三类产品混合且无期限客户收入或数量
D_CRDO_20260302_Q3,CRDO,S_CRDO_2026Q3,Credo FY2026 Q3 results,official_release,corporate_narrative,first_party,https://investors.credosemi.com/news-events/news/news-details/2026/Credo-Technology-Group-Holding-Ltd-Reports-Third-Quarter-of-Fiscal-Year-2026-Financial-Results/default.aspx,,,OG_CRDO_20260302_Q3,2026-03-02,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,Bill Brennan CEO quote中ZeroFlap optics ALC OmniConnect TAM expansion句,只保留公司叙事；不生成订单采用或出货事实
D_CRDO_20260601_Q4,CRDO,S_CRDO_2026Q4,Credo FY2026 Q4 and fiscal-year results,official_release,corporate_narrative,first_party,https://investors.credosemi.com/news-events/news/news-details/2026/Credo-Technology-Group-Holding-Ltd-Reports-Fourth-Quarter-and-Fiscal-Year-2026-Financial-Results/default.aspx,,,OG_CRDO_20260601_Q4,2026-06-01,,2026-08-11,2026-08-11,2026-08-11,retrieved,no_relevant_claims,CEO引述及正文按optical optics ZeroFlap DSP 800G 1.6T检索并通读,vertical integration在该句中未指向光学
D_CIEN_20260225_VESTA,CIEN,,Ciena unveils Vesta 200 6.4T CPX optical engine,official_release,technical_disclosure,first_party,https://investor.ciena.com/news/news-details/2026/Ciena-Unveils-the-Industrys-Highest-Density-Lowest-Power-Pluggable-Optical-Engine-to-Meet-Data-Center-AI-Demands-02-25-2026/default.aspx,,,OG_CIEN_20260225_VESTA,2026-02-25,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,首段与OFC演示段落,发布不等于样品已交付；计划演示不记为demonstrated
D_MTSI_20260703_IQE_10Q,MTSI,,MACOM FY2026 Q3 Form 10-Q IQE investment and supply agreements,regulatory_filing,regulatory_record,first_party,https://www.sec.gov/Archives/edgar/data/1493594/000149359426000038/mtsi-20260703.htm,,,OG_MTSI_20260703_IQE_10Q,2026-08-06,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,Note 4 Investments / Long-Term Investments,正式申报确认交易与长期供应协议；不证明有效产能增加
D_IQE_20260528_RESULTS,WATCH_IQE,,IQE full-year 2025 results and MACOM strategic transaction,official_release,commercial_disclosure,counterparty,https://www.iqep.com/media/press-releases/2026/full-year-2025-results/,,,OG_IQE_20260528_RESULTS,2026-05-28,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,Fundraise段落中MACOM投资与长期供应协议,独立对手方披露可支持交易发生；仍不证明产能或交付效果
D_CRDO_20251013_ZEROFLAP,CRDO,,Credo unveils ZeroFlap optical transceivers,official_release,technical_disclosure,first_party,https://investors.credosemi.com/news-events/news/news-details/2025/Credo-Unveils-ZeroFlap-Optical-Transceivers--A-Reliability-Revolution-for-Optics-in-AI-Networks/default.aspx,,,OG_CRDO_20251013_ZEROFLAP,2025-10-13,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,Availability段落,产品族送样不代表400G 800G与1.6T均已GA
D_CRDO_20260317_CARDINAL,CRDO,,Credo introduces Cardinal 1.6T optical DSP,official_release,technical_disclosure,first_party,https://investors.credosemi.com/news-events/news/news-details/2026/Credo-Introduces-Cardinal-A-LowPower-1-6T-Optical-DSP-Family-Engineered-for-MassiveScale-AI-Fabrics/default.aspx,,,OG_CRDO_20260317_CARDINAL,2026-03-17,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,Product Availability段落,1.6T optical DSP送样不等于1.6T光模块量产
D_CRDO_20260413_DUST,CRDO,,Credo agrees to acquire DustPhotonics,official_release,commercial_disclosure,first_party,https://investors.credosemi.com/news-events/news/news-details/2026/Credo-Agrees-to-Acquire-DustPhotonics-Accelerating-Expansion-into-Silicon-Photonics-and-Next-Generation-Optical-Connectivity/default.aspx,,,OG_CRDO_20260413_DUST,2026-04-13,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,首段与Transaction Details,确定性协议不等于交易已经完成；收入预测不作为本事件兑现事实
D_CRDO_20260528_DUST_CLOSE,CRDO,,Credo completes acquisition of DustPhotonics,official_release,commercial_disclosure,first_party,https://investors.credosemi.com/news-events/news/news-details/2026/Credo-Completes-Acquisition-of-DustPhotonics/default.aspx,,,OG_CRDO_20260528_DUST_CLOSE,2026-05-28,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,首段收购完成事实,只关闭收购事件；不关闭FY2027光学组合收入预测
D_AXTI_20260729_LITE,AXTI,,AXT announces long-term supplier agreement with Lumentum,official_release,commercial_disclosure,first_party,https://investors.axt.com/Investors/news/news-details/2026/AXT-Inc--Announces-Long-Term-Supplier-Agreement-with-Lumentum/default.aspx,,,OG_AXTI_20260729_LITE,2026-07-29,,2026-08-13,2026-08-13,2026-08-13,retrieved,anchor_reviewed,首段协议对象与InP晶圆供给范围,第一方协议公告；不证明后续交付数量良率或实际消耗
D_GFS_20260729_CHIPS,GFS,,GlobalFoundries signs CHIPS R&D letter of intent for silicon photonics,official_release,commercial_disclosure,first_party,https://investors.gf.com/news-releases/news-release-details/globalfoundries-signs-letter-intent-us-department-commerce-300,,,OG_GFS_20260729_CHIPS,2026-07-29,,2026-08-13,2026-08-13,2026-08-13,retrieved,anchor_reviewed,首段LOI及expected award措辞,LOI和预期奖励不是最终拨款或高量产能力
D_TSEM_20260714_JAPAN,TSEM,,Tower announces dual-track silicon photonics capacity expansion in Japan,official_release,commercial_disclosure,first_party,https://ir.towersemi.com/news-releases/news-release-details/tower-semiconductor-meti-support-announces-strategic-capacity,,,OG_TSEM_20260714_JAPAN,2026-07-14,,2026-08-13,2026-08-13,2026-08-13,retrieved,anchor_reviewed,track one段落的量产准备目标,产能准备日期是管理层前瞻；不等于已投产或已形成良率
D_VECO_20260611_ENNOSTAR,VECO,,Ennostar qualifies Veeco LUMINA+ MOCVD system,official_release,commercial_disclosure,first_party,https://ir.veeco.com/news-and-events/news-details/2026/Ennostar-Qualifies-Veecos-New-LUMINA-MOCVD-System-for-Advanced-Product-Applications/default.aspx,,,OG_VECO_20260611_ENNOSTAR,2026-06-11,,2026-08-13,2026-08-13,2026-08-13,retrieved,anchor_reviewed,首段商业验收资格与量产部署段落,应用横跨显示光通信等；不能全部归因AI光互联
D_LITE_20260326_GREENSBORO,LITE,,Lumentum announces new U.S. InP manufacturing facility,official_release,commercial_disclosure,first_party,https://investor.lumentum.com/financial-news-releases/news-details/2026/Lumentum-Announces-New-U-S--Manufacturing-Facility-to-Produce-Advanced-Lasers-for-the-Worlds-Largest-AI-Data-Centers/default.aspx,,,OG_LITE_20260326_GREENSBORO,2026-03-26,,2026-08-13,2026-08-13,2026-08-13,retrieved,anchor_reviewed,capacity expansion段落中的预计爬坡日期,工厂当前运营不等于InP产品线已改造完成或已量产
D_GLW_20260506_NVDA,GLW,,NVIDIA and Corning announce long-term optical manufacturing partnership,official_release,commercial_disclosure,first_party,https://investor.corning.com/news-and-events/news/news-details/2026/NVIDIA-and-Corning-Announce-Long-Term-Partnership-To-Strengthen-U-S--Manufacturing-for-AI-Infrastructure/default.aspx,,,OG_GLW_NVDA_20260506,2026-05-06,,2026-08-13,2026-08-13,2026-08-13,retrieved,anchor_reviewed,第二段美国光连接和光纤产能目标,联合新闻稿；容量目标是前瞻且不等于已建成
D_NVDA_20260506_GLW,NVDA,,NVIDIA newsroom copy of joint Corning partnership release,official_release,commercial_disclosure,counterparty,https://nvidianews.nvidia.com/news/nvidia-and-corning-announce-long-term-partnership-to-strengthen-us-manufacturing-for-ai-infrastructure,,,OG_GLW_NVDA_20260506,2026-05-06,,2026-08-13,2026-08-13,2026-08-13,retrieved,anchor_reviewed,第二段美国光连接和光纤产能目标,与Corning页面同一联合新闻稿；不得重复计作独立验证
D_POET_20260514_LUMILENS,POET,S_POET_2026Q1,POET first-quarter 2026 results and Lumilens purchase order,official_release,commercial_disclosure,first_party,https://www.poet-technologies.com/news/poet-technologies-reports-first-quarter-2026-financial-results,,,OG_POET_20260514_LUMILENS,2026-05-14,,2026-08-13,2026-08-13,2026-08-13,retrieved,anchor_reviewed,notable business highlights供应协议与initial purchase order段落,第一方订单主张；更大的五年潜在采购额属于前瞻不纳入事实
D_POET_20260427_CELESTIAL_CANCEL,POET,,POET Technologies Provides Purchase Order Update,official_release,commercial_disclosure,first_party,https://www.poet-technologies.com/news/poet-technologies-provides-purchase-order-update,,,OG_POET_20260427_CELESTIAL_CANCEL,2026-04-27,,2026-08-22,2026-08-22,2026-08-22,retrieved,anchor_reviewed,首段取消通知事实段落,公司官方公告；Marvell/Celestial AI于2026-04-23书面取消此前全部purchase orders
D_COHR_20260302_NVDA,COHR,,NVIDIA and Coherent Announce Strategic Partnership,official_release,commercial_disclosure,first_party,https://www.coherent.com/news/press-releases/nvidia-and-coherent-announce-strategic-partnership,,,OG_COHR_20260302_NVDA,2026-03-02,,2026-08-22,2026-08-22,2026-08-22,retrieved,anchor_reviewed,首段战略协议及第二段非独家采购承诺产能权和投资表述,Coherent第一方公告；协议存在与投资计划分拆记录且不推导交付或资金到账
D_LITE_20260302_NVDA,LITE,,NVIDIA Announces Strategic Partnership With Lumentum to Develop State-of-the-Art Optics Technology,official_release,commercial_disclosure,first_party,https://investor.lumentum.com/financial-news-releases/news-details/2026/NVIDIA-Announces-Strategic-Partnership-With-Lumentum-to-Develop-State-of-the-Art-Optics-Technology/default.aspx,,,OG_LITE_20260302_NVDA,2026-03-02,,2026-08-22,2026-08-22,2026-08-22,retrieved,anchor_reviewed,首段战略协议及第二段非独家采购承诺产能权和投资表述,Lumentum第一方公告；协议存在与投资计划分拆记录且不推导交付或资金到账
D_MOLEX_20260507_TERAMOUNT,WATCH_MOLEX,,Molex Completes Acquisition of Teramount Ltd.,official_release,commercial_disclosure,first_party,https://www.molex.com/en-us/news/molex-completes-acquisition-of-teramount-ltd,,,OG_MOLEX_20260507_TERAMOUNT,2026-05-07,,2026-08-22,2026-08-22,2026-08-22,retrieved,anchor_reviewed,公告标题,收购完成不证明产品整合、量产或收入
