claim_id,source_id,speaker,speaker_role,statement_type,event_type,side,theme_id,quote,anchor,review_status,mapping_track,cell_id,route_item_id,unmapped_theme,unmapped_reason,summary
CL052,S_NOK_2025Q3,Justin Hotard,management,forward_looking,announced,supply,T008,We are opening a second Indium Phosphide semiconductor fabrication facility in San Jose before the end of next year,CEO Q3 comments / Network Infrastructure paragraph,reviewed,unmapped,,,美国InP光器件产能扩张,披露未拆分激光器调制器探测器或其他器件占比因此不能映射到M2a,Nokia承诺在2026年底前于San Jose启用第二座InP半导体制造设施
CL053,S_NOK_2025Q4,Justin Hotard,management,fact,unknown,demand,T021,Network Infrastructure delivered 7% net sales growth in the fourth quarter including 17% growth in Optical Networks,CEO Q4 comments / Network Infrastructure paragraph,reviewed,unmapped,,,相干光网络商业增长,Optical Networks收入包含线路系统和相干可插拔且没有800G或1.6T产品拆分,Nokia称2025Q4 Optical Networks净销售额同比增长17%；不能视作单一模块出货
CL054,S_NOK_2026Q1,Justin Hotard,management,fact,announced,demand,T021,We won a number of important AI & Cloud design wins and orders for both pluggables and line systems in the quarter,CEO Q1 comments / Network Infrastructure paragraph,reviewed,unmapped,,,AI与云光网络订单,披露没有客户名称产品速率订单金额或发货状态,Nokia称2026Q1取得多项AI与云设计定点及可插拔和线路系统订单
CL056,S_NOK_2026Q1,Justin Hotard,management,forward_looking,sampling,both,T021,Products will begin sampling in mid-2027,CEO Q1 comments / OFC optical conference paragraph,reviewed,unmapped,,,下一代光网络产品送样路线图,四款DSP与十三项方案涵盖多种网络形态且没有拆出数通光模块,Nokia预计相关产品在2027年中开始送样
CL057,S_NOK_2026Q1,Justin Hotard,management,forward_looking,ramping,supply,T008,Our new indium phosphide manufacturing facility online in San Jose California is on track to begin ramping production later this year,CEO Q1 comments / Network Infrastructure paragraph,reviewed,unmapped,,,美国InP光器件产能爬坡,披露未拆分器件类型和有效产量因此不能映射到激光器单一节点,Nokia重申San Jose新InP设施预计于2026年内开始爬坡
CL058,S_NOK_2026Q2,Justin Hotard,management,fact,unknown,demand,T018,"In Q2, our AI & Cloud order intake was EUR 2.8 billion, while sales more than doubled year-on-year",CEO Q2 comments / Network Infrastructure paragraph,reviewed,unmapped,,,AI与云网络需求,订单与销售合并光网络和IP网络且没有光学份额,Nokia称2026Q2 AI与云订单流入28亿欧元且销售额同比翻倍以上；只能作混合网络需求证据
CL059,S_NOK_2026Q2,Justin Hotard,management,fact,announced,demand,T021,we secured long-term orders in both Optical Networks and IP Networks,CEO Q2 comments / Network Infrastructure paragraph,reviewed,unmapped,,,光网络与IP网络长期订单,披露没有拆分两个业务的金额产品客户与订单期限,Nokia称2026Q2在光网络和IP网络均取得长期订单；不能换算相干模块数量
CL061,S_NOK_2026Q2,Justin Hotard,management,forward_looking,ramping,demand,T018,We expect around half of these orders to convert to revenue over the next twelve months,CEO Q2 comments / Network Infrastructure paragraph,reviewed,unmapped,,,AI与云订单转收入,预测基于光网络与IP网络混合订单且没有光学份额,Nokia预计约一半相关订单在未来十二个月转化为收入
CL062,S_NOK_2026Q1,Justin Hotard,management,forward_looking,ramping,both,T021,with volume production starting in the second half,CEO Q1 comments / OFC optical conference paragraph,reviewed,unmapped,,,下一代光网络产品量产路线图,同一段的四款DSP与十三项方案涵盖多种网络形态且没有拆出数通光模块,Nokia预计相关产品在2027年下半年开始量产
CL063,S_CIEN_2025Q3,Gary Smith,management,fact,first_shipment,both,T021,Initial revenue shipments are underway.,prepared remarks p.3 / scale-across project paragraph,reviewed,unmapped,,,相干光与AI数据中心互联采用阶段,RLS与WL6 Nano 800G ZR组成系统且不同于短距IMDD模块,Ciena称首个scale-across项目已开始产生收入出货
CL064,S_CIEN_2025Q3,Gary Smith,management,forward_looking,ramping,both,T021,we expect this to ramp to hundreds of millions of dollars over the next several quarters,prepared remarks p.3 / scale-across project paragraph,reviewed,unmapped,,,相干光与AI数据中心互联采用阶段,未来数季不是精确到期日且客户金额构成未披露,Ciena预计首个scale-across项目未来数季爬坡至数亿美元
CL065,S_CIEN_2025Q4,Gary Smith,management,fact,first_shipment,both,T021,our WaveLogic 6 Nano 800-gig pluggables are shipped for initial revenue,prepared remarks p.4 / WL6 Nano paragraph,reviewed,unmapped,,,相干光与AI数据中心互联采用阶段,初始收入出货不等于广泛客户采用或规模量产,Ciena称WL6 Nano 800G相干可插拔已进入初始收入出货
CL066,S_CIEN_2025Q4,Marc Graff,management,fact,unknown,supply,T016,constraint on the photonics parts,Q&A pp.13-15 / supply discussion,reviewed,unmapped,,,高速数通关键组件组合约束,管理层未识别具体激光器DSP晶圆或供应商,Ciena称光子部件供应形成约束
CL067,S_CIEN_2026Q1,Gary Smith,management,fact,announced,demand,T021,additional orders for multiple additional clusters from the first hyperscaler we announced in Q3 2025,prepared remarks p.3 / hyperscaler scale-across paragraph,reviewed,unmapped,,,相干光与AI数据中心互联采用阶段,客户未具名且没有订单金额模块数量或交付状态,Ciena称首个hyperscaler追加多个集群订单
CL068,S_CIEN_2026Q1,Marc Graff,management,fact,unknown,supply,T016,our revenue in the first quarter would have been higher but for these constraints,prepared remarks pp.6-7 / supply constraint discussion,reviewed,unmapped,,,高速数通关键组件组合约束,约束落在component vendors但仍未识别具体元件,Ciena称供应约束实际压低第一季度可实现收入
CL069,S_CIEN_2026Q1,Gary Smith,management,forward_looking,sampling,both,T017,Samples of the Vesta product will be available in calendar Q2 2026,prepared remarks p.5 / Nubis and Vesta paragraph,reviewed,unmapped,,,CPO商业化与采用阶段,官网发布与OFC展示不能证明样品已经交付,Ciena预计Vesta样品于2026年第二季度可提供
CL070,S_CIEN_2026Q1,Gary Smith,management,forward_looking,announced,both,T021,we expect will begin standardization at the end of '26,prepared remarks p.5 / Hyper-Rail paragraph,reviewed,unmapped,,,相干光与AI数据中心互联采用阶段,Q2首单不等于标准化完成,Ciena预计Hyper-Rail在2026年底开始标准化
CL071,S_CIEN_2026Q1,Gary Smith,management,forward_looking,ramping,both,T021,will ramp in 2027,prepared remarks p.5 / Hyper-Rail paragraph,reviewed,unmapped,,,相干光与AI数据中心互联采用阶段,管理层未给出2027年内的规模收入或出货量,Ciena预计Hyper-Rail于2027年开始爬坡
CL072,S_CIEN_2026Q2,Gary Smith,management,fact,announced,demand,T021,we've been awarded the industry's first multi-rail order from a leading hyperscaler,prepared remarks p.3 / Hyper-Rail paragraph,reviewed,unmapped,,,相干光与AI数据中心互联采用阶段,首单不等于已经出货一般可用或确认收入,Ciena称获得首个Hyper-Rail多轨订单
CL073,S_CIEN_2026Q2,Gary Smith,management,fact,announced,demand,T021,new win with a major hyperscaler for our high-performance Coherent modules,prepared remarks p.4 / coherent modules paragraph,reviewed,unmapped,,,相干光与AI数据中心互联采用阶段,用途为metro与long-haul DCI且客户数量未披露,Ciena称赢得大型hyperscaler相干模块项目
CL074,S_CRDO_2026Q2,Bill Brennan,management,forward_looking,ramping,both,T004,"upcoming ramps of our recently announced ZeroFlap Optics, ALCs, and OmniConnect gearbox solutions",CEO quote / paragraph beginning Our strong Q2 results,reviewed,unmapped,,,高速可插拔光学新品发布,三类产品混合且没有期限客户收入或数量,Credo把ZeroFlap Optics列入多产品未来爬坡计划
