"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","贸易方式编码","贸易方式名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","32","江苏省","1860","千克","0","?","6,408,608",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","33","浙江省","1467","千克","0","?","1,976,711",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","34","安徽省","143","千克","0","?","34,061",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","35","福建省","12","千克","0","?","14,480",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","37","山东省","101","千克","0","?","39,710",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","41","河南省","8","千克","0","?","17,482",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","42","湖北省","375","千克","0","?","937,191",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","44","广东省","2948","千克","0","?","2,016,585",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","51","四川省","270","千克","0","?","935,017",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","52","贵州省","6","千克","0","?","1,605",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","61","陕西省","64","千克","0","?","154,000",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","15","进料加工贸易","32","江苏省","939","千克","0","?","2,344,339",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","15","进料加工贸易","35","福建省","7","千克","0","?","17,032",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","15","进料加工贸易","44","广东省","10","千克","0","?","57,662",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","15","进料加工贸易","51","四川省","65","千克","0","?","71,357",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","33","保税监管场所进出境货物","11","北京市","0","千克","0","?","4,775",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","33","保税监管场所进出境货物","44","广东省","15","千克","0","?","17,785",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","34","海关特殊监管区域物流货物","32","江苏省","38","千克","0","?","11,475",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","34","海关特殊监管区域物流货物","44","广东省","1969","千克","0","?","1,422,124",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","21","辽宁省","1","千克","0","?","268",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","31","上海市","8","千克","0","?","4,268",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","32","江苏省","1445","千克","0","?","75,491",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","33","浙江省","3","千克","0","?","2,010",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","34","安徽省","2","千克","0","?","6,080",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","35","福建省","1","千克","0","?","513",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","36","江西省","1","千克","0","?","2,627",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","37","山东省","739","千克","0","?","12,673",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","42","湖北省","1091","千克","0","?","289,492",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","43","湖南省","2","千克","0","?","692",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","44","广东省","2714","千克","0","?","1,159,678",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","51","四川省","813","千克","0","?","360,862",
"202501","85177950","光通信设备的激光收发模块","111","印度","15","进料加工贸易","32","江苏省","2","千克","0","?","39,406",
"202501","85177950","光通信设备的激光收发模块","111","印度","15","进料加工贸易","44","广东省","5","千克","0","?","6,467",
"202501","85177950","光通信设备的激光收发模块","111","印度","15","进料加工贸易","51","四川省","26","千克","0","?","224,423",
"202501","85177950","光通信设备的激光收发模块","111","印度","34","海关特殊监管区域物流货物","32","江苏省","2364","千克","0","?","555,609",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","31","上海市","18","千克","0","?","46,603",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","32","江苏省","270","千克","0","?","52,925",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","33","浙江省","38","千克","0","?","14,652",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","35","福建省","17","千克","0","?","40,332",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","37","山东省","146","千克","0","?","3,604",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","41","河南省","0","千克","0","?","128",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","42","湖北省","446","千克","0","?","761,973",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","44","广东省","2294","千克","0","?","1,295,568",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","45","广西壮族自治区","197","千克","0","?","5,595",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","46","海南省","1","千克","0","?","2,006",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","52","贵州省","22","千克","0","?","6,665",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","15","进料加工贸易","35","福建省","0","千克","0","?","400",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","34","海关特殊监管区域物流货物","32","江苏省","267","千克","0","?","64,288",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","39","其他","32","江苏省","2","千克","0","?","8,043",
"202501","85177950","光通信设备的激光收发模块","113","伊朗","10","一般贸易","13","河北省","1","千克","0","?","3,000",
"202501","85177950","光通信设备的激光收发模块","113","伊朗","10","一般贸易","32","江苏省","752","千克","0","?","13,309",
"202501","85177950","光通信设备的激光收发模块","113","伊朗","10","一般贸易","51","四川省","205","千克","0","?","4,941",
"202501","85177950","光通信设备的激光收发模块","114","伊拉克","10","一般贸易","32","江苏省","447","千克","0","?","21,551",
"202501","85177950","光通信设备的激光收发模块","114","伊拉克","10","一般贸易","35","福建省","2","千克","0","?","5,500",
"202501","85177950","光通信设备的激光收发模块","114","伊拉克","10","一般贸易","37","山东省","286","千克","0","?","5,377",
"202501","85177950","光通信设备的激光收发模块","114","伊拉克","10","一般贸易","44","广东省","64","千克","0","?","10,173",
"202501","85177950","光通信设备的激光收发模块","114","伊拉克","10","一般贸易","45","广西壮族自治区","515","千克","0","?","11,918",
"202501","85177950","光通信设备的激光收发模块","114","伊拉克","22","对外承包工程出口货物","11","北京市","3","千克","0","?","1,408",
"202501","85177950","光通信设备的激光收发模块","114","伊拉克","34","海关特殊监管区域物流货物","32","江苏省","188","千克","0","?","29,857",
"202501","85177950","光通信设备的激光收发模块","115","以色列","10","一般贸易","31","上海市","0","千克","0","?","20",
"202501","85177950","光通信设备的激光收发模块","115","以色列","10","一般贸易","32","江苏省","1","千克","0","?","4,460",
"202501","85177950","光通信设备的激光收发模块","115","以色列","10","一般贸易","33","浙江省","13","千克","0","?","24,483",
"202501","85177950","光通信设备的激光收发模块","115","以色列","10","一般贸易","42","湖北省","67","千克","0","?","79,932",
"202501","85177950","光通信设备的激光收发模块","115","以色列","10","一般贸易","44","广东省","296","千克","0","?","267,704",
"202501","85177950","光通信设备的激光收发模块","115","以色列","10","一般贸易","51","四川省","114","千克","0","?","177,932",
"202501","85177950","光通信设备的激光收发模块","115","以色列","15","进料加工贸易","32","江苏省","3","千克","0","?","6,053",
"202501","85177950","光通信设备的激光收发模块","115","以色列","15","进料加工贸易","44","广东省","2","千克","0","?","19,671",
"202501","85177950","光通信设备的激光收发模块","115","以色列","15","进料加工贸易","51","四川省","0","千克","0","?","300",
"202501","85177950","光通信设备的激光收发模块","115","以色列","34","海关特殊监管区域物流货物","32","江苏省","296","千克","0","?","103,730",
"202501","85177950","光通信设备的激光收发模块","115","以色列","34","海关特殊监管区域物流货物","44","广东省","30","千克","0","?","24,944",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","11","北京市","1","千克","0","?","53,040",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","31","上海市","63","千克","0","?","124,645",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","32","江苏省","384","千克","0","?","492,889",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","33","浙江省","59","千克","0","?","135,504",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","34","安徽省","3","千克","0","?","13,068",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","35","福建省","3","千克","0","?","7,885",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","37","山东省","9","千克","0","?","10,578",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","42","湖北省","289","千克","0","?","275,278",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","44","广东省","840","千克","0","?","463,758",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","45","广西壮族自治区","0","千克","0","?","6",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","50","重庆市","1","千克","0","?","1,224",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","51","四川省","729","千克","0","?","387,340",
"202501","85177950","光通信设备的激光收发模块","116","日本","15","进料加工贸易","32","江苏省","417","千克","0","?","315,454",
"202501","85177950","光通信设备的激光收发模块","116","日本","15","进料加工贸易","35","福建省","24","千克","0","?","56,716",
"202501","85177950","光通信设备的激光收发模块","116","日本","15","进料加工贸易","44","广东省","8","千克","0","?","26,303",
"202501","85177950","光通信设备的激光收发模块","116","日本","15","进料加工贸易","51","四川省","72","千克","0","?","141,880",
"202501","85177950","光通信设备的激光收发模块","116","日本","34","海关特殊监管区域物流货物","31","上海市","2","千克","0","?","6,864",
"202501","85177950","光通信设备的激光收发模块","116","日本","34","海关特殊监管区域物流货物","32","江苏省","454","千克","0","?","691,071",
"202501","85177950","光通信设备的激光收发模块","116","日本","39","其他","33","浙江省","1","千克","0","?","77",
"202501","85177950","光通信设备的激光收发模块","116","日本","39","其他","44","广东省","3","千克","0","?","411",
"202501","85177950","光通信设备的激光收发模块","117","约旦","10","一般贸易","33","浙江省","0","千克","0","?","34",
"202501","85177950","光通信设备的激光收发模块","117","约旦","10","一般贸易","44","广东省","9","千克","0","?","14,923",
"202501","85177950","光通信设备的激光收发模块","118","科威特","10","一般贸易","32","江苏省","309","千克","0","?","6,427",
"202501","85177950","光通信设备的激光收发模块","118","科威特","10","一般贸易","33","浙江省","2","千克","0","?","1,129",
"202501","85177950","光通信设备的激光收发模块","118","科威特","10","一般贸易","44","广东省","7","千克","0","?","13,782",
"202501","85177950","光通信设备的激光收发模块","118","科威特","15","进料加工贸易","44","广东省","0","千克","0","?","14,666",
"202501","85177950","光通信设备的激光收发模块","119","老挝","10","一般贸易","42","湖北省","25","千克","0","?","2,250",
"202501","85177950","光通信设备的激光收发模块","119","老挝","10","一般贸易","44","广东省","4","千克","0","?","10,306",
"202501","85177950","光通信设备的激光收发模块","120","黎巴嫩","10","一般贸易","35","福建省","2","千克","0","?","2,744",
"202501","85177950","光通信设备的激光收发模块","120","黎巴嫩","10","一般贸易","37","山东省","269","千克","0","?","6,214",
"202501","85177950","光通信设备的激光收发模块","120","黎巴嫩","10","一般贸易","44","广东省","13","千克","0","?","5,904",
"202501","85177950","光通信设备的激光收发模块","120","黎巴嫩","10","一般贸易","45","广西壮族自治区","603","千克","0","?","12,145",
"202501","85177950","光通信设备的激光收发模块","121","中国澳门","10","一般贸易","33","浙江省","2","千克","0","?","3,150",
"202501","85177950","光通信设备的激光收发模块","121","中国澳门","10","一般贸易","44","广东省","3","千克","0","?","4,292",
"202501","85177950","光通信设备的激光收发模块","121","中国澳门","10","一般贸易","51","四川省","0","千克","0","?","690",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","31","上海市","1841","千克","0","?","917,392",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","32","江苏省","2201","千克","0","?","2,166,021",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","33","浙江省","219","千克","0","?","122,449",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","34","安徽省","8","千克","0","?","25,342",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","35","福建省","30","千克","0","?","32,690",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","36","江西省","6","千克","0","?","277",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","37","山东省","349","千克","0","?","55,709",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","41","河南省","0","千克","0","?","3",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","42","湖北省","5463","千克","0","?","3,405,114",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","43","湖南省","106","千克","0","?","74,130",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","44","广东省","1310","千克","0","?","1,183,133",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","45","广西壮族自治区","0","千克","0","?","6",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","51","四川省","10","千克","0","?","60,081",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","52","贵州省","0","千克","0","?","6",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","15","进料加工贸易","32","江苏省","25576","千克","0","?","63,994,478",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","15","进料加工贸易","35","福建省","0","千克","0","?","49",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","15","进料加工贸易","44","广东省","856","千克","0","?","1,090,653",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","33","保税监管场所进出境货物","44","广东省","5","千克","0","?","1,607",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","34","海关特殊监管区域物流货物","32","江苏省","25","千克","0","?","17,990",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","34","海关特殊监管区域物流货物","35","福建省","4","千克","0","?","5,853",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","39","其他","42","湖北省","2","千克","0","?","640",
"202501","85177950","光通信设备的激光收发模块","123","马尔代夫","10","一般贸易","44","广东省","2","千克","0","?","645",
"202501","85177950","光通信设备的激光收发模块","123","马尔代夫","10","一般贸易","51","四川省","1","千克","0","?","368",
"202501","85177950","光通信设备的激光收发模块","124","蒙古","10","一般贸易","33","浙江省","1","千克","0","?","1,082",
"202501","85177950","光通信设备的激光收发模块","124","蒙古","10","一般贸易","44","广东省","15","千克","0","?","4,667",
"202501","85177950","光通信设备的激光收发模块","125","尼泊尔","10","一般贸易","31","上海市","0","千克","0","?","420",
"202501","85177950","光通信设备的激光收发模块","125","尼泊尔","10","一般贸易","44","广东省","16","千克","0","?","12,926",
"202501","85177950","光通信设备的激光收发模块","125","尼泊尔","10","一般贸易","51","四川省","8","千克","0","?","23",
"202501","85177950","光通信设备的激光收发模块","126","阿曼","10","一般贸易","33","浙江省","40","千克","0","?","2,871",
"202501","85177950","光通信设备的激光收发模块","126","阿曼","10","一般贸易","42","湖北省","2","千克","0","?","6,280",
"202501","85177950","光通信设备的激光收发模块","126","阿曼","10","一般贸易","44","广东省","13","千克","0","?","2,953",
"202501","85177950","光通信设备的激光收发模块","127","巴基斯坦","10","一般贸易","31","上海市","20","千克","0","?","100",
"202501","85177950","光通信设备的激光收发模块","127","巴基斯坦","10","一般贸易","33","浙江省","39","千克","0","?","11,464",
"202501","85177950","光通信设备的激光收发模块","127","巴基斯坦","10","一般贸易","34","安徽省","3","千克","0","?","489",
"202501","85177950","光通信设备的激光收发模块","127","巴基斯坦","10","一般贸易","44","广东省","50","千克","0","?","27,336",
"202501","85177950","光通信设备的激光收发模块","127","巴基斯坦","10","一般贸易","51","四川省","13","千克","0","?","42",
"202501","85177950","光通信设备的激光收发模块","129","菲律宾","10","一般贸易","33","浙江省","19","千克","0","?","14,155",
"202501","85177950","光通信设备的激光收发模块","129","菲律宾","10","一般贸易","35","福建省","11","千克","0","?","8,022",
"202501","85177950","光通信设备的激光收发模块","129","菲律宾","10","一般贸易","42","湖北省","247","千克","0","?","100,837",
"202501","85177950","光通信设备的激光收发模块","129","菲律宾","10","一般贸易","44","广东省","1744","千克","0","?","3,959,937",
"202501","85177950","光通信设备的激光收发模块","129","菲律宾","15","进料加工贸易","44","广东省","0","千克","0","?","104",
"202501","85177950","光通信设备的激光收发模块","129","菲律宾","34","海关特殊监管区域物流货物","32","江苏省","101","千克","0","?","24,465",
"202501","85177950","光通信设备的激光收发模块","130","卡塔尔","10","一般贸易","31","上海市","4","千克","0","?","1,112",
"202501","85177950","光通信设备的激光收发模块","130","卡塔尔","10","一般贸易","33","浙江省","9","千克","0","?","6,205",
"202501","85177950","光通信设备的激光收发模块","130","卡塔尔","10","一般贸易","44","广东省","0","千克","0","?","996",
"202501","85177950","光通信设备的激光收发模块","130","卡塔尔","34","海关特殊监管区域物流货物","35","福建省","3","千克","0","?","2,618",
"202501","85177950","光通信设备的激光收发模块","131","沙特阿拉伯","10","一般贸易","33","浙江省","14","千克","0","?","12,926",
"202501","85177950","光通信设备的激光收发模块","131","沙特阿拉伯","10","一般贸易","35","福建省","31","千克","0","?","4,818",
"202501","85177950","光通信设备的激光收发模块","131","沙特阿拉伯","10","一般贸易","44","广东省","31","千克","0","?","61,735",
"202501","85177950","光通信设备的激光收发模块","131","沙特阿拉伯","10","一般贸易","52","贵州省","70","千克","0","?","19,262",
"202501","85177950","光通信设备的激光收发模块","131","沙特阿拉伯","10","一般贸易","65","新疆维吾尔自治区","10","千克","0","?","71",
"202501","85177950","光通信设备的激光收发模块","131","沙特阿拉伯","34","海关特殊监管区域物流货物","32","江苏省","134","千克","0","?","23,347",
"202501","85177950","光通信设备的激光收发模块","131","沙特阿拉伯","39","其他","33","浙江省","151","千克","0","?","1,136",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","11","北京市","11","千克","0","?","12,715",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","31","上海市","17","千克","0","?","24,507",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","32","江苏省","197","千克","0","?","294,644",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","33","浙江省","334","千克","0","?","672,137",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","34","安徽省","5","千克","0","?","516",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","35","福建省","19","千克","0","?","2,026",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","36","江西省","157","千克","0","?","12,873",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","37","山东省","8","千克","0","?","6,963",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","41","河南省","1","千克","0","?","4,364",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","42","湖北省","2046","千克","0","?","3,008,059",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","44","广东省","916","千克","0","?","1,405,005",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","45","广西壮族自治区","26","千克","0","?","2,497",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","51","四川省","202","千克","0","?","663,899",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","52","贵州省","38","千克","0","?","31,716",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","15","进料加工贸易","32","江苏省","1033","千克","0","?","691,934",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","15","进料加工贸易","33","浙江省","220","千克","0","?","190,884",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","15","进料加工贸易","35","福建省","2","千克","0","?","3,664",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","15","进料加工贸易","44","广东省","1019","千克","0","?","2,632,540",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","34","海关特殊监管区域物流货物","32","江苏省","28","千克","0","?","13,884",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","34","海关特殊监管区域物流货物","42","湖北省","1","千克","0","?","36,371",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","34","海关特殊监管区域物流货物","45","广西壮族自治区","2","千克","0","?","685",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","39","其他","33","浙江省","96","千克","0","?","936",
"202501","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","13","河北省","354","千克","0","?","103,405",
"202501","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","21","辽宁省","22","千克","0","?","9,867",
"202501","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","31","上海市","8","千克","0","?","2,257",
"202501","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","32","江苏省","155","千克","0","?","103,210",
"202501","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","33","浙江省","10","千克","0","?","13,482",
"202501","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","34","安徽省","106","千克","0","?","23,982",
"202501","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","37","山东省","170","千克","0","?","194,245",
"202501","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","41","河南省","1","千克","0","?","380",
"202501","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","42","湖北省","712","千克","0","?","391,198",
"202501","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","44","广东省","2820","千克","0","?","1,926,497",
"202501","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","51","四川省","1117","千克","0","?","492,363",
"202501","85177950","光通信设备的激光收发模块","133","韩国","15","进料加工贸易","32","江苏省","6","千克","0","?","29,056",
"202501","85177950","光通信设备的激光收发模块","133","韩国","15","进料加工贸易","35","福建省","9","千克","0","?","44,272",
"202501","85177950","光通信设备的激光收发模块","133","韩国","15","进料加工贸易","44","广东省","0","千克","0","?","17,732",
"202501","85177950","光通信设备的激光收发模块","133","韩国","15","进料加工贸易","51","四川省","0","千克","0","?","1,518",
"202501","85177950","光通信设备的激光收发模块","133","韩国","34","海关特殊监管区域物流货物","31","上海市","0","千克","0","?","1,848",
"202501","85177950","光通信设备的激光收发模块","133","韩国","34","海关特殊监管区域物流货物","32","江苏省","23","千克","0","?","23,682",
"202501","85177950","光通信设备的激光收发模块","133","韩国","34","海关特殊监管区域物流货物","44","广东省","0","千克","0","?","58",
"202501","85177950","光通信设备的激光收发模块","134","斯里兰卡","10","一般贸易","33","浙江省","1","千克","0","?","451",
"202501","85177950","光通信设备的激光收发模块","134","斯里兰卡","10","一般贸易","44","广东省","185","千克","0","?","43,790",
"202501","85177950","光通信设备的激光收发模块","134","斯里兰卡","34","海关特殊监管区域物流货物","32","江苏省","10","千克","0","?","2,423",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","11","北京市","2","千克","0","?","1,226",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","31","上海市","243","千克","0","?","588,745",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","32","江苏省","1918","千克","0","?","3,485,529",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","33","浙江省","86","千克","0","?","84,816",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","34","安徽省","1757","千克","0","?","2,428,398",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","35","福建省","23","千克","0","?","7,315",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","36","江西省","140","千克","0","?","187,968",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","37","山东省","478","千克","0","?","16,407",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","42","湖北省","3319","千克","0","?","5,717,419",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","44","广东省","1742","千克","0","?","4,647,342",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","45","广西壮族自治区","4","千克","0","?","1,936",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","46","海南省","0","千克","0","?","1,198",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","50","重庆市","10","千克","0","?","2,696",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","51","四川省","5759","千克","0","?","8,978,727",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","52","贵州省","1","千克","0","?","208",
