"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","贸易方式编码","贸易方式名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"202501","85177950","光通信设备的激光收发模块","114","伊拉克","10","一般贸易","37","山东省","286","千克","0","?","38,648",
"202501","85177950","光通信设备的激光收发模块","114","伊拉克","10","一般贸易","44","广东省","64","千克","0","?","73,154",
"202501","85177950","光通信设备的激光收发模块","114","伊拉克","10","一般贸易","45","广西壮族自治区","515","千克","0","?","85,663",
"202501","85177950","光通信设备的激光收发模块","114","伊拉克","22","对外承包工程出口货物","11","北京市","3","千克","0","?","10,121",
"202501","85177950","光通信设备的激光收发模块","114","伊拉克","34","海关特殊监管区域物流货物","32","江苏省","188","千克","0","?","214,615",
"202501","85177950","光通信设备的激光收发模块","115","以色列","10","一般贸易","31","上海市","0","千克","0","?","146",
"202501","85177950","光通信设备的激光收发模块","115","以色列","10","一般贸易","32","江苏省","1","千克","0","?","32,058",
"202501","85177950","光通信设备的激光收发模块","115","以色列","10","一般贸易","33","浙江省","13","千克","0","?","175,980",
"202501","85177950","光通信设备的激光收发模块","115","以色列","10","一般贸易","42","湖北省","67","千克","0","?","574,546",
"202501","85177950","光通信设备的激光收发模块","115","以色列","10","一般贸易","44","广东省","296","千克","0","?","1,924,393",
"202501","85177950","光通信设备的激光收发模块","115","以色列","10","一般贸易","51","四川省","114","千克","0","?","1,279,034",
"202501","85177950","光通信设备的激光收发模块","115","以色列","15","进料加工贸易","32","江苏省","3","千克","0","?","43,516",
"202501","85177950","光通信设备的激光收发模块","115","以色列","15","进料加工贸易","44","广东省","2","千克","0","?","141,395",
"202501","85177950","光通信设备的激光收发模块","115","以色列","15","进料加工贸易","51","四川省","0","千克","0","?","2,156",
"202501","85177950","光通信设备的激光收发模块","115","以色列","34","海关特殊监管区域物流货物","32","江苏省","296","千克","0","?","746,138",
"202501","85177950","光通信设备的激光收发模块","115","以色列","34","海关特殊监管区域物流货物","44","广东省","30","千克","0","?","179,276",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","11","北京市","1","千克","0","?","381,252",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","31","上海市","63","千克","0","?","895,947",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","32","江苏省","384","千克","0","?","3,542,932",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","33","浙江省","59","千克","0","?","973,986",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","34","安徽省","3","千克","0","?","93,926",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","35","福建省","3","千克","0","?","56,704",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","37","山东省","9","千克","0","?","76,041",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","42","湖北省","289","千克","0","?","1,991,980",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","44","广东省","840","千克","0","?","3,354,262",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","45","广西壮族自治区","0","千克","0","?","43",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","50","重庆市","1","千克","0","?","8,790",
"202501","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","51","四川省","729","千克","0","?","2,784,198",
"202501","85177950","光通信设备的激光收发模块","116","日本","15","进料加工贸易","32","江苏省","417","千克","0","?","2,267,460",
"202501","85177950","光通信设备的激光收发模块","116","日本","15","进料加工贸易","35","福建省","24","千克","0","?","407,681",
"202501","85177950","光通信设备的激光收发模块","116","日本","15","进料加工贸易","44","广东省","8","千克","0","?","189,073",
"202501","85177950","光通信设备的激光收发模块","116","日本","15","进料加工贸易","51","四川省","72","千克","0","?","1,019,823",
"202501","85177950","光通信设备的激光收发模块","116","日本","34","海关特殊监管区域物流货物","31","上海市","2","千克","0","?","49,339",
"202501","85177950","光通信设备的激光收发模块","116","日本","34","海关特殊监管区域物流货物","32","江苏省","454","千克","0","?","4,967,987",
"202501","85177950","光通信设备的激光收发模块","116","日本","39","其他","33","浙江省","1","千克","0","?","553",
"202501","85177950","光通信设备的激光收发模块","116","日本","39","其他","44","广东省","3","千克","0","?","3,026",
"202501","85177950","光通信设备的激光收发模块","117","约旦","10","一般贸易","33","浙江省","0","千克","0","?","245",
"202501","85177950","光通信设备的激光收发模块","117","约旦","10","一般贸易","44","广东省","9","千克","0","?","107,274",
"202501","85177950","光通信设备的激光收发模块","118","科威特","10","一般贸易","32","江苏省","309","千克","0","?","46,199",
"202501","85177950","光通信设备的激光收发模块","118","科威特","10","一般贸易","33","浙江省","2","千克","0","?","8,112",
"202501","85177950","光通信设备的激光收发模块","118","科威特","10","一般贸易","44","广东省","7","千克","0","?","99,088",
"202501","85177950","光通信设备的激光收发模块","118","科威特","15","进料加工贸易","44","广东省","0","千克","0","?","105,416",
"202501","85177950","光通信设备的激光收发模块","119","老挝","10","一般贸易","42","湖北省","25","千克","0","?","16,173",
"202501","85177950","光通信设备的激光收发模块","119","老挝","10","一般贸易","44","广东省","4","千克","0","?","74,086",
"202501","85177950","光通信设备的激光收发模块","120","黎巴嫩","10","一般贸易","35","福建省","2","千克","0","?","19,727",
"202501","85177950","光通信设备的激光收发模块","120","黎巴嫩","10","一般贸易","37","山东省","269","千克","0","?","44,666",
"202501","85177950","光通信设备的激光收发模块","120","黎巴嫩","10","一般贸易","44","广东省","13","千克","0","?","42,438",
"202501","85177950","光通信设备的激光收发模块","120","黎巴嫩","10","一般贸易","45","广西壮族自治区","603","千克","0","?","87,328",
"202501","85177950","光通信设备的激光收发模块","121","中国澳门","10","一般贸易","33","浙江省","2","千克","0","?","22,642",
"202501","85177950","光通信设备的激光收发模块","121","中国澳门","10","一般贸易","44","广东省","3","千克","0","?","30,853",
"202501","85177950","光通信设备的激光收发模块","121","中国澳门","10","一般贸易","51","四川省","0","千克","0","?","4,964",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","31","上海市","1841","千克","0","?","6,594,243",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","32","江苏省","2201","千克","0","?","15,569,441",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","33","浙江省","219","千克","0","?","880,319",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","34","安徽省","8","千克","0","?","182,161",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","35","福建省","30","千克","0","?","235,093",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","36","江西省","6","千克","0","?","1,986",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","37","山东省","349","千克","0","?","400,444",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","41","河南省","0","千克","0","?","25",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","42","湖北省","5463","千克","0","?","24,476,378",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","43","湖南省","106","千克","0","?","532,847",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","44","广东省","1310","千克","0","?","8,507,877",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","45","广西壮族自治区","0","千克","0","?","46",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","51","四川省","10","千克","0","?","431,861",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","52","贵州省","0","千克","0","?","40",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","15","进料加工贸易","32","江苏省","25576","千克","0","?","460,007,241",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","15","进料加工贸易","35","福建省","0","千克","0","?","353",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","15","进料加工贸易","44","广东省","856","千克","0","?","7,840,636",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","33","保税监管场所进出境货物","44","广东省","5","千克","0","?","11,556",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","34","海关特殊监管区域物流货物","32","江苏省","25","千克","0","?","129,309",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","34","海关特殊监管区域物流货物","35","福建省","4","千克","0","?","42,070",
"202501","85177950","光通信设备的激光收发模块","122","马来西亚","39","其他","42","湖北省","2","千克","0","?","4,600",
"202501","85177950","光通信设备的激光收发模块","123","马尔代夫","10","一般贸易","44","广东省","2","千克","0","?","4,635",
"202501","85177950","光通信设备的激光收发模块","123","马尔代夫","10","一般贸易","51","四川省","1","千克","0","?","2,645",
"202501","85177950","光通信设备的激光收发模块","124","蒙古","10","一般贸易","33","浙江省","1","千克","0","?","7,780",
"202501","85177950","光通信设备的激光收发模块","124","蒙古","10","一般贸易","44","广东省","15","千克","0","?","33,556",
"202501","85177950","光通信设备的激光收发模块","125","尼泊尔","10","一般贸易","31","上海市","0","千克","0","?","3,018",
"202501","85177950","光通信设备的激光收发模块","125","尼泊尔","10","一般贸易","44","广东省","16","千克","0","?","92,941",
"202501","85177950","光通信设备的激光收发模块","125","尼泊尔","10","一般贸易","51","四川省","8","千克","0","?","162",
"202501","85177950","光通信设备的激光收发模块","126","阿曼","10","一般贸易","33","浙江省","40","千克","0","?","20,637",
"202501","85177950","光通信设备的激光收发模块","126","阿曼","10","一般贸易","42","湖北省","2","千克","0","?","45,141",
"202501","85177950","光通信设备的激光收发模块","126","阿曼","10","一般贸易","44","广东省","13","千克","0","?","21,225",
"202501","85177950","光通信设备的激光收发模块","127","巴基斯坦","10","一般贸易","31","上海市","20","千克","0","?","719",
"202501","85177950","光通信设备的激光收发模块","127","巴基斯坦","10","一般贸易","33","浙江省","39","千克","0","?","82,511",
"202501","85177950","光通信设备的激光收发模块","127","巴基斯坦","10","一般贸易","34","安徽省","3","千克","0","?","3,514",
"202501","85177950","光通信设备的激光收发模块","127","巴基斯坦","10","一般贸易","44","广东省","50","千克","0","?","196,480",
"202501","85177950","光通信设备的激光收发模块","127","巴基斯坦","10","一般贸易","51","四川省","13","千克","0","?","299",
"202501","85177950","光通信设备的激光收发模块","129","菲律宾","10","一般贸易","33","浙江省","19","千克","0","?","101,750",
"202501","85177950","光通信设备的激光收发模块","129","菲律宾","10","一般贸易","35","福建省","11","千克","0","?","57,654",
"202501","85177950","光通信设备的激光收发模块","129","菲律宾","10","一般贸易","42","湖北省","247","千克","0","?","724,918",
"202501","85177950","光通信设备的激光收发模块","129","菲律宾","10","一般贸易","44","广东省","1744","千克","0","?","28,464,261",
"202501","85177950","光通信设备的激光收发模块","129","菲律宾","15","进料加工贸易","44","广东省","0","千克","0","?","750",
"202501","85177950","光通信设备的激光收发模块","129","菲律宾","34","海关特殊监管区域物流货物","32","江苏省","101","千克","0","?","175,854",
"202501","85177950","光通信设备的激光收发模块","130","卡塔尔","10","一般贸易","31","上海市","4","千克","0","?","7,994",
"202501","85177950","光通信设备的激光收发模块","130","卡塔尔","10","一般贸易","33","浙江省","9","千克","0","?","44,944",
"202501","85177950","光通信设备的激光收发模块","130","卡塔尔","10","一般贸易","44","广东省","0","千克","0","?","7,147",
"202501","85177950","光通信设备的激光收发模块","130","卡塔尔","34","海关特殊监管区域物流货物","35","福建省","3","千克","0","?","18,818",
"202501","85177950","光通信设备的激光收发模块","131","沙特阿拉伯","10","一般贸易","33","浙江省","14","千克","0","?","92,907",
"202501","85177950","光通信设备的激光收发模块","131","沙特阿拉伯","10","一般贸易","35","福建省","31","千克","0","?","34,631",
"202501","85177950","光通信设备的激光收发模块","131","沙特阿拉伯","10","一般贸易","44","广东省","31","千克","0","?","443,758",
"202501","85177950","光通信设备的激光收发模块","131","沙特阿拉伯","10","一般贸易","52","贵州省","70","千克","0","?","138,402",
"202501","85177950","光通信设备的激光收发模块","131","沙特阿拉伯","10","一般贸易","65","新疆维吾尔自治区","10","千克","0","?","511",
"202501","85177950","光通信设备的激光收发模块","131","沙特阿拉伯","34","海关特殊监管区域物流货物","32","江苏省","134","千克","0","?","167,851",
"202501","85177950","光通信设备的激光收发模块","131","沙特阿拉伯","39","其他","33","浙江省","151","千克","0","?","8,162",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","11","北京市","11","千克","0","?","91,389",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","31","上海市","17","千克","0","?","176,164",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","32","江苏省","197","千克","0","?","2,117,925",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","33","浙江省","334","千克","0","?","4,831,412",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","34","安徽省","5","千克","0","?","3,699",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","35","福建省","19","千克","0","?","14,561",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","36","江西省","157","千克","0","?","92,517",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","37","山东省","8","千克","0","?","50,069",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","41","河南省","1","千克","0","?","31,364",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","42","湖北省","2046","千克","0","?","21,623,339",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","44","广东省","916","千克","0","?","10,100,708",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","45","广西壮族自治区","26","千克","0","?","17,938",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","51","四川省","202","千克","0","?","4,772,141",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","10","一般贸易","52","贵州省","38","千克","0","?","227,778",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","15","进料加工贸易","32","江苏省","1033","千克","0","?","4,973,696",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","15","进料加工贸易","33","浙江省","220","千克","0","?","1,372,198",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","15","进料加工贸易","35","福建省","2","千克","0","?","26,333",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","15","进料加工贸易","44","广东省","1019","千克","0","?","18,922,689",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","34","海关特殊监管区域物流货物","32","江苏省","28","千克","0","?","99,807",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","34","海关特殊监管区域物流货物","42","湖北省","1","千克","0","?","262,793",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","34","海关特殊监管区域物流货物","45","广西壮族自治区","2","千克","0","?","4,928",
"202501","85177950","光通信设备的激光收发模块","132","新加坡","39","其他","33","浙江省","96","千克","0","?","6,731",
"202501","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","13","河北省","354","千克","0","?","743,275",
"202501","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","21","辽宁省","22","千克","0","?","70,924",
"202501","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","31","上海市","8","千克","0","?","16,227",
"202501","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","32","江苏省","155","千克","0","?","741,877",
"202501","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","33","浙江省","10","千克","0","?","96,913",
"202501","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","34","安徽省","106","千克","0","?","172,383",
"202501","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","37","山东省","170","千克","0","?","1,397,128",
"202501","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","41","河南省","1","千克","0","?","2,735",
"202501","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","42","湖北省","712","千克","0","?","2,811,883",
"202501","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","44","广东省","2820","千克","0","?","13,847,936",
"202501","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","51","四川省","1117","千克","0","?","3,539,117",
"202501","85177950","光通信设备的激光收发模块","133","韩国","15","进料加工贸易","32","江苏省","6","千克","0","?","208,862",
"202501","85177950","光通信设备的激光收发模块","133","韩国","15","进料加工贸易","35","福建省","9","千克","0","?","318,221",
"202501","85177950","光通信设备的激光收发模块","133","韩国","15","进料加工贸易","44","广东省","0","千克","0","?","127,457",
"202501","85177950","光通信设备的激光收发模块","133","韩国","15","进料加工贸易","51","四川省","0","千克","0","?","10,913",
"202501","85177950","光通信设备的激光收发模块","133","韩国","34","海关特殊监管区域物流货物","31","上海市","0","千克","0","?","13,283",
"202501","85177950","光通信设备的激光收发模块","133","韩国","34","海关特殊监管区域物流货物","32","江苏省","23","千克","0","?","170,294",
"202501","85177950","光通信设备的激光收发模块","133","韩国","34","海关特殊监管区域物流货物","44","广东省","0","千克","0","?","415",
"202501","85177950","光通信设备的激光收发模块","134","斯里兰卡","10","一般贸易","33","浙江省","1","千克","0","?","3,242",
"202501","85177950","光通信设备的激光收发模块","134","斯里兰卡","10","一般贸易","44","广东省","185","千克","0","?","314,783",
"202501","85177950","光通信设备的激光收发模块","134","斯里兰卡","34","海关特殊监管区域物流货物","32","江苏省","10","千克","0","?","17,412",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","11","北京市","2","千克","0","?","8,816",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","31","上海市","243","千克","0","?","4,232,777",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","32","江苏省","1918","千克","0","?","25,054,076",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","33","浙江省","86","千克","0","?","609,692",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","34","安徽省","1757","千克","0","?","17,455,323",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","35","福建省","23","千克","0","?","52,587",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","36","江西省","140","千克","0","?","1,351,179",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","37","山东省","478","千克","0","?","117,932",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","42","湖北省","3319","千克","0","?","41,099,817",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","44","广东省","1742","千克","0","?","33,369,801",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","45","广西壮族自治区","4","千克","0","?","13,900",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","46","海南省","0","千克","0","?","8,608",
"202501","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","50","重庆市","10","千克","0","?","19,381",
