"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","贸易方式编码","贸易方式名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"202401","85177950","光通信设备的激光收发模块","304","德国","10","一般贸易","157","千克","0","?","366,895",
"202401","85177950","光通信设备的激光收发模块","304","德国","14","来料加工贸易","116","千克","0","?","72,829",
"202401","85177950","光通信设备的激光收发模块","304","德国","39","其他","3","千克","0","?","1,740",
"202401","85177950","光通信设备的激光收发模块","305","法国","10","一般贸易","107","千克","0","?","2,340,790",
"202401","85177950","光通信设备的激光收发模块","305","法国","34","海关特殊监管区域物流货物","9","千克","0","?","3,191",
"202401","85177950","光通信设备的激光收发模块","307","意大利","10","一般贸易","1","千克","0","?","1,528",
"202401","85177950","光通信设备的激光收发模块","315","奥地利","10","一般贸易","0","千克","0","?","2,002",
"202401","85177950","光通信设备的激光收发模块","328","罗马尼亚","10","一般贸易","1","千克","0","?","15,590",
"202401","85177950","光通信设备的激光收发模块","330","瑞典","10","一般贸易","3","千克","0","?","25,391",
"202401","85177950","光通信设备的激光收发模块","331","瑞士","10","一般贸易","4","千克","0","?","4,280",
"202401","85177950","光通信设备的激光收发模块","335","拉脱维亚","10","一般贸易","0","千克","0","?","2,015",
"202401","85177950","光通信设备的激光收发模块","352","捷克","10","一般贸易","0","千克","0","?","487",
"202401","85177950","光通信设备的激光收发模块","429","墨西哥","10","一般贸易","13","千克","0","?","50,691",
"202401","85177950","光通信设备的激光收发模块","501","加拿大","10","一般贸易","0","千克","0","?","1,074",
"202401","85177950","光通信设备的激光收发模块","502","美国","10","一般贸易","57","千克","0","?","210,699",
"202401","85177950","光通信设备的激光收发模块","502","美国","15","进料加工贸易","2","千克","0","?","1,330",
"202401","85177950","光通信设备的激光收发模块","502","美国","33","保税监管场所进出境货物","1","千克","0","?","12,521",
"202401","85177950","光通信设备的激光收发模块","502","美国","34","海关特殊监管区域物流货物","73","千克","0","?","481,655",
"202401","85177950","光通信设备的激光收发模块","502","美国","39","其他","6","千克","0","?","2,703",
"202401","85177950","光通信设备的激光收发模块","601","澳大利亚","10","一般贸易","3","千克","0","?","9,355",
"202401","85177990","品目85.17所列设备用其他零件","106","缅甸","10","一般贸易","261","千克","0","?","32,940",
"202401","85177990","品目85.17所列设备用其他零件","107","柬埔寨","10","一般贸易","46","千克","0","?","79,923",
"202401","85177990","品目85.17所列设备用其他零件","108","塞浦路斯","33","保税监管场所进出境货物","332","千克","0","?","25,986",
"202401","85177990","品目85.17所列设备用其他零件","110","中国香港","10","一般贸易","223","千克","0","?","6,880",
"202401","85177990","品目85.17所列设备用其他零件","110","中国香港","39","其他","0","千克","0","?","5,386",
"202401","85177990","品目85.17所列设备用其他零件","111","印度","10","一般贸易","2447","千克","0","?","260,434",
"202401","85177990","品目85.17所列设备用其他零件","111","印度","15","进料加工贸易","1417","千克","0","?","282,246",
"202401","85177990","品目85.17所列设备用其他零件","111","印度","34","海关特殊监管区域物流货物","12297","千克","0","?","2,569,341",
"202401","85177990","品目85.17所列设备用其他零件","111","印度","39","其他","392","千克","0","?","95,974",
"202401","85177990","品目85.17所列设备用其他零件","112","印度尼西亚","10","一般贸易","309","千克","0","?","38,564",
"202401","85177990","品目85.17所列设备用其他零件","112","印度尼西亚","14","来料加工贸易","121","千克","0","?","462",
"202401","85177990","品目85.17所列设备用其他零件","112","印度尼西亚","15","进料加工贸易","30","千克","0","?","8,727",
"202401","85177990","品目85.17所列设备用其他零件","112","印度尼西亚","34","海关特殊监管区域物流货物","3","千克","0","?","4,179",
"202401","85177990","品目85.17所列设备用其他零件","115","以色列","10","一般贸易","1146","千克","0","?","346,041",
"202401","85177990","品目85.17所列设备用其他零件","115","以色列","15","进料加工贸易","13","千克","0","?","61,701",
"202401","85177990","品目85.17所列设备用其他零件","115","以色列","33","保税监管场所进出境货物","0","千克","0","?","569",
"202401","85177990","品目85.17所列设备用其他零件","115","以色列","34","海关特殊监管区域物流货物","1","千克","0","?","10,254",
"202401","85177990","品目85.17所列设备用其他零件","115","以色列","35","海关特殊监管区域进口设备","0","千克","0","?","240",
"202401","85177990","品目85.17所列设备用其他零件","115","以色列","39","其他","0","千克","0","?","167",
"202401","85177990","品目85.17所列设备用其他零件","116","日本","10","一般贸易","4920","千克","0","?","7,227,190",
"202401","85177990","品目85.17所列设备用其他零件","116","日本","14","来料加工贸易","26","千克","0","?","10,361",
"202401","85177990","品目85.17所列设备用其他零件","116","日本","15","进料加工贸易","2421","千克","0","?","5,876,925",
"202401","85177990","品目85.17所列设备用其他零件","116","日本","33","保税监管场所进出境货物","537","千克","0","?","278,829",
"202401","85177990","品目85.17所列设备用其他零件","116","日本","34","海关特殊监管区域物流货物","328","千克","0","?","949,146",
"202401","85177990","品目85.17所列设备用其他零件","116","日本","39","其他","82","千克","0","?","41,975",
"202401","85177990","品目85.17所列设备用其他零件","122","马来西亚","10","一般贸易","1384","千克","0","?","4,691,625",
"202401","85177990","品目85.17所列设备用其他零件","122","马来西亚","15","进料加工贸易","10555","千克","0","?","33,078,787",
"202401","85177990","品目85.17所列设备用其他零件","122","马来西亚","33","保税监管场所进出境货物","7873","千克","0","?","154,065",
"202401","85177990","品目85.17所列设备用其他零件","122","马来西亚","34","海关特殊监管区域物流货物","611","千克","0","?","969,185",
"202401","85177990","品目85.17所列设备用其他零件","122","马来西亚","35","海关特殊监管区域进口设备","0","千克","0","?","5,400",
"202401","85177990","品目85.17所列设备用其他零件","122","马来西亚","39","其他","144","千克","0","?","46,426",
"202401","85177990","品目85.17所列设备用其他零件","129","菲律宾","10","一般贸易","1476","千克","0","?","1,526,834",
"202401","85177990","品目85.17所列设备用其他零件","129","菲律宾","15","进料加工贸易","725","千克","0","?","156,052",
"202401","85177990","品目85.17所列设备用其他零件","129","菲律宾","33","保税监管场所进出境货物","73","千克","0","?","9,149",
"202401","85177990","品目85.17所列设备用其他零件","129","菲律宾","34","海关特殊监管区域物流货物","156","千克","0","?","87,662",
"202401","85177990","品目85.17所列设备用其他零件","132","新加坡","10","一般贸易","2227","千克","0","?","4,217,905",
"202401","85177990","品目85.17所列设备用其他零件","132","新加坡","15","进料加工贸易","1296","千克","0","?","223,511",
"202401","85177990","品目85.17所列设备用其他零件","132","新加坡","33","保税监管场所进出境货物","2344","千克","0","?","296,696",
"202401","85177990","品目85.17所列设备用其他零件","132","新加坡","34","海关特殊监管区域物流货物","1802","千克","0","?","2,080,195",
"202401","85177990","品目85.17所列设备用其他零件","133","韩国","10","一般贸易","8962","千克","0","?","1,505,964",
"202401","85177990","品目85.17所列设备用其他零件","133","韩国","14","来料加工贸易","212","千克","0","?","19,197",
"202401","85177990","品目85.17所列设备用其他零件","133","韩国","15","进料加工贸易","3234","千克","0","?","5,535,233",
"202401","85177990","品目85.17所列设备用其他零件","133","韩国","33","保税监管场所进出境货物","194","千克","0","?","7,149",
"202401","85177990","品目85.17所列设备用其他零件","133","韩国","34","海关特殊监管区域物流货物","577","千克","0","?","63,567",
"202401","85177990","品目85.17所列设备用其他零件","133","韩国","39","其他","133","千克","0","?","82,128",
"202401","85177990","品目85.17所列设备用其他零件","136","泰国","10","一般贸易","5780","千克","0","?","11,560,946",
"202401","85177990","品目85.17所列设备用其他零件","136","泰国","14","来料加工贸易","6","千克","0","?","18,750",
"202401","85177990","品目85.17所列设备用其他零件","136","泰国","15","进料加工贸易","341","千克","0","?","3,901,718",
"202401","85177990","品目85.17所列设备用其他零件","136","泰国","33","保税监管场所进出境货物","815","千克","0","?","7,385,776",
"202401","85177990","品目85.17所列设备用其他零件","136","泰国","34","海关特殊监管区域物流货物","191","千克","0","?","908,816",
"202401","85177990","品目85.17所列设备用其他零件","136","泰国","39","其他","165","千克","0","?","56,369",
"202401","85177990","品目85.17所列设备用其他零件","137","土耳其","10","一般贸易","17","千克","0","?","19,073",
"202401","85177990","品目85.17所列设备用其他零件","138","阿联酋","10","一般贸易","5","千克","0","?","50",
"202401","85177990","品目85.17所列设备用其他零件","141","越南","10","一般贸易","35352","千克","0","?","1,446,569",
"202401","85177990","品目85.17所列设备用其他零件","141","越南","15","进料加工贸易","865","千克","0","?","1,433,334",
"202401","85177990","品目85.17所列设备用其他零件","141","越南","34","海关特殊监管区域物流货物","55511","千克","0","?","17,618,573",
"202401","85177990","品目85.17所列设备用其他零件","141","越南","35","海关特殊监管区域进口设备","0","千克","0","?","12",
"202401","85177990","品目85.17所列设备用其他零件","141","越南","39","其他","1206","千克","0","?","49,295",
"202401","85177990","品目85.17所列设备用其他零件","142","中国","10","一般贸易","189943","千克","0","?","32,302,735",
"202401","85177990","品目85.17所列设备用其他零件","142","中国","14","来料加工贸易","9526","千克","0","?","3,336,502",
"202401","85177990","品目85.17所列设备用其他零件","142","中国","15","进料加工贸易","203416","千克","0","?","21,093,447",
"202401","85177990","品目85.17所列设备用其他零件","142","中国","33","保税监管场所进出境货物","37401","千克","0","?","2,293,089",
"202401","85177990","品目85.17所列设备用其他零件","142","中国","34","海关特殊监管区域物流货物","17804","千克","0","?","1,814,869",
"202401","85177990","品目85.17所列设备用其他零件","142","中国","35","海关特殊监管区域进口设备","0","千克","0","?","2",
"202401","85177990","品目85.17所列设备用其他零件","142","中国","39","其他","3288","千克","0","?","157,175",
"202401","85177990","品目85.17所列设备用其他零件","143","中国台湾","10","一般贸易","11681","千克","0","?","6,196,614",
"202401","85177990","品目85.17所列设备用其他零件","143","中国台湾","14","来料加工贸易","35","千克","0","?","14,076",
"202401","85177990","品目85.17所列设备用其他零件","143","中国台湾","15","进料加工贸易","44716","千克","0","?","21,173,147",
"202401","85177990","品目85.17所列设备用其他零件","143","中国台湾","33","保税监管场所进出境货物","45","千克","0","?","101,994",
"202401","85177990","品目85.17所列设备用其他零件","143","中国台湾","34","海关特殊监管区域物流货物","9038","千克","0","?","409,917",
"202401","85177990","品目85.17所列设备用其他零件","143","中国台湾","39","其他","51","千克","0","?","76,786",
"202401","85177990","品目85.17所列设备用其他零件","215","埃及","33","保税监管场所进出境货物","4","千克","0","?","128",
"202401","85177990","品目85.17所列设备用其他零件","232","摩洛哥","34","海关特殊监管区域物流货物","16","千克","0","?","155,601",
"202401","85177990","品目85.17所列设备用其他零件","301","比利时","10","一般贸易","192","千克","0","?","279,082",
"202401","85177990","品目85.17所列设备用其他零件","301","比利时","15","进料加工贸易","10","千克","0","?","258",
"202401","85177990","品目85.17所列设备用其他零件","302","丹麦","10","一般贸易","1331","千克","0","?","428,591",
"202401","85177990","品目85.17所列设备用其他零件","302","丹麦","15","进料加工贸易","0","千克","0","?","48,841",
"202401","85177990","品目85.17所列设备用其他零件","302","丹麦","33","保税监管场所进出境货物","194","千克","0","?","58,859",
"202401","85177990","品目85.17所列设备用其他零件","302","丹麦","39","其他","2","千克","0","?","173",
"202401","85177990","品目85.17所列设备用其他零件","303","英国","10","一般贸易","1826","千克","0","?","1,670,701",
"202401","85177990","品目85.17所列设备用其他零件","303","英国","14","来料加工贸易","2","千克","0","?","274",
"202401","85177990","品目85.17所列设备用其他零件","303","英国","15","进料加工贸易","24","千克","0","?","138,226",
"202401","85177990","品目85.17所列设备用其他零件","303","英国","33","保税监管场所进出境货物","97","千克","0","?","43,722",
"202401","85177990","品目85.17所列设备用其他零件","303","英国","34","海关特殊监管区域物流货物","1770","千克","0","?","203,124",
"202401","85177990","品目85.17所列设备用其他零件","303","英国","39","其他","1","千克","0","?","1,810",
"202401","85177990","品目85.17所列设备用其他零件","304","德国","10","一般贸易","2772","千克","0","?","2,193,980",
"202401","85177990","品目85.17所列设备用其他零件","304","德国","14","来料加工贸易","0","千克","0","?","2,253",
"202401","85177990","品目85.17所列设备用其他零件","304","德国","15","进料加工贸易","52","千克","0","?","95,070",
"202401","85177990","品目85.17所列设备用其他零件","304","德国","33","保税监管场所进出境货物","194","千克","0","?","63,631",
"202401","85177990","品目85.17所列设备用其他零件","304","德国","34","海关特殊监管区域物流货物","173","千克","0","?","78,904",
"202401","85177990","品目85.17所列设备用其他零件","304","德国","35","海关特殊监管区域进口设备","0","千克","0","?","356",
"202401","85177990","品目85.17所列设备用其他零件","304","德国","39","其他","66","千克","0","?","62,772",
"202401","85177990","品目85.17所列设备用其他零件","305","法国","10","一般贸易","1595","千克","0","?","2,571,972",
"202401","85177990","品目85.17所列设备用其他零件","305","法国","15","进料加工贸易","215","千克","0","?","1,434,864",
"202401","85177990","品目85.17所列设备用其他零件","305","法国","33","保税监管场所进出境货物","35","千克","0","?","43,042",
"202401","85177990","品目85.17所列设备用其他零件","305","法国","34","海关特殊监管区域物流货物","12","千克","0","?","28,355",
"202401","85177990","品目85.17所列设备用其他零件","305","法国","39","其他","0","千克","0","?","32",
"202401","85177990","品目85.17所列设备用其他零件","307","意大利","10","一般贸易","1145","千克","0","?","277,225",
"202401","85177990","品目85.17所列设备用其他零件","307","意大利","34","海关特殊监管区域物流货物","6","千克","0","?","16,238",
"202401","85177990","品目85.17所列设备用其他零件","307","意大利","39","其他","30","千克","0","?","6,241",
"202401","85177990","品目85.17所列设备用其他零件","309","荷兰","10","一般贸易","63","千克","0","?","149,239",
"202401","85177990","品目85.17所列设备用其他零件","309","荷兰","33","保税监管场所进出境货物","723","千克","0","?","47,426",
"202401","85177990","品目85.17所列设备用其他零件","309","荷兰","34","海关特殊监管区域物流货物","238","千克","0","?","28,855",
"202401","85177990","品目85.17所列设备用其他零件","309","荷兰","35","海关特殊监管区域进口设备","0","千克","0","?","195",
"202401","85177990","品目85.17所列设备用其他零件","309","荷兰","39","其他","1","千克","0","?","682",
"202401","85177990","品目85.17所列设备用其他零件","310","希腊","10","一般贸易","12","千克","0","?","3,790",
"202401","85177990","品目85.17所列设备用其他零件","310","希腊","33","保税监管场所进出境货物","800","千克","0","?","38,101",
"202401","85177990","品目85.17所列设备用其他零件","310","希腊","34","海关特殊监管区域物流货物","263","千克","0","?","15,774",
"202401","85177990","品目85.17所列设备用其他零件","310","希腊","39","其他","3","千克","0","?","46",
"202401","85177990","品目85.17所列设备用其他零件","311","葡萄牙","10","一般贸易","6","千克","0","?","1,519",
"202401","85177990","品目85.17所列设备用其他零件","311","葡萄牙","34","海关特殊监管区域物流货物","49","千克","0","?","25,986",
"202401","85177990","品目85.17所列设备用其他零件","312","西班牙","10","一般贸易","96","千克","0","?","217,794",
"202401","85177990","品目85.17所列设备用其他零件","312","西班牙","39","其他","1","千克","0","?","119",
"202401","85177990","品目85.17所列设备用其他零件","315","奥地利","10","一般贸易","180","千克","0","?","792,137",
"202401","85177990","品目85.17所列设备用其他零件","315","奥地利","14","来料加工贸易","0","千克","0","?","64",
"202401","85177990","品目85.17所列设备用其他零件","315","奥地利","15","进料加工贸易","102","千克","0","?","396,358",
"202401","85177990","品目85.17所列设备用其他零件","316","保加利亚","10","一般贸易","404","千克","0","?","16,536",
"202401","85177990","品目85.17所列设备用其他零件","316","保加利亚","15","进料加工贸易","2","千克","0","?","1,478",
"202401","85177990","品目85.17所列设备用其他零件","318","芬兰","10","一般贸易","237","千克","0","?","58,921",
"202401","85177990","品目85.17所列设备用其他零件","318","芬兰","15","进料加工贸易","3","千克","0","?","652",
"202401","85177990","品目85.17所列设备用其他零件","318","芬兰","34","海关特殊监管区域物流货物","447","千克","0","?","193,151",
"202401","85177990","品目85.17所列设备用其他零件","318","芬兰","39","其他","6","千克","0","?","5,878",
"202401","85177990","品目85.17所列设备用其他零件","321","匈牙利","10","一般贸易","2190","千克","0","?","223,953",
"202401","85177990","品目85.17所列设备用其他零件","321","匈牙利","15","进料加工贸易","225","千克","0","?","399,651",
"202401","85177990","品目85.17所列设备用其他零件","321","匈牙利","34","海关特殊监管区域物流货物","1642","千克","0","?","133,740",
"202401","85177990","品目85.17所列设备用其他零件","321","匈牙利","39","其他","0","千克","0","?","280",
"202401","85177990","品目85.17所列设备用其他零件","326","挪威","10","一般贸易","48","千克","0","?","4,079",
"202401","85177990","品目85.17所列设备用其他零件","326","挪威","33","保税监管场所进出境货物","36","千克","0","?","10,096",
"202401","85177990","品目85.17所列设备用其他零件","326","挪威","34","海关特殊监管区域物流货物","548","千克","0","?","18,604",
"202401","85177990","品目85.17所列设备用其他零件","327","波兰","10","一般贸易","4206","千克","0","?","629,331",
"202401","85177990","品目85.17所列设备用其他零件","327","波兰","15","进料加工贸易","0","千克","0","?","46",
"202401","85177990","品目85.17所列设备用其他零件","327","波兰","34","海关特殊监管区域物流货物","3554","千克","0","?","205,386",
"202401","85177990","品目85.17所列设备用其他零件","328","罗马尼亚","10","一般贸易","1332","千克","0","?","495,331",
"202401","85177990","品目85.17所列设备用其他零件","328","罗马尼亚","15","进料加工贸易","0","千克","0","?","4,888",
"202401","85177990","品目85.17所列设备用其他零件","328","罗马尼亚","34","海关特殊监管区域物流货物","0","千克","0","?","22",
"202401","85177990","品目85.17所列设备用其他零件","328","罗马尼亚","39","其他","10","千克","0","?","878",
"202401","85177990","品目85.17所列设备用其他零件","330","瑞典","10","一般贸易","443","千克","0","?","701,047",
"202401","85177990","品目85.17所列设备用其他零件","330","瑞典","15","进料加工贸易","2","千克","0","?","1,937",
"202401","85177990","品目85.17所列设备用其他零件","330","瑞典","33","保税监管场所进出境货物","21","千克","0","?","6,726",
"202401","85177990","品目85.17所列设备用其他零件","330","瑞典","34","海关特殊监管区域物流货物","22","千克","0","?","3,880",
"202401","85177990","品目85.17所列设备用其他零件","330","瑞典","39","其他","12","千克","0","?","2,514",
"202401","85177990","品目85.17所列设备用其他零件","331","瑞士","10","一般贸易","175","千克","0","?","1,032,844",
"202401","85177990","品目85.17所列设备用其他零件","331","瑞士","15","进料加工贸易","42","千克","0","?","47,184",
"202401","85177990","品目85.17所列设备用其他零件","331","瑞士","33","保税监管场所进出境货物","6","千克","0","?","2,100",
"202401","85177990","品目85.17所列设备用其他零件","331","瑞士","34","海关特殊监管区域物流货物","0","千克","0","?","28,432",
"202401","85177990","品目85.17所列设备用其他零件","331","瑞士","39","其他","0","千克","0","?","960",
"202401","85177990","品目85.17所列设备用其他零件","334","爱沙尼亚","10","一般贸易","3488","千克","0","?","369,799",
"202401","85177990","品目85.17所列设备用其他零件","334","爱沙尼亚","34","海关特殊监管区域物流货物","489","千克","0","?","110,237",
"202401","85177990","品目85.17所列设备用其他零件","334","爱沙尼亚","39","其他","53","千克","0","?","17,766",
"202401","85177990","品目85.17所列设备用其他零件","335","拉脱维亚","10","一般贸易","607","千克","0","?","204,060",
"202401","85177990","品目85.17所列设备用其他零件","336","立陶宛","10","一般贸易","16","千克","0","?","15,720",
"202401","85177990","品目85.17所列设备用其他零件","344","俄罗斯","10","一般贸易","5","千克","0","?","9,500",
"202401","85177990","品目85.17所列设备用其他零件","344","俄罗斯","39","其他","88","千克","0","?","680",
"202401","85177990","品目85.17所列设备用其他零件","347","乌克兰","10","一般贸易","444","千克","0","?","33,011",
"202401","85177990","品目85.17所列设备用其他零件","350","斯洛文尼亚","10","一般贸易","1","千克","0","?","912",
"202401","85177990","品目85.17所列设备用其他零件","352","捷克","10","一般贸易","1037","千克","0","?","48,171",
"202401","85177990","品目85.17所列设备用其他零件","352","捷克","15","进料加工贸易","58","千克","0","?","832",
"202401","85177990","品目85.17所列设备用其他零件","352","捷克","33","保税监管场所进出境货物","111","千克","0","?","642,308",
"202401","85177990","品目85.17所列设备用其他零件","352","捷克","34","海关特殊监管区域物流货物","4","千克","0","?","9,793",
"202401","85177990","品目85.17所列设备用其他零件","352","捷克","39","其他","0","千克","0","?","74",
"202401","85177990","品目85.17所列设备用其他零件","353","斯洛伐克","10","一般贸易","0","千克","0","?","89",
"202401","85177990","品目85.17所列设备用其他零件","353","斯洛伐克","39","其他","9","千克","0","?","174",
"202401","85177990","品目85.17所列设备用其他零件","404","巴哈马","10","一般贸易","0","千克","0","?","7",
"202401","85177990","品目85.17所列设备用其他零件","410","巴西","10","一般贸易","627","千克","0","?","23,223",
"202401","85177990","品目85.17所列设备用其他零件","410","巴西","34","海关特殊监管区域物流货物","239","千克","0","?","11,871",
"202401","85177990","品目85.17所列设备用其他零件","415","哥斯达黎加","10","一般贸易","0","千克","0","?","5,208",
"202401","85177990","品目85.17所列设备用其他零件","415","哥斯达黎加","15","进料加工贸易","0","千克","0","?","3,800",
"202401","85177990","品目85.17所列设备用其他零件","429","墨西哥","10","一般贸易","6713","千克","0","?","3,822,382",
"202401","85177990","品目85.17所列设备用其他零件","429","墨西哥","15","进料加工贸易","5654","千克","0","?","3,333,810",
"202401","85177990","品目85.17所列设备用其他零件","429","墨西哥","33","保税监管场所进出境货物","19","千克","0","?","21,316",
"202401","85177990","品目85.17所列设备用其他零件","429","墨西哥","34","海关特殊监管区域物流货物","12471","千克","0","?","2,213,074",
"202401","85177990","品目85.17所列设备用其他零件","429","墨西哥","39","其他","229","千克","0","?","107,283",
"202401","85177990","品目85.17所列设备用其他零件","501","加拿大","10","一般贸易","55","千克","0","?","194,525",
"202401","85177990","品目85.17所列设备用其他零件","501","加拿大","15","进料加工贸易","21","千克","0","?","156,156",
"202401","85177990","品目85.17所列设备用其他零件","501","加拿大","34","海关特殊监管区域物流货物","3","千克","0","?","2,186",
"202401","85177990","品目85.17所列设备用其他零件","502","美国","10","一般贸易","2800","千克","0","?","1,184,888",
"202401","85177990","品目85.17所列设备用其他零件","502","美国","14","来料加工贸易","23","千克","0","?","33,567",
"202401","85177990","品目85.17所列设备用其他零件","502","美国","15","进料加工贸易","2181","千克","0","?","1,433,419",
"202401","85177990","品目85.17所列设备用其他零件","502","美国","33","保税监管场所进出境货物","17","千克","0","?","93,594",
"202401","85177990","品目85.17所列设备用其他零件","502","美国","34","海关特殊监管区域物流货物","787","千克","0","?","97,587",
"202401","85177990","品目85.17所列设备用其他零件","502","美国","35","海关特殊监管区域进口设备","1","千克","0","?","797",
"202401","85177990","品目85.17所列设备用其他零件","502","美国","39","其他","283","千克","0","?","91,991",
"202401","85177990","品目85.17所列设备用其他零件","601","澳大利亚","10","一般贸易","38","千克","0","?","306,481",
"202401","85177990","品目85.17所列设备用其他零件","601","澳大利亚","15","进料加工贸易","44","千克","0","?","18,444",
"202401","85177990","品目85.17所列设备用其他零件","601","澳大利亚","33","保税监管场所进出境货物","5","千克","0","?","1,712",
"202401","85177990","品目85.17所列设备用其他零件","609","新西兰","10","一般贸易","2","千克","0","?","7,936",
