node_id,名称,类型,国别,代码,备注
N60,Kaiam Corporation,模块/光电子商,美国,,v1.6r结构补全(修复轮重装)
N61,"Maruwa Co.,Ltd",上游材料,境外,,v1.6r结构补全(修复轮重装)
N62,Marvell,DSP芯片,美国,,v1.6r结构补全(修复轮重装)
N63,"Mighty Lift.,Inc.",供应链主体,境外,,v1.6r结构补全(修复轮重装)
N64,"OharaQuartzCo.,Ltd.",上游材料,境外,,v1.6r结构补全(修复轮重装)
N65,Out Line S.r.l.,模块/光电子商,境外,,v1.6r结构补全(修复轮重装)
N66,PRIME WORLD INTERNATIONAL HOLDINGS LTD.,模块/光电子商,境外,,v1.6r结构补全(修复轮重装)
N67,SHARPNFLAT INC,模块/光电子商,境外,,v1.6r结构补全(修复轮重装)
N68,上海八界光电科技有限公司,模块/光电子商,中国,,v1.6r结构补全(修复轮重装)
N69,上海函泰电子科技有限公司,上游材料,中国,,v1.6r结构补全(修复轮重装)
N70,上海宽捷光电科技有限公司,光器件,中国,,v1.6r结构补全(修复轮重装)
N71,上海普恩化工有限公司,上游材料,中国,,v1.6r结构补全(修复轮重装)
N72,上海景仓通信技术有限公司,材料/设备供应商,中国,,v1.6r结构补全(修复轮重装)
N73,上海橙科微电子科技有限公司,光/电芯片,中国,,v1.6r结构补全(修复轮重装)
N74,上海诺基亚贝尔股份有限公司,线缆/系统/终端,中国,,v1.6r结构补全(修复轮重装)
N75,上海飞博激光科技股份有限公司,激光设备/科研,中国,,v1.6r结构补全(修复轮重装)
N76,东莞福可喜玛通讯科技有限公司,光器件,中国,,v1.6r结构补全(修复轮重装)
N77,东莞铭普光磁股份有限公司,模块/光电子商,中国,,v1.6r结构补全(修复轮重装)
N78,中国科学院半导体研究所,科研院所,中国,,v1.6r结构补全(修复轮重装)
N79,中国科学院长春光学精密机械与物理研究所,激光设备/科研,中国,,v1.6r结构补全(修复轮重装)
N80,中天科技(含关联方),线缆/系统/终端,中国,,v1.6r结构补全(修复轮重装)
N81,中盈优创资讯科技有限公司,线缆/系统/终端,中国,,v1.6r结构补全(修复轮重装)
N82,中航光电(含关联方),线缆/系统/终端,中国,,v1.6r结构补全(修复轮重装)
N83,亨通光电(含关联方),线缆/系统/终端,中国,,v1.6r结构补全(修复轮重装)
N84,京瓷商贸有限公司,上游材料,中国,,v1.6r结构补全(修复轮重装)
N85,仕佳光子,光器件,中国,,v1.6r结构补全(修复轮重装)
N86,光惠激光科技有限公司,激光设备/科研,中国,,v1.6r结构补全(修复轮重装)
N87,全科科技有限公司,模块/光电子商,中国,,v1.6r结构补全(修复轮重装)
N88,分销商A(匿名),供应链主体,中国,,v1.6r结构补全(修复轮重装)
N89,创鑫激光,激光设备/科研,中国,,v1.6r结构补全(修复轮重装)
N90,前五大终端客户(匿名合计),供应链主体,中国,,v1.6r结构补全(修复轮重装)
N91,剑桥科技,供应链主体,中国,,v1.6r结构补全(修复轮重装)
N92,北京康特睿科光电科技有限公司,光/电芯片,中国,,v1.6r结构补全(修复轮重装)
N93,北京通美晶体,上游材料,中国,,v1.6r结构补全(修复轮重装)
N94,华工科技,供应链主体,中国,,v1.6r结构补全(修复轮重装)
N95,博创科技,供应链主体,中国,,v1.6r结构补全(修复轮重装)
N96,博创科技股份有限公司,供应链主体,中国,,v1.6r结构补全(修复轮重装)
N97,咸阳华汉光电密封制品有限公司,光器件,中国,,v1.6r结构补全(修复轮重装)
N98,四川乐飞光电科技有限公司,光器件,中国,,v1.6r结构补全(修复轮重装)
N99,四川九州光电子技术有限公司,模块/光电子商,中国,,v1.6r结构补全(修复轮重装)
N100,四川光恒通信技术有限公司,光器件,中国,,v1.6r结构补全(修复轮重装)
N101,四川飞普科技有限公司,光器件,中国,,v1.6r结构补全(修复轮重装)
N102,大科激光,激光设备/科研,中国,,v1.6r结构补全(修复轮重装)
N103,大阳日酸特殊气体有限公司,上游材料,中国,,v1.6r结构补全(修复轮重装)
N104,太辰光,光器件,中国,,v1.6r结构补全(修复轮重装)
N105,常州太平通讯科技有限公司,光器件,中国,,v1.6r结构补全(修复轮重装)
N106,广东瑞谷光网通信股份有限公司,封装/代工,中国,,v1.6r结构补全(修复轮重装)
N107,德国罗森博格通讯有限公司,模块/光电子商,中国,,v1.6r结构补全(修复轮重装)
N108,成都中住光纤有限公司,上游材料,中国,,v1.6r结构补全(修复轮重装)
N109,成都储翰科技,光/电芯片,中国,,v1.6r结构补全(修复轮重装)
N110,成都八九九科技有限公司,供应链主体,中国,,v1.6r结构补全(修复轮重装)
N111,成都智禾光通(原成都旭创科技),光/电芯片,中国,,v1.6r结构补全(修复轮重装)
N112,成都蓉博通信技术有限公司,模块/光电子商,中国,,v1.6r结构补全(修复轮重装)
N113,成都迪谱光电科技有限公司,模块/光电子商,中国,,v1.6r结构补全(修复轮重装)
N114,普利技术潜江有限公司,光器件,中国,,v1.6r结构补全(修复轮重装)
N115,有研亿金新材料有限公司,上游材料,中国,,v1.6r结构补全(修复轮重装)
N116,杜邦(含关联方),材料/设备供应商,中国,,v1.6r结构补全(修复轮重装)
N117,某分销商(匿名),供应链主体,中国,,v1.6r结构补全(修复轮重装)
N118,桂林芯飞光电子科技有限公司,封装/代工,中国,,v1.6r结构补全(修复轮重装)
N119,武汉云岭光电有限公司,光/电芯片,中国,,v1.6r结构补全(修复轮重装)
N120,武汉云岭光电股份有限公司,光/电芯片,中国,,v1.6r结构补全(修复轮重装)
N121,武汉华日精密激光,激光设备/科研,中国,,v1.6r结构补全(修复轮重装)
N122,"武汉昱升光电(原昱升光器件,同主体待补工商锚)",光/电芯片,中国,,v1.6r结构补全(修复轮重装)
N123,武汉正源高理光学有限公司,光器件,中国,,v1.6r结构补全(修复轮重装)
N124,武汉灿光光电有限公司,光/电芯片,中国,,v1.6r结构补全(修复轮重装)
N125,武汉长飞智慧网络技术有限公司,线缆/系统/终端,中国,,v1.6r结构补全(修复轮重装)
N126,武汉高跃科技有限责任公司,激光设备/科研,中国,,v1.6r结构补全(修复轮重装)
N127,汇聚科技（惠州）有限公司,模块/光电子商,中国,,v1.6r结构补全(修复轮重装)
N128,江苏南大光电材料股份有限公司,上游材料,中国,,v1.6r结构补全(修复轮重装)
N129,泛孟新材料有限公司,上游材料,中国,,v1.6r结构补全(修复轮重装)
N130,波若威光纤通讯有限公司,光器件,中国,,v1.6r结构补全(修复轮重装)
N131,泰库尼思科电子有限公司,材料/设备供应商,中国,,v1.6r结构补全(修复轮重装)
N132,泰科电子(含关联方),材料/设备供应商,中国,,v1.6r结构补全(修复轮重装)
N133,洛阳中超新材料股份有限公司,上游材料,中国,,v1.6r结构补全(修复轮重装)
N134,深圳市东飞凌科技有限公司,封装/代工,中国,,v1.6r结构补全(修复轮重装)
N135,深圳市中迅实业有限公司,材料/设备供应商,中国,,v1.6r结构补全(修复轮重装)
N136,深圳市亚美斯通电子有限公司,模块/光电子商,中国,,v1.6r结构补全(修复轮重装)
N137,深圳市力子光电科技有限公司,封装/代工,中国,,v1.6r结构补全(修复轮重装)
N138,深圳市宏钢机械设备有限公司,材料/设备供应商,中国,,v1.6r结构补全(修复轮重装)
N139,深圳市星欣磊实业有限公司,材料/设备供应商,中国,,v1.6r结构补全(修复轮重装)
N140,深圳市路维光电股份有限公司,材料/设备供应商,中国,,v1.6r结构补全(修复轮重装)
N141,湖北安一辰光电科技有限公司,光/电芯片,中国,,v1.6r结构补全(修复轮重装)
N142,湖北瑞创信达光电有限公司,光器件,中国,,v1.6r结构补全(修复轮重装)
N143,炬光微光学有限公司,光器件,中国,,v1.6r结构补全(修复轮重装)
N144,直接客户A(匿名),供应链主体,中国,,v1.6r结构补全(修复轮重装)
N145,腾景科技股份有限公司,光器件,中国,,v1.6r结构补全(修复轮重装)
N146,芯思杰技术股份有限公司,光/电芯片,中国,,v1.6r结构补全(修复轮重装)
N147,苏州单峰光子科技有限责任公司,激光设备/科研,中国,,v1.6r结构补全(修复轮重装)
N148,苏州旭创科技有限公司,模块/光电子商,中国,,v1.6r结构补全(修复轮重装)
N149,苏州星钥光子科技有限公司,激光设备/科研,中国,,v1.6r结构补全(修复轮重装)
N150,苏州焜原光电有限公司,激光设备/科研,中国,,v1.6r结构补全(修复轮重装)
N151,苏州环明电子科技有限公司,光器件,中国,,v1.6r结构补全(修复轮重装)
N152,苏州睿科晶创光电科技有限公司,激光设备/科研,中国,,v1.6r结构补全(修复轮重装)
N153,苏州邦皓电子新材料有限公司,上游材料,中国,,v1.6r结构补全(修复轮重装)
N154,苏州镓锐芯光科技有限公司,光/电芯片,中国,,v1.6r结构补全(修复轮重装)
N155,西安卫光气体有限公司,上游材料,中国,,v1.6r结构补全(修复轮重装)
N156,诺力昂化学品有限公司,上游材料,中国,,v1.6r结构补全(修复轮重装)
N157,郑州仕佳通信科技有限公司,光器件,中国,,v1.6r结构补全(修复轮重装)
N158,金信诺及其关联方轨道信号系统科技有限公司、赣州金信诺电缆技术有限公司、金信诺光纤光缆有限公司、东莞金信诺电子有限公司）,线缆/系统/终端,中国,,v1.6r结构补全(修复轮重装)
N159,锐科激光,激光设备/科研,中国,,v1.6r结构补全(修复轮重装)
N160,长光华芯,光/电芯片,中国,,v1.6r结构补全(修复轮重装)
N161,长飞光纤(合并),线缆/系统/终端,中国,,v1.6r结构补全(修复轮重装)
N162,长飞光纤光缆股份有限公司(单体),线缆/系统/终端,中国,,v1.6r结构补全(修复轮重装)
N163,陕西兴化集团有限责任公司,上游材料,中国,,v1.6r结构补全(修复轮重装)
N164,陕西电子信息国际商务有限公司,贸易/委托加工,中国,,v1.6r结构补全(修复轮重装)
N165,青岛海信宽带多媒体技术有限公司,模块/光电子商,中国,,v1.6r结构补全(修复轮重装)
N166,顺丰速运(源杰释义:西安顺丰及其咸阳分公司),光/电芯片,中国,,v1.6r结构补全(修复轮重装)
N167,飞博激光,激光设备/科研,中国,,v1.6r结构补全(修复轮重装)
N168,飞顿国际有限公司、飞顿国际科技有限公司）,激光设备/科研,中国,,v1.6r结构补全(修复轮重装)
N169,香港新南利,模块/光电子商,中国,,v1.6r结构补全(修复轮重装)
