文件,词,引语(±40字)
301041__em_金百泽_em__2025_2025年年度报告.pdf,TIA,、低延迟、个性化的语音语音交互方案。长点。应用方案。本项目针对工业制造、智能基于TIAM69A芯片高切入智能视觉应用领家居等多领域智能视觉需性能优势，开发多功域，拓展
301041__em_金百泽_em__2025_2025年年度报告.pdf,TIA,切入智能视觉应用领家居等多领域智能视觉需性能优势，开发多功域，拓展工业制造、基于TIAM69A的智能求，通过TIAM69A芯片相关在研能智能视觉解决方智能交通等市场，
301041__em_金百泽_em__2025_2025年年度报告.pdf,TIA,域智能视觉需性能优势，开发多功域，拓展工业制造、基于TIAM69A的智能求，通过TIAM69A芯片相关在研能智能视觉解决方智能交通等市场，增视觉产品研发应用技术研究，
002281__em_光迅科技_em__2025_2025年年度报告.pdf,阵列波导光栅,大器产品包括掺铒光纤放大器、拉曼放大器和混合光放大器。无源光器件产品包括AWG（阵列波导光栅）、VMUX（光功率可调波分复用器）、WDM（波分复用器）、VOA（可调光衰减器
002281__em_光迅科技_em__2025_2025年年度报告.pdf,AWG,。光纤放大器产品包括掺铒光纤放大器、拉曼放大器和混合光放大器。无源光器件产品包括AWG（阵列波导光栅）、VMUX（光功率可调波分复用器）、WDM（波分复用器）、VOA
002281__em_光迅科技_em__2025_2025年年度报告.pdf,BOSA,要应用于接入网光纤到户（FTTH），产品有XGSPON&GPONOLT/ONU的BOSA，10GbpsPON(10GEPON/10GGPON/10GComboPON)B
002281__em_光迅科技_em__2025_2025年年度报告.pdf,BOSA,A，10GbpsPON(10GEPON/10GGPON/10GComboPON)BOSA和光收发模块等。无线接入类包括4GLTE和5G网络用CPRI/eCPRI的25G
688252__em_天德钰_em__2025_深圳天德钰科技股份有限公司2025年年度报告.pdf,TIA,特色的ESG实践做法√适用□不适用2025年，天德钰锚定企业可持续发展目标，以“TIAN”（科技驱动、协同共生、责任担当、规范导向）为四大核心战略主轴，深度呼应联合国
300414__em_中光防雷_em__2025_2025年年度报告.pdf,隔离器,光防雷科技股份有限公司2025年年度报告全文12射频元器件开发2研发多款5G宽带隔离器、环行器。批量阶段13射频元器件开发3预研发多款6G毫米波环行器。样机阶段14电
300414__em_中光防雷_em__2025_2025年年度报告.pdf,隔离器,器件开发高功率环行器。按计划进行预计批量销售化。超宽带射频器件开发超宽带环行器、隔离器。按计划进行达到行业先进水平。预计批量销售公司研发人员情况2025年2024年变
300414__em_中光防雷_em__2025_2025年年度报告.pdf,TIA,指四川中光天欣电子有限责任公司越南天宇科技指CÔNGTYTNHHCÔNGNGHỆTIANYUVIỆTNAM（越南天宇科技有限公司）越南天宇电子指CÔNGTYTNHHĐ
300414__em_中光防雷_em__2025_2025年年度报告.pdf,TIA,1282672号的营业执照，公司越南文名称:CÔNGTYTNHHCÔNGNGHỆTIANYUVIỆTNAM；地址：越南北宁省北宁市武强坊韩墨子42号；法人：邓小林。公
300689__em_澄天伟业_em__2025_2025年年度报告.pdf,TIA,"份有限公司公司的中文简称澄天伟业公司的外文名称（如有）SHENZHENCHENGTIANWEIYETECHNOLOGYCO.,LTD.公司的外文名称缩写（如有）CHE"
300689__em_澄天伟业_em__2025_2025年年度报告.pdf,TIA,"EIYETECHNOLOGYCO.,LTD.公司的外文名称缩写（如有）CHENGTIANWEIYE公司的法定代表人冯学裕深圳市南山区粤海街道高新区社区高新南九道10号"
688262__em_国芯科技_em__2025_2025年年度报告.pdf,TOSA,东软睿驰、经纬恒润等携手正式推出完整的ClassicPlatform(CP)AUTOSAR解决方案，加速助推“中国芯+中国软件”车用底层解决方案应用落地，获得了市场的认
688262__em_国芯科技_em__2025_2025年年度报告.pdf,TOSA,的ECU模布软件包优化。适配主流工具链厂商的编译和调试工具，组开发。适配主流AUTOSAR软件。人工智能CCM4211芯片是面向中小尺寸屏显市场开发的专用屏主要用于通用
002134__em_天津普林_em__2025_2025年年度报告.pdf,TIA,股票简称：天津普林股票代码：002134天津普林电路股份有限公司TIANJINPRINTRONICSCIRCUITCORPORATION2025年年度
002134__em_天津普林_em__2025_2025年年度报告.pdf,TIA,司的中文名称天津普林电路股份有限公司公司的中文简称天津普林公司的外文名称（如有）TIANJINPRINTRONICSCIRCUITCORPORATION公司的外文名称
688807__em_优迅股份_em__2025_优迅股份：2025年年度报告.pdf,BOSA,间，是一种将光纤铺设到建筑物内各个房间FTTR指的接入方式，实现室内高速网络覆盖BOSA指BOSA全称为Bi-DirectionalOpticalSub-Assembl
688807__em_优迅股份_em__2025_优迅股份：2025年年度报告.pdf,BOSA,将光纤铺设到建筑物内各个房间FTTR指的接入方式，实现室内高速网络覆盖BOSA指BOSA全称为Bi-DirectionalOpticalSub-Assembly7/22
688807__em_优迅股份_em__2025_优迅股份：2025年年度报告.pdf,BOSA,，较2024年末增长69.7%。根据Lightcounting数据，接入光模块和BOSA市场在2025年出货量达2.01亿，销售额为13亿美元，预计2030年将达到23
688807__em_优迅股份_em__2025_优迅股份：2025年年度报告.pdf,跨阻放大,接影响整个光通信系统的性能和可靠性将电流信号转换为电压信号后进行放大的芯片，用于跨阻放大器芯片（TIA）指提高光接收模块的灵敏度和带宽，是光通信系统中的5/227厦门优
688807__em_优迅股份_em__2025_优迅股份：2025年年度报告.pdf,跨阻放大,术，进军技术最前沿公司积极布局1.6T光模块应用的单波200G速率代际产品，研发跨阻放大器、VCSEL激光器驱动器、用于LPO/NPO的MZ调制器驱动器等核心产品。3）
688807__em_优迅股份_em__2025_优迅股份：2025年年度报告.pdf,跨阻放大,况如下：核心技术群核心技术技术来源技术所处阶段对应产品类型高带宽、低噪声、宽动态跨阻放大高速率跨阻放大器自研成熟应用器设计技术芯片高带宽、高增益限幅放大器设计技高速率限
688807__em_优迅股份_em__2025_优迅股份：2025年年度报告.pdf,TIA,系统的性能和可靠性将电流信号转换为电压信号后进行放大的芯片，用于跨阻放大器芯片（TIA）指提高光接收模块的灵敏度和带宽，是光通信系统中的5/227厦门优迅芯片股份有限
688807__em_优迅股份_em__2025_优迅股份：2025年年度报告.pdf,TIA,替代进程持续加速，尤其是激光雷达专用模拟芯片（驱动芯片Driver、跨阻抗放大器TIA）、信号处理ASIC芯片、激光器与探测器芯片等核心环节，国内厂商的技术突破与产品
688807__em_优迅股份_em__2025_优迅股份：2025年年度报告.pdf,TIA,和信号处理等功能的基础，属于光通信系统的核心部分。按类型分类：电芯片包括LDD、TIA、LA、CDR、DSP以及高集成的收发合一芯片。按速率分类：包括155M-2.5
002194__em_武汉凡谷_em__2025_2025年年度报告.pdf,陶瓷管壳,"1武汉协力精密制造有限公司销售结构件69,032.74武汉衍熙微器件有限公司销售陶瓷管壳28,500.00武汉红松电子科技有限公司销售设备备件4,642.44成都迪越电"
002194__em_武汉凡谷_em__2025_2025年年度报告.pdf,隔离器,导入周期短，整体运行稳定。作为Long-haul主干网传输核心部件，使用多级微波隔离器&环形器级联作为Branch模块的主干，8路高Q值TE模介质滤波器作为预计对公司
300620__em_光库科技_em__2025_2025年年度报告.pdf,AWG,器件的主流发展方向。在新一代高速宽带接入、数据中心建设驱动下，DFB激光器芯片、AWG芯片及其他光子集成芯片需求增长迅速，光子集成器件行业将迎来新一轮产品和技术升级周
300620__em_光库科技_em__2025_2025年年度报告.pdf,光隔离器,光、光纤通讯及数据中心等产业链上游的核心领域。公司凭借一系列高性能的光学器件，如光隔离器、密集光纤阵列连接器、MEMSVOA光开关、偏振分束/合束器、耦合器、波分复用器
300620__em_光库科技_em__2025_2025年年度报告.pdf,隔离器,营业务和主要产品包括：1、光纤激光器件的设计、研发、生产、销售及服务主要产品包括隔离器、合束器、光纤光栅、激光输出头等，主要应用于光纤激光器等领域。2、光通讯器件的设
300620__em_光库科技_em__2025_2025年年度报告.pdf,隔离器,应用于光纤激光器等领域。2、光通讯器件的设计、研发、生产、销售及服务主要产品包括隔离器、MEMSSwitch、波分复用器、偏振分束/合束器、光纤光栅、镀金光纤、光纤透
300620__em_光库科技_em__2025_2025年年度报告.pdf,隔离器,纤激光器在中高端应用领域也在迅速抢占市场，应用于脉冲光纤激光器的声光调制器、光纤隔离器、合束器和光纤光栅等器件已经全部实现了国产替代。在连续光纤激光器领域，国内企业在
300620__em_光库科技_em__2025_2025年年度报告.pdf,FAU,，主要应用于光网络调制、网络监控与管理、骨干网络的干线传输等领域；DR4/DR8FAU、单模/多模MT-MT跳线、MT-FAU、保偏型CPO用光纤阵列、保偏型光纤尾纤
300620__em_光库科技_em__2025_2025年年度报告.pdf,FAU,骨干网络的干线传输等领域；DR4/DR8FAU、单模/多模MT-MT跳线、MT-FAU、保偏型CPO用光纤阵列、保偏型光纤尾纤、WDM模块、MPO/MTP光纤连接器等
300620__em_光库科技_em__2025_2025年年度报告.pdf,FAU,制器芯片16)单波400GPAM4DR4调制器芯片17)全光交换机应用多通道二维FAU系列3、激光雷达光源模块及器件1)车规级有源合束器2)车规级无源器件（隔离器，组
300620__em_光库科技_em__2025_2025年年度报告.pdf,光纤阵列,域；DR4/DR8FAU、单模/多模MT-MT跳线、MT-FAU、保偏型CPO用光纤阵列、保偏型光纤尾纤、WDM模块、MPO/MTP光纤连接器等，主要应用于数据中心、云
300620__em_光库科技_em__2025_2025年年度报告.pdf,光纤阵列,需求，重点开发了海底光网络光纤馈通器（密封节）、OCS设备中相关MXN高精度多维光纤阵列等系列产品，这些产品满足了客户对高速、大容量、长距离通信的需求。在数据通讯领域，
300620__em_光库科技_em__2025_2025年年度报告.pdf,光纤阵列,数据中心等产业链上游的核心领域。公司凭借一系列高性能的光学器件，如光隔离器、密集光纤阵列连接器、MEMSVOA光开关、偏振分束/合束器、耦合器、波分复用器以及铌酸锂调制
688655__em_迅捷兴_em__2025_2025年年度报告.pdf,光模块PCB,，加快高阶HDI、厚铜电源板等能力提升，其中公司完成任意互联HDI结构的800G光模块PCB、1.6T光模块PCB技术研发，不断丰富10G-1.6T光模块产品技术积累，为公
688655__em_迅捷兴_em__2025_2025年年度报告.pdf,光模块PCB,电源板等能力提升，其中公司完成任意互联HDI结构的800G光模块PCB、1.6T光模块PCB技术研发，不断丰富10G-1.6T光模块产品技术积累，为公司积极拓展光模块市场打
688655__em_迅捷兴_em__2025_2025年年度报告.pdf,光模块PCB,符合400G光模块标准（QSFP-DD400）；内层差分阻抗±7%，采4400G光模块PCB生产工艺技术自主研发用veryLowloss等级高速板材，HDI设计；③使用CC
000050__em_深天马Ａ_em__2025_2025年年度报告.pdf,TIA,"易所公司的中文名称天马微电子股份有限公司公司的中文简称天马公司的外文名称（如有）TIANMAMICROELECTRONICSCO.,LTD.公司的外文名称缩写（如TI"
000050__em_深天马Ａ_em__2025_2025年年度报告.pdf,TIA,"IANMAMICROELECTRONICSCO.,LTD.公司的外文名称缩写（如TIANMA有）公司的法定代表人成为注册地址深圳市龙华区民治街道北站社区留仙大道天马大"
603936__em_博敏电子_em__2025_博敏电子2025年年度报告.pdf,光模块PCB,径。公司顺应行业发展趋势，近年来持续聚焦AI算力、汽车电子等高增长赛道，重点布局光模块PCB、服务器主板、加速卡主板及电源板等高端产品，并前瞻性探索“PCB+陶瓷基板”融合
603936__em_博敏电子_em__2025_博敏电子2025年年度报告.pdf,光模块PCB,产能的协同优势，已成功导入光模块头部厂商供应链体系。目前已实现400G、800G光模块PCB批量供货，同时积极推动1.6T光模块PCB量产工作，成长确定性明确。受益于光模块
603936__em_博敏电子_em__2025_博敏电子2025年年度报告.pdf,光模块PCB,应链体系。目前已实现400G、800G光模块PCB批量供货，同时积极推动1.6T光模块PCB量产工作，成长确定性明确。受益于光模块业务的快速增长，子公司江苏博敏报告期内业务
300408__em_三环集团_em__2025_2025年年度报告.pdf,陶瓷插芯,领域客户的产品需求；受益于全球算力基础设施建设进程加快、光器件市场需求扩容，公司陶瓷插芯及配套产品销售额实现进一步增长。二、报告期内公司所处行业情况半个多世纪以来，公司
300408__em_三环集团_em__2025_2025年年度报告.pdf,陶瓷管壳,精度、高稳定光纤对接方案的MT插芯+导针与散件组合、专为光芯片封装设计的高可靠性陶瓷管壳等新产品出现在各大展会上，吸引了全球众多客户的关注。顺应市场趋势，布局多元应用公
002384__em_东山精密_em__2025_2025年年度报告.pdf,磷化铟衬底,持续巩固并提升公司在全球产业链中的核心竞争力与行业地位。其中，索尔思光电拥有覆盖磷化铟衬底、外延材料至光芯片的全流程研发与工艺体系，技术壁垒持续夯实。目前CWlaser已
002384__em_东山精密_em__2025_2025年年度报告.pdf,时钟恢复,alSignalProcessor，数字信号处理器，对高速电信号进行均衡、纠错、时钟恢复、信号整DSP指形，是400G及以上高速光模块必备核心电芯片。Co-packag
600183__em_生益科技_em__2025_生益科技2025年年度报告.pdf,光模块PCB,r制程主板高阶HDI基板要求。（8）新一代高端光通信核心组件产品研发研究开发高速光模块PCB产品制作工艺技术，攻克技术难点，并实现产业化。（9）新一代智能算力核心加速组件产
600522__em_中天科技_em__2025_江苏中天科技股份有限公司2025年年度报告.pdf,TIA,"中天科技股份有限公司公司的中文简称中天科技公司的外文名称JIANGSUZHONGTIANTECHNOLOGYCO.,LTD.公司的外文名称缩写ZTT公司的法定代表人薛"
600745__em_闻泰科技_em__2025_2025年年度报告.pdf,隔离器,集成驱动IC及逻辑控制器件；BMS系统主要搭载小信号MOSFET、负载开关、数字隔离器、TVS保护器件、LDO等产品；传感器与智能决策单元高度依赖专用电源驱动及信号保
688045__em_必易微_em__2025_必易微2025年年度报告.pdf,隔离器,能源等领域。（6）公司持续推进数字隔离芯片的研发布局，推出150Mbps标准数字隔离器以及40Mbps通用数字隔离器，涵盖2/4/6通道系列产品，并打造“隔离+”系列
688045__em_必易微_em__2025_必易微2025年年度报告.pdf,隔离器,数字隔离芯片的研发布局，推出150Mbps标准数字隔离器以及40Mbps通用数字隔离器，涵盖2/4/6通道系列产品，并打造“隔离+”系列产品，能够与栅极驱动芯片、接口
300205__em_ST天喻_em__2025_2025年年度报告.pdf,TIA,"6,100.00香港算机系统服务、应用软100.00%设立有限公司港件服务雅PTTIANYUINFORMATION雅加7,028,800.00加软件和信息技术服务业9"
300205__em_ST天喻_em__2025_2025年年度报告.pdf,TIA,元，表中数据以2025年12月31日港元换人民币汇率0.90322折算。2、PTTIANYUINFORMATIONINDONESIA注册资本为100万美元，表中数据以
600171__em_上海贝岭_em__2025_上海贝岭2025年年度报告.pdf,隔离器,模拟电路指示等工作的电路。使用半导体工艺技术集成变压器或电容结构，将数据以磁数字隔离器指性方式或容性方式耦合到隔离器的另一端，以实现高耐压电气隔离的目标。第五代移动通
600171__em_上海贝岭_em__2025_上海贝岭2025年年度报告.pdf,隔离器,半导体工艺技术集成变压器或电容结构，将数据以磁数字隔离器指性方式或容性方式耦合到隔离器的另一端，以实现高耐压电气隔离的目标。第五代移动通信技术（5thGenerati
600171__em_上海贝岭_em__2025_上海贝岭2025年年度报告.pdf,隔离器,设施建设”政策叠加“双碳”目标将促进各种物联网终端对于能耗感知、光通讯数传、数字隔离器等细分需求不断增长。新能源汽车发展已经从电动化进入智能化的新阶段，对模拟电路和功
301205__em_联特科技_em__2025_2025年年度报告.pdf,TOSA,司，为公司境外全资子公司科投基金指湖北科投光互联创业投资基金合伙企业（有限合伙）TOSA指TransmitterOpticalSub-Assembly的缩写，光发射组件
301205__em_联特科技_em__2025_2025年年度报告.pdf,TOSA,模块由光器件、功能电路和光接口等构成，其中光器件是光模块的关键元件，包括激光器（TOSA）和探测器（ROSA），分别实现光模块在发射端将电信号转换成光信号，以及在接收端
301205__em_联特科技_em__2025_2025年年度报告.pdf,TOSA,成本控制、风险防范等方面发挥关键作用。2、生产模式公司光模块产品主要由光发射组件TOSA、光接收组件ROSA、印制电路板、集成电路芯片、其他电子元器件、结构件管壳和软件
301205__em_联特科技_em__2025_2025年年度报告.pdf,ROSA,指TransmitterOpticalSub-Assembly的缩写，光发射组件ROSA指ReceiverOpticalSub-Assembly的缩写，光接收组件TO-
301205__em_联特科技_em__2025_2025年年度报告.pdf,ROSA,路和光接口等构成，其中光器件是光模块的关键元件，包括激光器（TOSA）和探测器（ROSA），分别实现光模块在发射端将电信号转换成光信号，以及在接收端将光信号转换成电信号
301205__em_联特科技_em__2025_2025年年度报告.pdf,ROSA,方面发挥关键作用。2、生产模式公司光模块产品主要由光发射组件TOSA、光接收组件ROSA、印制电路板、集成电路芯片、其他电子元器件、结构件管壳和软件构成。公司生产工序包
603083__em_剑桥科技_em__2025_2025年年度报告.pdf,光纤阵列,多款800GDR8、2×FR4800G衍生产品的降本NPI导入，导入多款激光器、光纤阵列等关键物料并完成工艺和可靠性验证，顺利完成多款1.6T光模块工艺开发，产品进入可
603083__em_剑桥科技_em__2025_2025年年度报告.pdf,TOSA,同覆盖场景光模块中负责将电信号转换为光信号的组件，包含激光器等核心元光发射器件（TOSA）指件，决定光模块的发射功率与传输速率光模块中负责将光信号转换为电信号的组件，包
603083__em_剑桥科技_em__2025_2025年年度报告.pdf,TOSA,，广泛应用于数据中心、电信网络、接入网等领域。一个完整的光模块主要由光发射器件（TOSA，含激光器）、光接收器件（ROSA，含光探测器）、功能电路及光电接口等部分组成。
603083__em_剑桥科技_em__2025_2025年年度报告.pdf,ROSA,与传输速率光模块中负责将光信号转换为电信号的组件，包含光探测器等核心光接收器件（ROSA）指元件，影响光模块的接收性能与抗干扰能力光发射器件的核心元件，通过电激励产生特
603083__em_剑桥科技_em__2025_2025年年度报告.pdf,ROSA,入网等领域。一个完整的光模块主要由光发射器件（TOSA，含激光器）、光接收器件（ROSA，含光探测器）、功能电路及光电接口等部分组成。2025年，随着AI大模型训练与推
603083__em_剑桥科技_em__2025_2025年年度报告.pdf,BOSA,"项4G/5G分布式企业级小基站项目36,280.8836,280.88MOCA和BOSA双校准技术在无线接入网关中技术研究与推广46,032.4846,032.48闵行"
603083__em_剑桥科技_em__2025_2025年年度报告.pdf,BOSA,".12其他收益189/218上海剑桥科技股份有限公司2025年年度报告MOCA和BOSA双校准技术在无线接入网关中技术研究与推广46,032.48273,967.52其"
688536__em_思瑞浦_em__2025_2025年年度报告.pdf,隔离器,CDC转换器AC/DC指是一种将交流电（AC）转换为直流电（DC）的电子设备数字隔离器指数字隔离器是一种在电气隔离器状态下实现数字信号传输的器件FET指场效应晶体管（
688536__em_思瑞浦_em__2025_2025年年度报告.pdf,隔离器,AC/DC指是一种将交流电（AC）转换为直流电（DC）的电子设备数字隔离器指数字隔离器是一种在电气隔离器状态下实现数字信号传输的器件FET指场效应晶体管（FieldE
688536__em_思瑞浦_em__2025_2025年年度报告.pdf,隔离器,将交流电（AC）转换为直流电（DC）的电子设备数字隔离器指数字隔离器是一种在电气隔离器状态下实现数字信号传输的器件FET指场效应晶体管（FieldEffectTran
603228__em_景旺电子_em__2025_深圳市景旺电子股份有限公司2025年年度报告.pdf,光模块PCB,FE刚挠结合板、高速FPC等产品实现量产，在服务器超高层Z向互联PCB、1.6T光模块PCB、智能穿戴AnylayerR-F等产品取得重大技术突破，同时开展了服务器OKS平
603228__em_景旺电子_em__2025_深圳市景旺电子股份有限公司2025年年度报告.pdf,光模块PCB,省科学技术厅认定为“广东省高新技术产品/名优高新技术产品”。公司《800G超高速光模块PCB关键技术研发》被评为国际领先技术、《第六代车载雷达PCB制作技术研发》《数据中心
603228__em_景旺电子_em__2025_深圳市景旺电子股份有限公司2025年年度报告.pdf,光模块PCB,星用PCB空腔板制作关键技术研发》等34项技术被评为国内领先技术。《光通信超高速光模块PCB关键技术开发及产业化》荣获2025年度广东省电子信息行业协会科学技术奖科技进步一
688530__em_欧莱新材_em__2025_欧莱新材2025年年度报告.pdf,TIA,/T45130-2025（国家标准）、《大尺寸商用显示大视角画质评价方法》T/DTIA012-2025（团体标准）获得批准发布，为促进行业发展再添新彩；此外，公司积极
688530__em_欧莱新材_em__2025_欧莱新材2025年年度报告.pdf,TIA,/T45130-2025（国家标准）、《大尺寸商用显示大视角画质评价方法》T/DTIA012-2025（团体标准）获得批准发布，为促进行业发展再添新彩，同时也有助于公
300913__em_兆龙互连_em__2025_2025年年度报告.pdf,TIA,限公司2025年年度报告全文传输距离的问题。接系统，具备批量竞争力。交付能力满足TIA-568.2-D进一步拓展工业研究智能制造用超六类以太网连和ISO/IEC118
688313__em_仕佳光子_em__2025_2025年年度报告.pdf,阵列波导光栅,底材料。基于平面光路技术解决方案的器件包括：分路器PLC指（Splitter）、阵列波导光栅（ArrayedWaveguideGrating，AWG）、可调光衰减器（Var
688313__em_仕佳光子_em__2025_2025年年度报告.pdf,阵列波导光栅,信联盟（ITU-T）为DWDM规定了标准的频率栅格。DWDMAWG（密集波分复用阵列波导光栅）是一种基于平面光波导技术（PLC）的无源光器件，其核心DWDMAWG器件指功能
688313__em_仕佳光子_em__2025_2025年年度报告.pdf,阵列波导光栅,、生产、销售和相关技术服务，目前的产品主要为PLC平面光波导芯片系列产品、AWG阵列波导光栅芯片系列产品、DFB激光器芯片系列产品、光纤连接器、室内光缆、线缆材料等。本财务
688313__em_仕佳光子_em__2025_2025年年度报告.pdf,AWG,plitter）、阵列波导光栅（ArrayedWaveguideGrating，AWG）、可调光衰减器（VariableOpticalAttenuator，VOA）、
688313__em_仕佳光子_em__2025_2025年年度报告.pdf,AWG,LC光分路器晶圆切割成巴条、抛光后切割成单PLC光分路器芯片、PLC芯片指个芯片AWG（ArrayedWaveguideGrating），即阵列波导光AWG芯片指栅。
688313__em_仕佳光子_em__2025_2025年年度报告.pdf,AWG,片指个芯片AWG（ArrayedWaveguideGrating），即阵列波导光AWG芯片指栅。AWG芯片由输入/输出波导、输入/输出罗兰圆、5/230河南仕佳光子科
688313__em_仕佳光子_em__2025_2025年年度报告.pdf,光隔离器,作的光电子器件，如光纤连接光无源器件指器、耦合器、光开关、波分复用器、光分路器、光隔离器、光滤波器等需要外加能源驱动工作的光电子器件，如光源、光检光有源器件指测器、半导
688313__em_仕佳光子_em__2025_2025年年度报告.pdf,隔离器,的光电子器件，如光纤连接光无源器件指器、耦合器、光开关、波分复用器、光分路器、光隔离器、光滤波器等需要外加能源驱动工作的光电子器件，如光源、光检光有源器件指测器、半导
688313__em_仕佳光子_em__2025_2025年年度报告.pdf,隔离器,带来的风险·密度高、通用性强·高隔离度·高可靠性·光模块·低插入损耗·光纤激光器隔离器·尺寸紧凑·可调激光器·多样化封装方式·光纤放大器·宽工作温度·自动化激光打标·
688313__em_仕佳光子_em__2025_2025年年度报告.pdf,FAU,的空气回流增压系统中FiberArrayUnit，光纤阵列单元是光通信领域的核心FAU指无源精密光学器件，是实现高速、高密度光互联的关键基础部件报告期/本报告期指20
688313__em_仕佳光子_em__2025_2025年年度报告.pdf,FAU,产品包括：PLC、AWG、OSW、VOA等无源芯片系列产品；AWG、MT-FA、FAU等无源光组件系列产品；AWG、WDM、VMUX等无源智能模块系列产品；FP、DF
688313__em_仕佳光子_em__2025_2025年年度报告.pdf,FAU,1221品·符合RoHS·CPO交换机/AI·36、40、48等SM、PM大通道FAU算力集群·pitch127um或250um·1.6T及以上高速FAU·高对准精度
688313__em_仕佳光子_em__2025_2025年年度报告.pdf,光纤阵列,用于通风管道或空气处理设备使用的空气回流增压系统中FiberArrayUnit，光纤阵列单元是光通信领域的核心FAU指无源精密光学器件，是实现高速、高密度光互联的关键基
688313__em_仕佳光子_em__2025_2025年年度报告.pdf,光纤阵列,颈”，向更高密度、更低功耗、更集成化、更靠近芯片的方向发展。其中MT-FA（多芯光纤阵列）与FAU（光纤阵列单元）是400G/800G/1.6T高速光模块的核心无源/半
688313__em_仕佳光子_em__2025_2025年年度报告.pdf,光纤阵列,低功耗、更集成化、更靠近芯片的方向发展。其中MT-FA（多芯光纤阵列）与FAU（光纤阵列单元）是400G/800G/1.6T高速光模块的核心无源/半有源组件，是光通信里
