gap_id,node_id,route_scope,gap_type,priority,status,reason,next_question,completion_condition,owner,evidence_ids,updated_at,notes
GAP-0016,SN-PRC-307,,player_gap,P1,identified,key node SN-PRC-307 (bottleneck_candidate) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0017,SN-PRC-400,,player_gap,P0,identified,key node SN-PRC-400 (structural_critical) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0018,SN-PRC-404,,player_gap,P1,identified,key node SN-PRC-404 (bottleneck_candidate) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0019,SN-PRC-500,,player_gap,P0,identified,key node SN-PRC-500 (structural_critical) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0020,SN-PRC-502,,player_gap,P0,identified,key node SN-PRC-502 (structural_critical) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0021,SN-PRC-504,,player_gap,P0,identified,key node SN-PRC-504 (structural_critical) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0022,SN-ROUTE-400ZR,,player_gap,P0,identified,key node SN-ROUTE-400ZR (structural_critical) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0023,SN-ROUTE-800G-2XFR4,,player_gap,P0,identified,key node SN-ROUTE-800G-2XFR4 (structural_critical) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0024,SN-ROUTE-800G-DR8,,player_gap,P0,identified,key node SN-ROUTE-800G-DR8 (structural_critical) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0025,SN-APP-AI-DC-FABRIC,,structure_gap,P0,identified,structural_critical node SN-APP-AI-DC-FABRIC has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0026,SN-APP-CAMPUS-SMF,,structure_gap,P0,identified,structural_critical node SN-APP-CAMPUS-SMF has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0027,SN-APP-DCI-METRO,,structure_gap,P0,identified,structural_critical node SN-APP-DCI-METRO has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0028,SN-COMP-CWDM-MUXDEMUX,,structure_gap,P0,identified,structural_critical node SN-COMP-CWDM-MUXDEMUX has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0029,SN-COMP-DD-DSP,,structure_gap,P0,identified,structural_critical node SN-COMP-DD-DSP has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0030,SN-COMP-ICR,,structure_gap,P0,identified,structural_critical node SN-COMP-ICR has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0031,SN-COMP-IQ-MOD,,structure_gap,P0,identified,structural_critical node SN-COMP-IQ-MOD has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0032,SN-COMP-LC-RECEPTACLE,,structure_gap,P0,identified,structural_critical node SN-COMP-LC-RECEPTACLE has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0033,SN-COMP-MPO-RECEPTACLE,,structure_gap,P0,identified,structural_critical node SN-COMP-MPO-RECEPTACLE has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0034,SN-COMP-PIN-PD,,structure_gap,P0,identified,structural_critical node SN-COMP-PIN-PD has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0035,SN-FN-COH-DETECT,,structure_gap,P0,identified,structural_critical node SN-FN-COH-DETECT has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0036,SN-FN-COH-DSP-FEC,,structure_gap,P0,identified,structural_critical node SN-FN-COH-DSP-FEC has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0037,SN-FN-COH-MOD,,structure_gap,P0,identified,structural_critical node SN-FN-COH-MOD has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0038,SN-FN-CWDM-MUX,,structure_gap,P0,identified,structural_critical node SN-FN-CWDM-MUX has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0039,SN-FN-DWDM-TUNE,,structure_gap,P0,identified,structural_critical node SN-FN-DWDM-TUNE has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0040,SN-FN-ELEC-HOST-IO,,structure_gap,P0,identified,structural_critical node SN-FN-ELEC-HOST-IO has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0041,SN-FN-HOST-FEC-TARGET,SN-ROUTE-800G-2XFR4,structure_gap,P1,identified,function SN-FN-HOST-FEC-TARGET in route SN-ROUTE-800G-2XFR4 has no required component/material,What components/materials does this function require?,At least one requires edge from function to component/material,WP-HY3,,2026-07-24,
GAP-0042,SN-FN-HOST-FEC-TARGET,SN-ROUTE-800G-DR8,structure_gap,P1,identified,function SN-FN-HOST-FEC-TARGET in route SN-ROUTE-800G-DR8 has no required component/material,What components/materials does this function require?,At least one requires edge from function to component/material,WP-HY3,,2026-07-24,
GAP-0043,SN-FN-OPT-RX,,structure_gap,P0,identified,structural_critical node SN-FN-OPT-RX has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0044,SN-FN-OPT-TX,,structure_gap,P0,identified,structural_critical node SN-FN-OPT-TX has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0045,SN-FN-PAM4-SIG,,structure_gap,P0,identified,structural_critical node SN-FN-PAM4-SIG has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0046,SN-FN-PARALLEL-FIBER,,structure_gap,P0,identified,structural_critical node SN-FN-PARALLEL-FIBER has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0047,SN-PRC-100,,structure_gap,P0,identified,structural_critical node SN-PRC-100 has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0048,SN-PRC-300,,structure_gap,P0,identified,structural_critical node SN-PRC-300 has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0049,SN-PRC-400,,structure_gap,P0,identified,structural_critical node SN-PRC-400 has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0050,SN-PRC-500,,structure_gap,P0,identified,structural_critical node SN-PRC-500 has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0051,SN-PRC-502,,structure_gap,P0,identified,structural_critical node SN-PRC-502 has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0052,SN-PRC-504,,structure_gap,P0,identified,structural_critical node SN-PRC-504 has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0053,SN-ROUTE-400ZR,,structure_gap,P0,identified,structural_critical node SN-ROUTE-400ZR has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0054,SN-ROUTE-800G-2XFR4,,structure_gap,P0,identified,structural_critical node SN-ROUTE-800G-2XFR4 has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
GAP-0055,SN-ROUTE-800G-DR8,,structure_gap,P0,identified,structural_critical node SN-ROUTE-800G-DR8 has no supporting structure evidence,What evidence supports this critical node?,At least one supports/partial structure evidence referenced,WP-HY3,,2026-07-24,
