node_id,node_type,name_zh,name_en,definition,status,importance_class,importance_confidence,importance_basis,evidence_ids,as_of,notes
SN-PRC-201,process,硅波导图形化,Silicon Waveguide Patterning,DUV光刻与刻蚀形成波导、光栅耦合器等无源结构,proposed,enabling,hypothesis,波导损耗与线宽均匀性决定PIC性能(假设),,2026-07-24,通常由CMOS代工线完成
SN-PRC-202,process,掺杂与离子注入,Doping & Ion Implantation,调制器PN结等有源结构的掺杂,proposed,supporting,unknown,,,2026-07-24,
SN-PRC-203,process,锗外延,Ge Epitaxy,锗光探测器的选区外延生长,proposed,enabling,hypothesis,锗探测器是硅光收端核心(假设),,2026-07-24,
SN-PRC-204,process,后段互连金属化,BEOL Metallization,硅光晶圆后段金属互连,proposed,supporting,unknown,,,2026-07-24,
SN-PRC-205,process,硅光晶圆级测试,SiPh Wafer-level Test,借助光栅耦合器进行晶圆级光电联合测试,proposed,enabling,hypothesis,晶圆级可测性被认为是硅光成本优势来源(假设),,2026-07-24,
SN-PRC-206,process,切割与端面处理,Dicing & Facet Preparation,硅光晶圆切割及边缘耦合器端面处理,proposed,supporting,unknown,,,2026-07-24,
SN-PRC-301,process,芯片贴装,Die Attach (Chip-on-Carrier),激光器/探测器芯片共晶焊接至陶瓷载体或基板,proposed,enabling,hypothesis,共晶质量影响散热与长期可靠性(假设),,2026-07-24,
SN-PRC-302,process,组件级引线键合,Component-level Wire Bonding,CoC层面的金丝键合互连,proposed,supporting,unknown,,,2026-07-24,
SN-PRC-303,process,倒装键合,Flip-chip Bonding,EIC与PIC等芯片间高密度倒装互连,proposed,enabling,hypothesis,高速信号完整性依赖短互连(假设),,2026-07-24,主要用于硅光方案
SN-PRC-304,process,光学元件装配,Optics Assembly,透镜、隔离器等被动光学元件的装配,proposed,supporting,unknown,,,2026-07-24,
SN-PRC-305,process,CWDM合分波组件装配,CWDM Mux/Demux Assembly,FR4路线4波长合分波器件的装配与对准,proposed,enabling,hypothesis,波分复用是FR4路线的定义性光学功能(假设),,2026-07-24,仅800G-2xFR4路线
SN-PRC-306,process,光纤阵列制作,Fiber Array Fabrication,V槽光纤阵列的组装与端面研磨,proposed,enabling,unknown,,,2026-07-24,DR8八纤并行必需;其他路线亦常用
SN-PRC-307,process,激光器-PIC集成,Laser-PIC Integration,外部光源与硅光PIC的贴装与光耦合,proposed,bottleneck_candidate,hypothesis,外部光源耦合损耗与节拍被普遍视为硅光方案难点(假设、待structure证据),,2026-07-24,仅硅光方案路线
SN-PRC-308,process,气密盒式封装,Hermetic Box Packaging,可调谐激光器等相干光组件的气密金盒封装,proposed,enabling,hypothesis,相干组件对气密性要求较高(假设;可插拔相干模块的实际气密要求待核),,2026-07-24,仅400ZR相关;requiredness待核
SN-PRC-309,process,组件测试,Component-level Test,CoC及光组件的LIV与光谱测试,proposed,supporting,unknown,,,2026-07-24,
SN-PRC-401,process,PCBA贴装,PCBA SMT,DSP、驱动器、TIA等电芯片与被动元件的表面贴装,proposed,supporting,unknown,,,2026-07-24,
SN-PRC-402,process,光引擎贴装,Optical Engine Die Attach (COB),光引擎/光芯片在模块基板上的COB固晶,proposed,enabling,unknown,,,2026-07-24,
SN-PRC-403,process,模块级引线键合,Module-level Wire Bonding,COB层面的引线键合互连,proposed,supporting,unknown,,,2026-07-24,
SN-PRC-404,process,光耦合与对准,Optical Coupling & Alignment,光芯片/组件与光纤或光学元件之间的对准与固定总成工序,proposed,bottleneck_candidate,hypothesis,普遍被视为模块组装的节拍与良率瓶颈(假设、待structure证据),,2026-07-24,含有源/无源两种子路径
SN-PRC-404A,process,有源耦合,Active Alignment,通电监测光功率的实时对准,proposed,enabling,hypothesis,高速模块主流方式、节拍长(假设),,2026-07-24,SN-PRC-404子工序
SN-PRC-404B,process,无源耦合,Passive Alignment,依赖机械基准与机器视觉的免通电对准,proposed,enabling,hypothesis,降本方向、精度要求高(假设),,2026-07-24,SN-PRC-404子工序
SN-PRC-405,process,点胶与固化,Dispensing & Curing,结构胶/光学胶点涂与UV/热固化,proposed,supporting,unknown,,,2026-07-24,
SN-PRC-406,process,外壳与结构装配,Housing Assembly,模块外壳、散热与结构件装配,proposed,supporting,unknown,,,2026-07-24,
SN-PRC-501,process,模块调试与校准,Module Tuning & Calibration,偏置、DSP参数与固件的调校写入;相干模块校准项显著更多,proposed,enabling,hypothesis,400ZR校准复杂度与耗时显著高于直检(假设),,2026-07-24,
SN-PRC-502,process,模块老化,Module Burn-in,模块高温加电老化筛选,proposed,structural_critical,hypothesis,行业惯例为出货前强制可靠性工序(假设、各厂时长与比例待核),,2026-07-24,
SN-PRC-503,process,温度循环与环境应力筛选,Temperature Cycling & ESS,温循及其他环境应力筛选,proposed,supporting,unknown,,,2026-07-24,100%全检还是抽检待核、requiredness=unknown
SN-PRC-504,process,眼图与误码测试,Eye Diagram & BER Test,发射眼图、灵敏度与误码率测试,proposed,structural_critical,hypothesis,出货判定必需(假设、以行业测试规范为待补证据),,2026-07-24,
SN-PRC-505,process,波长与光谱测试,Wavelength & Spectrum Test,波长栅格符合性与光谱指标测试,proposed,enabling,hypothesis,FR4波长栅格与400ZR波长精度是路线定义性指标(假设),,2026-07-24,主要适用800G-2xFR4;400ZR
SN-PRC-506,process,相干性能测试,Coherent Performance Test,星座图、OSNR容限、可调谐范围等相干指标测试,proposed,enabling,hypothesis,相干模块特有测试维度(假设),,2026-07-24,仅400ZR
SN-PRC-507,process,终检与出货检验,Final Inspection & Outgoing QA,外观、标签、软件版本与出货抽检,proposed,supporting,unknown,,,2026-07-24,
SN-EQC-01,equipment_category,III-V外延设备,III-V Epitaxy Equipment,MOCVD/MBE外延生长设备、用于InP基外延与掩埋再生长,proposed,bottleneck_candidate,hypothesis,高端MOCVD产能与工艺know-how集中(假设、待structure证据),,2026-07-24,
SN-EQC-02,equipment_category,硅基锗外延设备,Ge-on-Si Epitaxy Equipment,锗探测器选区外延所需CVD类外延设备,proposed,unknown,unknown,,,2026-07-24,
SN-EQC-03,equipment_category,光刻设备,Lithography Equipment,接触式/步进式光刻(III-V)及DUV扫描式光刻(硅光代工),proposed,unknown,unknown,,,2026-07-24,III-V与硅光对光刻精度需求档次不同、后续可拆分
SN-EQC-04,equipment_category,电子束/全息曝光设备,E-beam & Holographic Lithography Equipment,DFB光栅图形化专用曝光设备,proposed,enabling,hypothesis,光栅制作专用性强(假设),,2026-07-24,
SN-EQC-05,equipment_category,干法刻蚀设备,Dry Etch Equipment,ICP/RIE等干法刻蚀设备,proposed,unknown,unknown,,,2026-07-24,
SN-EQC-06,equipment_category,薄膜沉积设备,Thin Film Deposition Equipment,PECVD/溅射/蒸发等介质与金属薄膜设备,proposed,unknown,unknown,,,2026-07-24,
SN-EQC-07,equipment_category,离子注入设备,Ion Implantation Equipment,掺杂用离子注入设备,proposed,unknown,unknown,,,2026-07-24,
SN-EQC-08,equipment_category,减薄与抛光设备,Grinding & Polishing Equipment,晶圆减薄、研磨与抛光设备,proposed,unknown,unknown,,,2026-07-24,
SN-EQC-09,equipment_category,划片与解理设备,Dicing & Cleaving Equipment,晶圆划片、裂片与解理设备,proposed,unknown,unknown,,,2026-07-24,
SN-EQC-10,equipment_category,端面镀膜设备,Facet Coating Equipment,电子束蒸发等端面AR/HR镀膜设备,proposed,enabling,hypothesis,激光器端面工艺专用性强(假设),,2026-07-24,
SN-EQC-11,equipment_category,晶圆与芯片测试系统,Wafer & Chip Test System,探针台与LIV/光谱测试系统,proposed,unknown,unknown,,,2026-07-24,
SN-EQC-12,equipment_category,固晶设备,Die Bonder,共晶焊/高精度贴片固晶设备,proposed,unknown,unknown,,,2026-07-24,
SN-EQC-13,equipment_category,倒装键合设备,Flip-chip Bonder,高精度倒装键合设备,proposed,unknown,unknown,,,2026-07-24,
SN-EQC-14,equipment_category,引线键合设备,Wire Bonder,金丝/铝丝引线键合设备,proposed,unknown,unknown,,,2026-07-24,
SN-EQC-15,equipment_category,耦合对准设备,Alignment & Coupling Equipment,多轴有源/无源耦合对准平台,proposed,bottleneck_candidate,hypothesis,耦合节拍决定组装产能、设备投资占比高(假设、待structure证据),,2026-07-24,
SN-EQC-16,equipment_category,光纤研磨与处理设备,Fiber Polishing & Processing Equipment,光纤阵列研磨、切割与端面处理设备,proposed,unknown,unknown,,,2026-07-24,
SN-EQC-17,equipment_category,点胶设备,Dispensing Equipment,自动点胶设备,proposed,unknown,unknown,,,2026-07-24,
SN-EQC-18,equipment_category,固化设备,Curing Equipment,UV/热固化设备,proposed,unknown,unknown,,,2026-07-24,
SN-EQC-19,equipment_category,激光焊接设备,Laser Welding Equipment,气密封装缝焊/激光焊接设备,proposed,unknown,unknown,,,2026-07-24,
SN-EQC-20,equipment_category,SMT产线设备,SMT Line Equipment,锡膏印刷、贴片与回流焊成套设备,proposed,unknown,unknown,,,2026-07-24,
SN-EQC-21,equipment_category,老化测试系统,Burn-in System,老化炉/老化柜与配套负载板系统,proposed,enabling,hypothesis,老化时长与占地影响产能爬坡(假设),,2026-07-24,芯片级与模块级老化设备形态不同、本轮合并为一类、待细分
SN-EQC-22,equipment_category,温度循环试验箱,Temperature Cycling Chamber,温循与环境应力筛选试验箱,proposed,unknown,unknown,,,2026-07-24,
SN-EQC-23,equipment_category,误码仪与采样示波器,BERT & Sampling Oscilloscope,高速误码测试仪与采样示波器,proposed,unknown,unknown,,,2026-07-24,
SN-EQC-24,equipment_category,光谱分析仪,Optical Spectrum Analyzer,波长与光谱指标测试仪器,proposed,unknown,unknown,,,2026-07-24,
SN-EQC-25,equipment_category,相干光测试系统,Coherent Optical Test System,可调谐参考光源、光调制分析仪等相干测试仪器,proposed,enabling,hypothesis,相干测试仪器单价高、被视为400ZR测试成本重要构成(假设),,2026-07-24,仅400ZR相关
SN-EQC-26,equipment_category,自动光学检测设备,AOI Equipment,外观与装配缺陷自动光学检测设备,proposed,unknown,unknown,,,2026-07-24,
