hit_id,公司,cell_id,来源,引语或线索摘要,处置,理由,会话日期
PRIME WORLD INTERNATIONAL HOLDINGS LTD.+MOD1+迁移,PRIME WORLD INTERNATIONAL HOLDINGS LTD.,MOD1,人工,（类型）模块/光电子商,驳回-移交海外,"维持待判:宇宙外私有/境外主体,无A股/SEC披露通道,待官网道或对应市场披露;迁移行历史线索保留(2026-07-30核)｜2026-08-23核销(codex对表rev39):附属身份——AAOI 2026 SEC申报确认为当前全资附属(BVI),由AAOI覆盖不重复计票,非消亡主体;详见docs/research/2026-08-overseas-pending-handoff-11.md",2026-08-23
Power Master+P1+迁移,Power Master,P1,人工,（类型）功率器件封测(半导体),驳回-移交海外,"维持待判:宇宙外私有/境外主体,无A股/SEC披露通道,待官网道或对应市场披露;迁移行历史线索保留(2026-07-30核)｜2026-08-23核销(codex对表rev39):discovery——实为Power Master Semiconductor,韩国integrated power device/foundry(非纯封测),与光通信核心相邻但未证光电子封测,不升watch;详见docs/research/2026-08-overseas-pending-handoff-11.md",2026-08-23
SHARPNFLAT INC+MOD1+迁移,SHARPNFLAT INC,MOD1,人工,（类型）模块/光电子商,驳回-移交海外,"维持待判:宇宙外私有/境外主体,无A股/SEC披露通道,待官网道或对应市场披露;迁移行历史线索保留(2026-07-30核)｜2026-08-23核销(codex对表rev39):discovery——现行经营名S-MODUL Inc.,SHARPNFLAT作alias;法人连续性待韩国登记核实(legal rename pending registry verification),不建predecessor_of;详见docs/research/2026-08-overseas-pending-handoff-11.md",2026-08-23
三安光电++迁移,三安光电,,人工,（类型）化合物半导体/光芯片,驳回-非本格,主营句为财务噪声;M2b线索另行待判,2026-07-25
上海八界光电科技有限公司+MOD1+迁移,上海八界光电科技有限公司,MOD1,人工,（类型）模块/光电子商,驳回-非本格,"驳回-非本格:纯芯片贸易/分销中间商(源杰披露:2023年已暂停光纤接入转售,合作不具可持续性),无自有环节能力,无官网自述",2026-07-30
上海宽捷光电科技有限公司++迁移,上海宽捷光电科技有限公司,,人工,（类型）光器件,驳回-非本格,"驳回-非本格:进口光电产品代理商(官网自述""代理商""),无自有制造能力;代理品归属境外原厂",2026-07-30
上海橙科微电子科技有限公司+C5+迁移,上海橙科微电子科技有限公司,C5,人工,"（类型）光/电芯片；**常识候选:光通信DSP/CDR厂商,待披露锚核实**",待判,"维持待判:观察名单已在册(50G+ DSP量产出货,讯石CIOE新闻稿+创始人访谈);现行官网失效无合格锚,待IPO申报或官网恢复后补锚入点",2026-07-30
上海飞博激光科技股份有限公司+EQ3+迁移,上海飞博激光科技股份有限公司,EQ3,人工,（类型）激光设备/科研,驳回-非本格,"驳回-非本格:工业高功率光纤激光器(3D打印/钣金/医疗),同锐科先例(对称驳回)",2026-07-30
东莞福可喜玛通讯科技有限公司++迁移,东莞福可喜玛通讯科技有限公司,,人工,（类型）光器件,已入点,已入点:P266@D9(官网自述MT插芯/MPO规模化;仕佳光子收购82.381%股权注记),2026-07-30
东莞铭普光磁股份有限公司+MOD1+迁移,铭普光磁,MOD1,人工,（类型）模块/光电子商,已入点,P2定向句;接入电信类归MOD3,2026-07-25
中际旭创+MOD1+迁移,中际旭创,MOD1,人工,（类型）光模块厂,已入点,已由会话5入点MOD1,2026-07-25
云南鑫耀半导体材料有限公司++迁移,云南鑫耀半导体材料有限公司,,人工,2025年生产磷化铟晶片10.01万片,已入点,已入点:P202@M1(母公司云南锗业2025年报披露砷化镓/磷化铟衬底;主体:云南锗业控股84.53%+华为哈勃9.35%),2026-07-30
光惠激光科技有限公司+EQ3+迁移,光惠激光科技有限公司,EQ3,人工,（类型）激光设备/科研,驳回-非本格,"驳回-非本格:工业/医疗光纤激光器整机,唯一光通信关联为第三方研报疑似误标,无公司自述",2026-07-30
全科科技有限公司+MOD1+迁移,全科科技有限公司,MOD1,人工,（类型）模块/光电子商,驳回-非本格,"驳回-非本格:元器件分销商(源杰芯片经销通道),分销不构成环节产能;产能归属上游源杰(在册)",2026-07-30
凯格精机+EQ3+迁移,凯格精机,EQ3,人工,（类型）组装设备商,已入点,已入点:P208@EQ3(800G光模块自动化组装线批量交付+GD200固晶机光通讯贴装;种子案件OF007归格),2026-07-30
创鑫激光+EQ3+迁移,创鑫激光,EQ3,人工,（类型）激光设备/科研,驳回-非本格,"驳回-非本格:工业光纤激光器整机厂+高功率无源器件垂直整合,无光模块场景自述,同锐科激光先例(一致性);可重启:通信级无源器件外售或泵浦芯片外供光通信EDFA市场披露",2026-07-30
华为(含海思)+EQ3+迁移,华为(含海思),EQ3,人工,（类型）系统设备商,驳回-非本格,驳回-非本格:EQ3贴片/固晶设备——系统商不造贴片设备;海思光模块DSP自研已在观察名单在案,2026-07-30
博众精工+EQ3+迁移,博众精工,EQ3,人工,（类型）自动化设备商,已入点,"已入点:P206@EQ3(共晶贴片机400G/800G批量应用+批量订单两期连续,KN001准入①)",2026-07-30
博创科技++迁移,博创科技,,人工,光通信领域集成光电子器件的研发、生产和销售,驳回-碰撞,"实体归并:博创科技已更名长芯博创(300548)在册MOD1/MOD3/D8,旧名不重复立点",2026-07-30
博创科技股份有限公司++迁移,博创科技股份有限公司,,人工,光通信领域集成光电子器件的研发、生产和销售,驳回-碰撞,"实体归并:同博创科技=长芯博创(300548)在册,旧名不重复立点",2026-07-30
四川乐飞光电科技有限公司++迁移,四川乐飞光电科技有限公司,,人工,（类型）光器件,驳回-非本格,"驳回-非本格:光纤拉丝/光缆成缆(传输介质),同特发信息/通鼎先例不占格",2026-07-30
四川九州光电子技术有限公司+MOD1+迁移,四川九州光电子技术有限公司,MOD1,人工,（类型）模块/光电子商,已入点,"已入点:P246-P248(MOD1/EMS1/MOD3,组合证据:集团官网+省国资委海思项目+党媒400G月产30万只)",2026-07-30
四川光恒通信技术有限公司++迁移,四川光恒通信技术有限公司,,人工,（类型）光器件,已入点,"已入点:P241-P244(D1/D2/D3/MOD3,官网全产业链制造能力自述)",2026-07-30
四川飞普科技有限公司++迁移,四川飞普科技有限公司,,人工,（类型）光器件,已入点,已入点:P245@D10(官网:陶瓷插芯+插芯套组件;四川光恒全资子公司),2026-07-30
士兰微++迁移,士兰微,,人工,（类型）半导体IDM,驳回-非本格,"非光链专产(功率IDM),客户身份活在edges",2026-07-25
大科激光+EQ3+迁移,大科激光,EQ3,人工,（类型）激光设备/科研,驳回-非本格,"驳回-非本格:工业加工光纤激光器整机(切割/焊接/3D打印),核心器件指向工业泵浦/合束,同锐科先例",2026-07-30
天孚通信++迁移,天孚通信,,人工,（类型）光器件/组件厂,已入点,已由会话5入点D1,2026-07-25
奥普瑞++迁移,奥普瑞,,人工,（类型）加工件供应商,驳回-非本格,"驳回-非本格:通用机加工/钣金件(设备机架),流入光模块生产设备非光模块环节,同奥特维EQ3驳回型",2026-07-30
奥特维+EQ3+迁移,奥特维,EQ3,人工,（类型）组件封装设备商,驳回-证据不足,"驳回-证据不足(EQ3装片机自述全部半导体封测语境,无光通信应用;相邻能力观察;光模块AOI已入EQ6=P205);可重启:装片/固晶设备用于光通信封装自述",2026-07-30
常州太平通讯科技有限公司++迁移,常州太平通讯科技有限公司,,人工,（类型）光器件,待判,"维持待判:光纤连接器/跳纤自产30年+运营商集采在册,但MPO插芯/连接器本体自产未证(现证据为配线架+跳线组装),且场景为电信ODN非数通;待自产证据或数通配套披露",2026-07-30
德国罗森博格通讯有限公司+MOD1+迁移,德国罗森博格通讯有限公司,MOD1,人工,（类型）模块/光电子商,已入点,已入点:P260@D9(官网MTP/MPO并行光布线适配SR4/DR4),2026-07-30
快克智能+EQ3+迁移,快克智能,EQ3,人工,（类型）焊接设备商,驳回-证据不足,"驳回-证据不足(EQ3光通信共晶/固晶/贴装系统全部设计开发阶段,连在建都不够;光模块AOI已入EQ6=P207;焊接装联批量供光模块龙头但树无焊接格记非本格观察);可重启:研发进展列变更或订单披露",2026-07-30
成都储翰科技++迁移,成都储翰科技,,人工,（类型）光/电芯片,驳回-碰撞,"实体归并:中际旭创(300308)控股子公司,OSA/模块能力为旭创成都基地,母公司P074在册不重复立点(同苏州旭创先例)",2026-07-30
成都智禾光通(原成都旭创科技)++迁移,成都智禾光通(原成都旭创科技),,人工,（类型）光/电芯片,驳回-碰撞,"实体归并:中际旭创子公司(原成都旭创科技更名),母公司P074在册不重复立点;注意与锦江区同名系统集成公司区分",2026-07-30
成都蓉博通信技术有限公司+MOD1+迁移,成都蓉博通信技术有限公司,MOD1,人工,（类型）模块/光电子商,驳回-碰撞,"实体归并:长芯博创(300548)全资子公司(10G PON接入模块+无线承载数字光模块),母公司在册不重复立点",2026-07-30
成都迪谱光电科技有限公司+MOD1+迁移,成都迪谱光电科技有限公司,MOD1,人工,（类型）模块/光电子商,驳回-碰撞,"实体归并:2021年注销业务并入成都蓉博通信,能力已随长芯博创(300548)在册覆盖;历史名保留于edges E191",2026-07-30
新易盛+MOD1+迁移,新易盛,MOD1,人工,（类型）光模块厂,已入点,已由会话5入点,2026-07-25
星微科技+EQ3+迁移,星微科技,EQ3,人工,（类型）驱动控制供应商,驳回-非本格,"驳回-非本格:半导体设备核心零部件商(精密运动平台入猎奇供应链),设备零部件层不在树(同托伦斯先例);猎奇供应链线索注记",2026-07-30
普利技术潜江有限公司++迁移,普利技术潜江有限公司,,人工,（类型）光器件,驳回-非本格,"驳回-非本格:长飞全资光纤光缆化工材料厂(光纤着色油墨/涂料),属光纤拉丝材料非光模块环节",2026-07-30
普源精电+EQ7+迁移,普源精电,EQ7,人工,（类型）测试测量仪器,已入点,"已入点:P217@EQ7(光通信核心大客户收入+70.45%,光通信与光模块测试头部客户两期自述)",2026-07-30
武汉华日精密激光+EQ3+迁移,武汉华日精密激光,EQ3,人工,（类型）激光设备/科研,驳回-非本格,"驳回-非本格:工业微加工超快/纳秒激光器,无光通信场景自述,同锐科先例",2026-07-30
武汉正源高理光学有限公司++迁移,武汉正源高理光学有限公司,,人工,（类型）光器件,待判,"维持待判:核查任务——华工科技年报/公告中""光通信玻片镀膜""""单纤双向玻片""是否归属正源高理;其镀膜/光刻产线为通用精密光学能力",2026-07-30
武汉灿光光电有限公司++迁移,武汉灿光光电有限公司,,人工,（类型）光/电芯片,已入点,已入点:P249-P252(D1/D2/D3组合证据+D12在建800G光引擎基地;昱升光电系),2026-07-30
武汉高跃科技有限责任公司+EQ3+迁移,武汉高跃科技有限责任公司,EQ3,人工,（类型）激光设备/科研,驳回-非本格,"驳回-非本格:传感类激光器封装(激光雷达/气体检测/光纤传感),有激光器通用能力无光模块场景=相邻能力",2026-07-30
汇聚科技+MOD1+迁移,汇聚科技,MOD1,人工,（类型）模块/光电子商,待判,"维持待判:官网主营铜缆/光缆电线组件及服务器(立讯子公司),MPO品名暂仅讯石转述与招商研报(非公司原文),待官网MPO原文或立讯公告细化",2026-07-30
江苏光铟半导体有限公司++迁移,江苏光铟半导体有限公司,,人工,从事磷化铟衬底的研发生产销售（拟设项目）,待判,"维持待判:InP衬底项目股东会已过但公司未注册落地/无产线/无客户验证,且有蹭概念警示;跟踪:工商注册/厂房设备进场/送样/订单",2026-07-30
江苏兴光半导体有限公司++迁移,江苏兴光半导体有限公司,,人工,收购磷化铟衬底制造与销售业务（拟生产）,已入点,已入点:P261@M1(兴业科技公告:InP衬底认证+小批量交付;青岛立昂资产收购注记),2026-07-30
波若威光纤通讯有限公司++迁移,波若威光纤通讯有限公司,,人工,（类型）光器件,已入点,"已入点:P264@D9(Fiber Array组件+MPO,400G/800G量产)+P265@D6(Inline isolator);台股年报锚",2026-07-30
泰科电子(含关联方)++迁移,泰科电子(含关联方),,人工,（类型）材料/设备供应商,已入点,已入点:P262@B2(QSFP-DD笼+专利散热)+P263@MOD1(200G-1.6T光模块2025-04新发布),2026-07-30
海信集团+MOD1+迁移,海信集团,MOD1,人工,（类型）光模块/宽带(海信宽带),驳回-碰撞,"实体归并:光模块业务实体为纳真科技(青岛海信宽带多媒体),已入点P253-P255,集团不重复立点",2026-07-30
深圳市中迅实业有限公司++迁移,深圳市中迅实业有限公司,,人工,（类型）材料/设备供应商,驳回-非本格,"驳回-非本格:供应链/元器件贸易商(进口热沉/LIMO分销),无自产能力",2026-07-30
深圳市亚美斯通电子有限公司+MOD1+迁移,深圳市亚美斯通电子有限公司,MOD1,人工,（类型）模块/光电子商,驳回-非本格,"驳回-非本格:贸易/集采平台,无制造能力;注记:可作他司对华为供货渠道佐证引用,本体不入册",2026-07-30
深圳市宏钢机械设备有限公司++迁移,深圳市宏钢机械设备有限公司,,人工,盖板、壳体组等,已入点,已入点:P258@D4(陶瓷/金属封装外壳光收发器件应用三源互证),2026-07-30
深圳市星欣磊实业有限公司++迁移,深圳市星欣磊实业有限公司,,人工,（类型）材料/设备供应商,已入点,已入点:P259@B2(官网客户自述海信/光迅等+400G/800G钨铜热沉),2026-07-30
湖北瑞创信达光电有限公司++迁移,湖北瑞创信达光电有限公司,,人工,（类型）光器件,驳回-碰撞,"实体归并:华工科技(000988)控股子公司(特种/防务定制光模块平台),母公司已入册P209-P216,不重复立点;光引擎封装专利记线索",2026-07-30
珠海鼎泰芯源晶体有限公司++迁移,珠海鼎泰芯源晶体有限公司,,人工,InP衬底单晶材料的研发、生产及销售,已入点,已入点:P257@M1(博杰股份互动易:InP衬底光纤通信应用+扩产;珠海高新区官网年产能4-5万片),2026-07-30
索尔思(Source Photonics)+MOD1+迁移,索尔思(Source Photonics),MOD1,人工,（类型）光模块厂,已入点,已入点:P200@MOD1+P201@C1(万通发展2023-11框架协议公告:800G规模量产+EML/DFB芯片规模交付;时效注记随点),2026-07-30
腾景科技股份有限公司+D7+迁移,腾景科技,D7,人工,（类型）光器件,已入点,P2主营句,2026-07-25
苏州单峰光子科技有限责任公司+EQ3+迁移,苏州单峰光子科技有限责任公司,EQ3,人工,（类型）激光设备/科研,驳回-非本格,"驳回-非本格:激光传感/精密测量半导体激光芯片(原子钟/磁力计/气体传感),与光通信无交集(长光华芯半年报口径)",2026-07-30
苏州旭创科技有限公司+MOD1+迁移,苏州旭创科技有限公司,MOD1,人工,（类型）模块/光电子商,驳回-碰撞,"实体归并:中际旭创(300308)全资子公司,母公司在册,子公司不重复立点(同星网锐捷/汇绿碰撞先例)",2026-07-30
苏州星钥光子科技有限公司+EQ3+迁移,苏州星钥光子科技有限公司,EQ3,人工,（类型）激光设备/科研,已入点,"已入点:P256@C4在建(长光华芯投关记录表:8英寸硅光Foundry,2026年底通线/2027投产)",2026-07-30
苏州焜原光电有限公司+EQ3+迁移,苏州焜原光电有限公司,EQ3,人工,（类型）激光设备/科研,驳回-证据不足,"驳回-证据不足:MBE外延代工能力真(InP/GaAs外延片+激光器方向),但主场景为红外军品,光通信仅停留应用领域罗列,同中科仪对称判例;可重启:1310/1550nm通信波段外延出货或客户披露",2026-07-30
苏州环明电子科技有限公司++迁移,苏州环明电子科技有限公司,,人工,（类型）光器件,驳回-非本格,"驳回-非本格:消费电子散热与光学膜(3C/显示),无光模块场景自述",2026-07-30
苏州睿科晶创光电科技有限公司+EQ3+迁移,苏州睿科晶创光电科技有限公司,EQ3,人工,（类型）激光设备/科研,驳回-非本格,"驳回-非本格:PPLN非线性变频晶体芯片及激光器(激光显示/探测/科研),""全光波长转换""仅应用领域罗列无产品化证据",2026-07-30
苏州邦皓电子新材料有限公司++迁移,苏州邦皓电子新材料有限公司,,人工,（类型）上游材料,驳回-非本格,"驳回-非本格:通用焊片模切(长光华芯锡片铟焊料外协1.8万元级),无光器件场景",2026-07-30
苏州镓锐芯光科技有限公司++迁移,苏州镓锐芯光科技有限公司,,人工,（类型）光/电芯片,驳回-非本格,"驳回-非本格:GaN可见光激光芯片(显示/加工/照明),非InP/GaAs通信波段;长光华芯参股可作其条目注记",2026-07-30
郑州仕佳通信科技有限公司++迁移,郑州仕佳通信科技有限公司,,人工,光芯片及器件、室内光缆、线缆材料研发生产销售（仕佳体系主体）,驳回-碰撞,"实体归并:已更名且光通信资产与能力全部注入仕佳光子(688313,在册C1/D1/D8/D9/M2a),再立点=重复计点;entity-registry别名注记=河南仕佳信息技术有限公司(仕佳光子控股股东)",2026-07-30
锐科激光+EQ3+迁移,锐科激光,EQ3,人工,（类型）激光设备/科研,驳回-非本格,"驳回-非本格(工业光纤激光器(切割/焊接)为主业,全文0处光模块;特种光纤有收入7,360.67万元但指向星际/空间传输且树无特种光纤格;同托伦斯先例;可重启:光通信激光芯片/光源自述或供入光器件客户)",2026-07-30
青岛海信宽带多媒体技术有限公司+MOD1+迁移,青岛海信宽带多媒体技术有限公司,MOD1,人工,（类型）模块/光电子商,已入点,已入点:P253-P255(C1 DFB量产/MOD1 1.6T OSFP DR8/MOD3全栈;相干ZR注记待核),2026-07-30
青岛立昂晶电半导体科技有限公司++迁移,青岛立昂晶电半导体科技有限公司,,人工,掌握2/3英寸磷化铟衬底生产技术，已实现小批量交付,驳回-碰撞,"实体归并:InP业务资产2026-07整体出售兴业科技子公司江苏兴光,能力已随P261落账,母体不重复立点;青岛立昂承诺不在邳州新建产线,其余不受限制注记",2026-07-30
飞博激光+EQ3+迁移,飞博激光,EQ3,人工,（类型）激光设备/科研,驳回-非本格,"驳回-非本格:工业光纤激光器整机厂,应用为材料加工/医疗/科研,同锐科先例",2026-07-30
飞顿国际有限公司、飞顿国际科技有限公司+EQ3+迁移,飞顿国际有限公司、飞顿国际科技有限公司,EQ3,人工,（类型）激光设备/科研,驳回-非本格,"驳回-非本格:两主体均为医美激光整机厂商(激光芯片下游采购方),其一已简易注销;与光通信无交集",2026-07-30
香港新南利+MOD1+迁移,香港新南利,MOD1,人工,（类型）模块/光电子商,驳回-非本格,"驳回-非本格:电工线缆/线束通用制造,无光纤/光器件产品;仕佳供应商身份不改变能力定性",2026-07-30
Fabrinet++s0b-candidat,Fabrinet,,线索,"['N01', 'Fabrinet', '美股（NYSE）']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
NVIDIA++s0b-candidat,NVIDIA,,线索,"['N02', 'NVIDIA', '美股（NASDAQ）']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
Cisco++s0b-candidat,Cisco,,线索,"['N03', 'Cisco', '美股（NASDAQ）']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
Lumentum++s0b-candidat,Lumentum,,线索,"['N04', 'Lumentum', '美股（NASDAQ）']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
Acacia++s0b-candidat,Acacia,,线索,"['N05', 'Acacia', '美股（NASDAQ，已退市）']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
Infinera++s0b-candidat,Infinera,,线索,"['N06', 'Infinera', '美股（NASDAQ，已退市）']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
NeoPhotonics++s0b-candidat,NeoPhotonics,,线索,"['N07', 'NeoPhotonics', '美股（NYSE，已退市）']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
Ciena++s0b-candidat,Ciena,,线索,"['N09', 'Ciena', '美股（NYSE）']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
中际旭创++s0b-candidat,中际旭创,,线索,"['N10', '中际旭创', '创业板']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
新易盛++s0b-candidat,新易盛,,线索,"['N11', '新易盛', '创业板']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
天孚通信++s0b-candidat,天孚通信,,线索,"['N12', '天孚通信', '创业板']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
猎奇智能++s0b-candidat,猎奇智能,,线索,"['N13', '猎奇智能', '创业板IPO（非上市）']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
罗博特科/ficonTEC++s0b-candidat,罗博特科/ficonTEC,,线索,"['N14', '罗博特科/ficonTEC', '创业板']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
博通(Broadcom)++s0b-candidat,博通(Broadcom),,线索,"['N15', '博通(Broadcom)', '美股（NASDAQ）']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
凯格精机++s0b-candidat,凯格精机,,线索,"['N16', '凯格精机', '创业板']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
Coherent++s0b-candidat,Coherent,,线索,"['N18', 'Coherent', '美股（NYSE）']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
Applied Optoelectronics(AAOI)++s0b-candidat,Applied Optoelectronics(AAOI),,线索,"['N19', 'Applied Optoelectronics(AAOI)', '美股（NASDAQ）']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
Microsoft++s0b-candidat,Microsoft,,线索,"['N20', 'Microsoft', '美股（NASDAQ）']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
Oracle++s0b-candidat,Oracle,,线索,"['N21', 'Oracle', '美股（NYSE）']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
Apple++s0b-candidat,Apple,,线索,"['N24', 'Apple', '美股（NASDAQ）']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
Nokia++s0b-candidat,Nokia,,线索,"['N25', 'Nokia', '美股（NYSE ADR）']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
Google++s0b-candidat,Google,,线索,"['N26', 'Google', '美股（NASDAQ）']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
派克新材++s0b-candidat,派克新材,,线索,"['N27', '派克新材', '沪市主板']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
光迅科技++s0b-candidat,光迅科技,,线索,"['N32', '光迅科技', '深市主板']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
源杰科技++s0b-candidat,源杰科技,,线索,"['N33', '源杰科技', '科创板']",驳回-非本格,"证券代码元数据行,非产业线索",2026-07-25
