edge_id,供方,需方,供方point_id,需方point_id,数值类型,数值,单位,占比或金额原文,财年,边等级,证据文件,锚点,验证状态,备注
E024,AAOI,Digicomm,,EXT,占比,34.1,,34.1%,2024,实边,AAOI 10-K FY2024,同E018,本轮P1-SEC原文命中,
E025,AAOI,Digicomm,,EXT,占比,53.1,,53.1%,2025,实边,AAOI 10-K FY2025,同E019,本轮P1-SEC原文命中,分销商放量;终端MSO不可见——分销夹层
E026,Lumentum,Apple,,EXT,占比,30.2,,30.2%,FY2021(至2021-07),实边,Lumentum 10-K FY2023,https://www.sec.gov/Archives/edgar/data/1633978/000162828023030374/lite-20230701.htm,本轮P1-SEC原文命中,3D传感/消费端非光通信
E027,Lumentum,Apple,,EXT,占比,28.7,,28.7%,FY2022,实边,Lumentum 10-K FY2023,同E026,本轮P1-SEC原文命中,
E028,Lumentum,Apple,,EXT,占比,12.1,,12.1%,FY2023,实边,Lumentum 10-K FY2023,同E026,本轮P1-SEC原文命中,FY2024起<10%退出表;FY2025匿名表Customer C的FY2023列=12.1%指纹吻合
E029,Lumentum,Ciena,,,占比,10.1,,10.1%,FY2021,实边,Lumentum 10-K FY2023,同E026,本轮P1-SEC原文命中,
E030,Lumentum,Ciena,,,占比,12.6,,12.6%,FY2022,实边,Lumentum 10-K FY2023,同E026,本轮P1-SEC原文命中,
E031,Lumentum,Ciena,,,占比,15.3,,15.3%,FY2023,实边,Lumentum 10-K FY2023,同E026,本轮P1-SEC原文命中,与NeoPhotonics-Ciena(E009)同客户——Lumentum收购NPTN后承接
E032,Lumentum,Ciena,,,占比,11.4,,11.4%,FY2024,实边,Lumentum 10-K FY2024,https://www.sec.gov/Archives/edgar/data/1633978/000162828024038024/lite-20240629.htm,本轮P1-SEC原文命中,
E033,Lumentum,华为,,,占比,10.8,,10.8%,FY2021(2020-07至2021-07),实边,Lumentum 10-K FY2023,同E026,本轮P1-SEC原文命中,跨境边;实体清单升级后财年仍>10%;FY2022起<10%——第二条对华断边时间序列
E034,Lumentum,Nokia,,,占比,10.5,,10.5%,FY2023,实边,Lumentum 10-K FY2023,同E026,本轮P1-SEC原文命中,
E035,Lumentum,Google,,EXT,占比,18.9,,18.9%,FY2024,实边,Lumentum 10-K FY2024,同E032,本轮P1-SEC原文命中,云巨头实名直销边——罕见样本;datacom激光/组件
E036,Lumentum,Ciena(解匿),,,占比,16.0,,16.0%,FY2025,推断A,Lumentum 10-K FY2025+FY2024+FY2023考古,https://www.sec.gov/Archives/edgar/data/1633978/000162828025040830/lite-20250628.htm,P3判例#003-A级,原Customer A;四组指纹自洽双射;判例见deanonymization-cases.md|原等级:推断边(A级)
E037,Lumentum,Google(解匿),,EXT,占比,15.4,,15.4%,FY2025,推断A,Lumentum 10-K FY2025+FY2024考古,同E036,P3判例#003-A级,原Customer B;FY2024列18.9%=Google实名值|原等级:推断边(A级)
E038,Fabrinet(解匿),Lumentum,P001,,,,,采购占比FY2023:42.5%/FY2024:30.3%/FY2025:25.1%,FY2023-FY2025,推断B,Lumentum 10-K FY2024/FY2025+Fabrinet 10-K FY2023反照,同E032;同E036,P3判例#004-B级终态(R2审查:U门闭合$1272M上界/L门客户级归类不,原Contract Manufacturer A;对手方实名+量级排除强化(全额进入分母则占32%);FY2023年报口径43%后重列42.5%|多期打包待展开|原等级:推断边(B级)
E039,Coherent,匿名客户(FY2023),,ANON,占比,10,,10%,FY2023(至2023-06),半边,Coherent 10-K FY2023,https://www.sec.gov/Archives/edgar/data/820318/000082031823000016/iivi-20230630.htm,本轮P1登记,Networking段;Coherent制度性不点名|原等级:半边槽位
E040,Coherent,匿名客户(FY2024),,ANON,占比,10,,10%,FY2024,半边,Coherent 10-K FY2024,https://www.sec.gov/Archives/edgar/data/820318/000082031824000016/iivi-20240630.htm,本轮P1登记,"年报明示与FY2023客户不同人(""another major customer"")|原等级:半边槽位"
E041,Coherent,匿名客户1(FY2025),,ANON,占比,12,,12%,FY2025,半边,Coherent 10-K FY2025,https://www.sec.gov/Archives/edgar/data/820318/000082031825000014/iivi-20250630.htm,本轮P1登记,"Networking段;年报明示FY2024客户是""a different major customer""|原等级:半边槽位"
E042,Coherent,匿名客户2(FY2025),,ANON,占比,10,,10%,FY2025,半边,Coherent 10-K FY2025,同E041,本轮P1登记,Networking段|原等级:半边槽位
E043,天孚通信,Fabrinet,P024,P001,,,,63.31%(3268843594.94元),2025,实边,天孚通信2025年报前五大客户表(实名),http://static.cninfo.com.cn/finalpage/2026-04-08/1225082705.PDF,本轮P2原文命中,A股前五大表实名例外样本;链条天孚→Fabrinet→NVIDIA两跳全实名|多期打包待展开
E044,中际旭创,PINEWAVE(关联方),,,,,,43378万美元(占同类关联交易100%),2025,实边,中际旭创2025年报重大关联交易表,http://static.cninfo.com.cn/finalpage/2026-03-31/1225056459.PDF,本轮P2原文命中,关联关系:关联自然人任职;获批额度5亿美元;客户E占比8.10%=前五大关联方销售占比8.10%且金额指纹吻合(判例#002)|多期打包待展开
E045,猎奇智能,中际旭创,P055,,,,,53.42%(37277.97万元),2025,实边,创业板IPO招股书申报稿(2026-04),https://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202604/RAS_202604_2219353F853040F4664F68A9C0227EAD584A6C.pdf,本轮P2原文命中,三年序列62.19%(2023)/58.85%(2024)/53.42%(2025);升级seed E010锚点为深交所原文|多期打包待展开
E046,猎奇智能,索恩格,P055,,,,,10.12%(7059.21万元),2025,实边,同E045,同E045,本轮P2原文命中,汽车自动化线;2024:6.27%/2023:6.89%|多期打包待展开
E047,猎奇智能,索尔思(Source Photonics),P055,,,,,6.55%(4569.15万元),2025,实边,同E045,同E045,本轮P2原文命中,"光模块厂新客户;招股书注明""新拓展客户，交易规模保持增长""|多期打包待展开"
E048,猎奇智能,光迅科技,P055,P016,,,,11.23%(6097.74万元),2024,实边,同E045,同E045,本轮P2原文命中,2025年跌出前五|多期打包待展开
E049,猎奇智能,源杰科技,P055,P052,,,,10.77%(3115.80万元),2023,实边,同E045,同E045,本轮P2原文命中,2024/2025跌出前五;按扩产周期波动|多期打包待展开
E050,猎奇智能,苏世博,P055,,,,,5.58%(3890.49万元),2025,实边,同E045,同E045,本轮P2原文命中,自动化线;2024:3.00%|多期打包待展开
E051,星微科技,猎奇智能,,P055,,,,10.41%(2710.62万元),2023,实边,同E045(供应商表-实名),同E045,本轮P2原文命中,驱动控制类;2024:6.54%/2025:4.63%;IPO文件是A股域唯一双侧实名文件类型|多期打包待展开
E052,奥普瑞,猎奇智能,,P055,,,,5.85%(5040.29万元),2025,实边,同E045,同E045,本轮P2原文命中,加工件;2024:5.81%/2023:4.32%|多期打包待展开
E053,南央国际,猎奇智能,EXT,P055,,,,3.00%(2586.96万元),2025,实边,同E045,同E045,本轮P2原文命中,滑台类日本代理;三年均入前五|多期打包待展开
E054,津微光电,猎奇智能,EXT,P055,,,,3.69%(1007.62万元),2024,实边,同E045,同E045,本轮P2原文命中,神津精机(日本)代理商——上游日系依赖标记|多期打包待展开
E055,中际旭创,客户A(匿名),,ANON,,,,24.06%(9201495755.91元),2025,半边,中际旭创2025年报,同E044,本轮P2登记-待解匿,云巨头直销槽位候选;上限C级|多期打包待展开|原等级:半边槽位
E056,中际旭创,客户B(匿名),,ANON,,,,18.26%(6981202208.21元),2025,半边,同E044,同E044,本轮P2登记-待解匿,|多期打包待展开|原等级:半边槽位
E057,中际旭创,客户C(匿名),,ANON,,,,14.22%(5438189570.59元),2025,半边,同E044,同E044,本轮P2登记-待解匿,|多期打包待展开|原等级:半边槽位
E058,中际旭创,客户D(匿名),,ANON,,,,11.34%(4337902496.40元),2025,半边,同E044,同E044,本轮P2登记-待解匿,|多期打包待展开|原等级:半边槽位
E059,供应商A(匿名),中际旭创,ANON,,,,,35.76%(8885926791.46元),2025,半边,同E044,同E044,本轮P2登记-待解匿,采购集中度头部;光芯片/EML候选域|多期打包待展开|原等级:半边槽位
E060,新易盛,客户第一名(匿名),,ANON,,,,22.97%(5706560719.37元),2025,半边,新易盛2025年报,http://static.cninfo.com.cn/finalpage/2026-04-24/1225172598.PDF,本轮P2登记-待解匿,2024第一名31.74%(2744287306.63元)/2023即E015;云巨头直销槽位候选|多期打包待展开|原等级:半边槽位
E061,新易盛,客户第二名(匿名),,ANON,,,,16.64%(4133465492.45元),2025,半边,同E060,同E060,本轮P2登记-待解匿,2024第二名12.39%|多期打包待展开|原等级:半边槽位
E062,新易盛,客户第三名(匿名),,ANON,,,,15.63%(3881540609.61元),2025,半边,同E060,同E060,本轮P2登记-待解匿,2024第三名12.15%|多期打包待展开|原等级:半边槽位
E063,新易盛,客户第四名(匿名),,ANON,,,,10.96%(2721814735.32元),2025,半边,同E060,同E060,本轮P2登记-待解匿,|多期打包待展开|原等级:半边槽位
E064,供应商第一名(匿名),新易盛,ANON,,,,,23.87%(3666795583.83元),2025,半边,同E060,同E060,本轮P2登记-待解匿,2024:23.57%/2023:15.03%;光芯片候选域|多期打包待展开|原等级:半边槽位
E065,天孚通信,客户2(匿名),P024,ANON,,,,11.66%(601931536.36元),2025,半边,天孚通信2025年报,同E043,本轮P2登记-待解匿,第一名Fabrinet已实名(E043)|多期打包待展开|原等级:半边槽位
E066,供应商1(匿名),天孚通信,ANON,P024,,,,34.81%(832889806.30元),2025,半边,同E043,同E043,本轮P2登记-待解匿,|多期打包待展开|原等级:半边槽位
E067,猎奇智能,客户五(匿名),P055,ANON,,,,11.32%(3273.09万元),2023,半边,同E045,同E045,本轮P2登记-待解匿,半导体封装测试设备客户;2024:3.48%/2025:3.74%;全表唯一匿名客户|多期打包待展开|原等级:半边槽位
E068,Fabrinet,Lumentum,P001,,占比,15.4,,15.4%,FY2023,实边,Fabrinet 10-K FY2023,https://www.sec.gov/Archives/edgar/data/1408710/000140871023000028/fn-20230630.htm,本轮P3-SEC原文命中,FY2022:10.3%/FY2021:13.6%;判例#004对侧证据
E069,Fabrinet,NVIDIA,P001,EXT,占比,12.5,,12.5%,FY2023,实边,Fabrinet 10-K FY2023,同E068,本轮P3-SEC原文命中,NVIDIA首次进Fabrinet≥10%表——E001/E002的前史起点
E070,Fabrinet,Cisco,P001,,占比,15.6,,15.6%,FY2023,实边,Fabrinet 10-K FY2023,同E068,本轮P3-SEC原文命中,FY2022:25.4%/FY2021:10.7%
E071,Fabrinet,Infinera,P001,,占比,12.4,,12.4%,FY2023,实边,Fabrinet 10-K FY2023,同E068,本轮P3-SEC原文命中,FY2022:12.5%/FY2021:11.6%;Infinera 2025并入Nokia
E072,天孚通信,Fabrinet,P024,P001,,,,53.61%(1039308855.95元),2023,实边,天孚通信2023年报前五大客户表(实名),https://static.cninfo.com.cn/finalpage/2024-04-22/1219698777.PDF,正式版管线产出-人工原文复核通过,"原文名""Fabrinet Co.，Ltd.(半角逗号转全角避CSV列分裂)"";三年序列53.61→61.69→63.31起点|多期打包待展开"
E073,天孚通信,Fabrinet,P024,P001,,,,61.69%(2005917035.59元),2024,实边,天孚通信2024年报前五大客户表(实名),https://static.cninfo.com.cn/finalpage/2025-04-21/1223152632.PDF,正式版管线产出-人工原文复核通过,|多期打包待展开
E074,光迅科技,烽火通信,P016,EXT,,,,5.59%(369224117.92元),2023,实边,光迅科技2023年报前五大客户表(实名),https://static.cninfo.com.cn/finalpage/2024-04-26/1219826062.PDF,正式版管线产出-人工原文复核通过,"原文全称""烽火通信科技股份有限公司"";关联方锁定:前五大关联方销售占比5.59%逐位相等;同属中国信科体系;2024/2025年跌出前五;R4双侧核对:金额为含税口径(÷1.13=附注不含税3.267|多期打包待展开;codex复核:烽火=下游系统商BOM无格,端点转EXT"
E075,光迅科技,客户1(匿名),P016,ANON,,,,15.16%(1807934600.51元),2025,半边,光迅科技2025年报,https://static.cninfo.com.cn/finalpage/2026-04-23/1225148212.PDF,正式版管线产出-人工原文复核通过,2024:12.42%/2023:15.24%(2023年第一名)|多期打包待展开|原等级:半边槽位
E076,罗博特科,客户一(匿名),P059,ANON,,,,19.35%(183805309.74元),2025,半边,罗博特科2025年报,https://static.cninfo.com.cn/finalpage/2026-03-31/1225059372.PDF,正式版管线产出-人工原文复核通过,前五集中度63.14%|多期打包待展开|原等级:半边槽位
E077,凯格精机,第一名(匿名),,ANON,,,,8.51%(94811977.48元),2025,半边,凯格精机2025年报,https://static.cninfo.com.cn/finalpage/2026-04-28/1225202249.PDF,正式版管线产出-人工原文复核通过,前五集中度仅27.65%——设备商客户分散样本|多期打包待展开|原等级:半边槽位
E078,快克智能,客户一(匿名),,ANON,,,,12.13%(131019640.80元),2025,半边,快克智能2025年报,https://static.cninfo.com.cn/finalpage/2026-04-24/1225173150.PDF,正式版管线产出-人工原文复核通过,沪市模板但金额单位为元(模板变体)|多期打包待展开|原等级:半边槽位
E079,普源精电,客户1(匿名),,ANON,,,,12.73%(112631500.00元),2025,半边,普源精电2025年报,https://static.cninfo.com.cn/finalpage/2026-03-26/1225031855.PDF,正式版管线产出-人工原文复核通过,"行级关联列全""否""|多期打包待展开|原等级:半边槽位"
E080,奥特维,客户1(匿名),,ANON,,,,15.35%(981740400.00元),2025,半边,奥特维2025年报,https://static.cninfo.com.cn/finalpage/2026-04-23/1225145661.PDF,正式版管线产出-人工原文复核通过,主业光伏设备;光模块设备为扩张线|多期打包待展开|原等级:半边槽位
E081,博众精工,客户一(匿名),,ANON,,,,32.82%(2154855900.00元),2025,半边,博众精工2025年报,https://static.cninfo.com.cn/finalpage/2026-04-11/1225096862.PDF,正式版管线产出-人工原文复核通过,前五集中度75.36%高依赖;3C自动化主业|多期打包待展开|原等级:半边槽位
E082,联讯仪器,Power Master,P061,,,,,9.06%(1821.39万元),2025Q1,实边,联讯仪器IPO招股书申报稿(前五大客户表),https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3管线抽取+人工原文复核通过,"功率器件测试设备;Power Master Semiconductor Co.,Ltd.|多期打包待展开"
E083,联讯仪器,新易盛,P061,,,,,8.29%(1668.10万元),2025Q1,实边,联讯仪器IPO招股书申报稿(前五大客户表),https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3管线抽取+人工原文复核通过,光电子器件测试设备;成都新易盛通信技术股份有限公司|多期打包待展开
E084,联讯仪器,讯速信远,P061,EXT,,,,5.47%(1100.78万元),2025Q1,实边,联讯仪器IPO招股书申报稿(前五大客户表),https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3管线抽取+人工原文复核通过,经销;通信测试仪器+光电子器件测试设备;成都讯速信远科技等同一控制|多期打包待展开
E085,联讯仪器,光迅科技,P061,P016,占比,7.57,,7.57%,2024,实边,联讯仪器IPO招股书申报稿(前五大客户表),https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3管线抽取+人工原文复核通过,武汉光迅科技股份有限公司;与其IPO客户E048互为对手方
E086,联讯仪器,士兰微,P061,,占比,6.92,,6.92%,2024,实边,联讯仪器IPO招股书申报稿(前五大客户表),https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3管线抽取+人工原文复核通过,杭州士兰微电子股份有限公司
E087,联讯仪器,海信集团,P061,,占比,6.54,,6.54%,2024,实边,联讯仪器IPO招股书申报稿(前五大客户表),https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3管线抽取+人工原文复核通过,青岛海信宽带多媒体+广东海信宽带等同一控制
E088,联讯仪器,中际旭创,P061,,占比,6.26,,6.26%,2024,实边,联讯仪器IPO招股书申报稿(前五大客户表),https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3管线抽取+人工原文复核通过,通信测试仪器;中际旭创股份有限公司
E089,联讯仪器,海信集团,P061,,,,,15.33%(4227.19万元),2023,实边,联讯仪器IPO招股书申报稿(前五大客户表),https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3管线抽取+人工原文复核通过,通信测试仪器+光电子器件测试设备|多期打包待展开
E090,联讯仪器,中际旭创,P061,,,,,14.75%(4068.26万元),2023,实边,联讯仪器IPO招股书申报稿(前五大客户表),https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3管线抽取+人工原文复核通过,通信测试仪器|多期打包待展开
E091,联讯仪器,三安光电,P061,,,,,6.81%(1876.87万元),2023,实边,联讯仪器IPO招股书申报稿(前五大客户表),https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3管线抽取+人工原文复核通过,功率器件测试设备;三安光电股份有限公司|多期打包待展开
E092,联讯仪器,海信集团,P061,,,,,14.02%(3005.18万元),2022,实边,联讯仪器IPO招股书申报稿(前五大客户表),https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3管线抽取+人工原文复核通过,光电子器件测试设备+通信测试仪器|多期打包待展开
E093,联讯仪器,光迅科技,P061,P016,,,,11.53%(2471.91万元),2022,实边,联讯仪器IPO招股书申报稿(前五大客户表),https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3管线抽取+人工原文复核通过,|多期打包待展开
E094,联讯仪器,Broadcom,P061,P020,,,,6.11%(1310.23万元),2022,实边,联讯仪器IPO招股书申报稿(前五大客户表),https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3管线抽取+人工原文复核通过,光电子器件测试设备;Broadcom(原Avago);与ficonTEC-博通E011第二独立证据|多期打包待展开
E095,联讯仪器,三安光电,P061,,,,,5.06%(1084.04万元),2022,实边,联讯仪器IPO招股书申报稿(前五大客户表),https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3管线抽取+人工原文复核通过,光电子器件测试设备+电性能测试设备|多期打包待展开
E096,联讯仪器,集团一(匿名),P061,ANON,,,,35.51%(7140.45万元),2025Q1,半边,联讯仪器IPO招股书申报稿(前五大客户表),https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3管线抽取+人工原文复核通过,通信测试仪器;三年序列9.90%(2023)/16.92%(2024)/35.51%(2025Q1);解匿判例#006候选;线索见jituanyi-leads.md|多期打包待展开|原等级:半边槽位
E097,联讯仪器,集团一(匿名),P061,ANON,占比,16.92,,16.92%,2024,半边,联讯仪器IPO招股书申报稿(前五大客户表),https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3管线抽取+人工原文复核通过,通信测试仪器;同判例#006|原等级:半边槽位
E098,联讯仪器,集团一(匿名),P061,ANON,,,,9.90%(2730.72万元),2023,半边,联讯仪器IPO招股书申报稿(前五大客户表),https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3管线抽取+人工原文复核通过,通信测试仪器+功率器件测试设备;同判例#006|多期打包待展开|原等级:半边槽位
E099,联讯仪器,集团二(匿名),P061,ANON,占比,6.03,,6.03%,2023,半边,联讯仪器IPO招股书申报稿(前五大客户表),https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3管线抽取+人工原文复核通过,|原等级:半边槽位
E100,"OharaQuartzCo.,Ltd.",仕佳光子,P004,P013,,,,"2017:3.35%(1,112.70万元)",2017,实边,仕佳光子招股说明书(注册稿),https://static.sse.com.cn/stock/disclosure/announcement/c/202006/000355_20200612_QODM.pdf,v1.6r终验(单位感知重装),v1.6r;第六节/五/（三）主要供应商，1-1-194;单位继承自原始抽取unit字段(修复轮F01)|多期打包待展开
E101,上海普恩化工有限公司,仕佳光子,P007,P013,,,,2019:2.97%(981.61万元),2019,实边,仕佳光子招股说明书(注册稿),https://static.sse.com.cn/stock/disclosure/announcement/c/202006/000355_20200612_QODM.pdf,v1.6r终验(单位感知重装),v1.6r;第六节/五/（三）主要供应商，1-1-194;单位继承自原始抽取unit字段(修复轮F01)|多期打包待展开
E102,上海景仓通信技术有限公司,仕佳光子,P008,P013,,,,"2018:4.71%(1,627.40万元)",2018,实边,仕佳光子招股说明书(注册稿),https://static.sse.com.cn/stock/disclosure/announcement/c/202006/000355_20200612_QODM.pdf,v1.6r终验(单位感知重装),v1.6r;第六节/五/（三）主要供应商，1-1-194;单位继承自原始抽取unit字段(修复轮F01)|多期打包待展开
E103,东莞福可喜玛通讯科技有限公司,仕佳光子,,P013,金额,6793155.35,元,"2025:(6,793,155.35元)",2025,实边,仕佳光子2025年年度报告,https://static.cninfo.com.cn/finalpage/2026-04-18/1225122538.PDF,v1.6r终验(单位感知重装),v1.6r;财务报告/关联交易/购销商品、提供和接受劳务的关联交;单位继承自原始抽取unit字段(修复轮F01)
E104,中国科学院半导体研究所,仕佳光子,,P013,,,,"2023:(3,405,309.69元)/2024:(3,200,000.15元)/2025:(4,500,000.00元)",2023-2025,实边,仕佳光子2025年年度报告,https://static.cninfo.com.cn/finalpage/2026-04-18/1225122538.PDF,v1.6r终验(单位感知重装),v1.6r;财务报告/关联交易/购销商品、提供和接受劳务的关联交;单位继承自原始抽取unit字段(修复轮F01)|多期打包待展开
E105,仕佳光子,AAOI,P013,,,,,"2019:3.55%(1,941.75万元)",2019,实边,仕佳光子招股说明书(注册稿),https://static.sse.com.cn/stock/disclosure/announcement/c/202006/000355_20200612_QODM.pdf,v1.6r终验(单位感知重装),v1.6r;第六节/四/（二）主要客户，1-1-188;单位继承自原始抽取unit字段(修复轮F01)|多期打包待展开
E106,仕佳光子,ALFAFONET ENDUSTRIYEL TELEKOM URUNLERI A.S.,P013,,,,,2017:12.51%（占境外主营业务收入）(169.33万元),2017,实边,仕佳光子招股说明书(注册稿),https://static.sse.com.cn/stock/disclosure/announcement/c/202006/000355_20200612_QODM.pdf,v1.6r终验(单位感知重装),v1.6r;第八节/九/（一）境外销售主要客户，1-1-310;单位继承自原始抽取unit字段(修复轮F01)|多期打包待展开
E107,仕佳光子,FOSTEC,P013,,,,,2018；2017:8.82%；19.18%（占境外主营业务收入）(187.04；259.70万元),2018；2017,实边,仕佳光子招股说明书(注册稿),https://static.sse.com.cn/stock/disclosure/announcement/c/202006/000355_20200612_QODM.pdf,v1.6r终验(单位感知重装),v1.6r;第八节/九/（一）境外销售主要客户，1-1-310;单位继承自原始抽取unit字段(修复轮F01)|多期打包待展开
