row_id,公司,cell_id,期间,出货量,单位,推导式,收入输入,收入锚,ASP输入,ASP锚,海关上限检,海关锚,产能天顶检,产能锚,证据等级,情景标记,校准实际值,误差,校准日期,检索日期
SE016,剑桥科技,MOD1,2025年度,91.116,万支,"2025年报产销量分析表直接披露(高速光模块:销售量911,160支(+156.11%)/生产量899,963支(+197.99%)/库存量148,567支(-7.01%);电信宽带9,975,987台/无线网络2,555,105台另列);高速光模块放量AI驱动",-,https://static.cninfo.com.cn/finalpage/2026-03-31/1225053610.PDF,-,-,-,-,"生产量899,963支≈销量911,160支(产销率101.3%,消化库存),通过",同锚,B,base,,,,2026-08-11
SE017,东山精密,MOD1/MOD3聚合,2025年度,279.33,万件,"2025年报产销量表直接披露(光模块:销售量2,793,339件;注记:本期新列示分类,2024年两列空白,无同比;原表仅写光模块,在册含MOD1/MOD3,不单归)",-,https://static.cninfo.com.cn/finalpage/2026-04-22/1225139318.PDF,-,-,-,-,-,-,B,base,,,,2026-08-11
SE018,福晶科技,行业聚合(D7在册),2025年度,3950397.00,片/个,"2025年报产销量表直接披露(光电子行业:销售量3,950,397.00片/个);注记:光电子行业聚合口径混合晶体/精密光学元件/激光器件,在册格仅D7;单位精确保留原表片/个",-,https://static.cninfo.com.cn/finalpage/2026-04-29/1225227139.pdf,-,-,"元件非终端模块,85177950口径不适用",-,-,-,B,base,,,,2026-08-11
SE019,蓝特光学,D7,2025年度,7731.20,万件,"2025年报产销量表直接披露(光学棱镜:销售量77,312,023件;透镜/晶圆另两线);注记:含非光通信应用口径",-,https://static.cninfo.com.cn/finalpage/2026-03-17/1225013060.PDF,-,-,-,-,-,-,B,base,,,,2026-08-11
SE020,腾景科技,D7/D11聚合,2025年度,8721.75,万件,"2025年报产销量表直接披露(精密光学元组件:销售量87,217,475.29 Pcs;光纤器件/测试仪器另两线);聚合注记:精密光学元组件口径(覆盖在册格D7透镜微光学/D11滤波片;光纤器件/测试仪器另列)",-,https://static.cninfo.com.cn/finalpage/2026-04-25/1225177429.PDF,-,-,"元件非终端模块,85177950口径不适用",-,-,-,B,base,,,,2026-08-11
SE021,长光华芯,C1/C2聚合,2025年度,231.78,万颗,"2025年报产销量表直接披露(VCSEL及光通讯芯片系列:生产量3,612,437颗/销售量2,317,812颗/库存856,748颗,销量同比+215.17%,已实现批量导入;产量含下道工序自用/研发领用/售后维修领用注记);聚合注记:覆盖在册格C1激光器芯片/C2 VCSEL",-,-,-,-,"芯片非终端模块,85177950口径不适用",-,"销量2,317,812颗≤产量3,612,437颗,通过",https://static.cninfo.com.cn/finalpage/2026-04-18/1225123248.PDF,B,base,,,2026-08-11 codex验收纠偏:此线初判误剔(高功率单管以工业为主不影响VCSEL及光通讯单列线),2026-08-11
SE022,意华股份,B2,2025年度,4153452.227,千只,"2025年报产销量表直接披露(连接器:销售量4,153,452.227千只(+11.45%)/生产量4,510,338.177千只/库存1,738,911.690千只);注记:连接器全口径含非光通信应用;收入为通讯连接器产品口径与销量全连接器口径不匹配,收入/ASP不入表",-,https://static.cninfo.com.cn/finalpage/2026-04-29/1225233182.PDF,-,-,-,-,"产销平衡(销4,153,452.227千只/产4,510,338.177千只),通过",同收入锚,B,base,,,,2026-08-11
SE023,阿石创,M3,2025年度,1932832.87,千克,"2025年报产销量表直接披露(溅射靶材:销售量1,932,832.87KG(-24.28%)/生产量1,948,551.14KG/库存121,386.16KG;营收569,195,007.92元);注记:靶材全口径含非光应用","569,195,007.92元(溅射靶材)",https://static.cninfo.com.cn/finalpage/2026-04-28/1225215863.PDF,隐含均价≈294.5元/千克,同收入锚,-,-,-,-,B,base,,,,2026-08-11
SE024,罗博特科,EQ3/EQ4/EQ7聚合,2025年度,119,台/套,"2025年报产销量表直接披露(光电子及半导体封测设备:销售量119台(套)/生产量121台(套)/库存11台(套);注记:本期新增该分类系ficonTEC并表,无2024同比;光伏设备另列132台但-89.85%)",-,https://static.cninfo.com.cn/finalpage/2026-03-31/1225059372.PDF,-,-,-,-,-,-,B,base,"2026-08-19公告:与美国纳斯达克上市公司I子公司签订量产化耦合设备合同1,620.65万美元(约1.09亿元,ficonTEC光子封测设备出海实证)",,,2026-08-11
SE025,凯格精机,EQ3,2025年度,6777,台,"2025年报产销量表直接披露(专用设备制造业:销售量6,777台(+11.91%)/生产量7,748台(+16.65%)/库存5,245台);注记:全口径含锡膏印刷机主业,光模块组装线未单列",-,https://static.cninfo.com.cn/finalpage/2026-04-28/1225202249.PDF,-,-,-,-,-,-,B,base,,,,2026-08-11
SE026,矽电股份,EQ6/EQ7聚合,2025年度,1326,台,"2025年报产销量表直接披露(专用设备:销售量1,326台(-20.26%)/生产量1,222台(-31.50%)/库存136台;营收418,847,439.78元;注记:下游资本开支减少)","418,847,439.78元(设备制造业)",https://static.cninfo.com.cn/finalpage/2026-04-22/1225138756.PDF,-,-,-,-,-,-,B,base,,,,2026-08-11
SE027,快克智能,EQ6,2025年度,623,台/套,2025年报产销量表直接披露(视觉检测制程设备:销售量623台/套(+19.58%)/生产量767台/套(+30.00%)/库存415台/套);注记:该行含光模块专用AOI(2024年报自述满足400G/800G/1.6T量产需求),-,https://static.cninfo.com.cn/finalpage/2026-04-24/1225173150.PDF,-,-,-,-,-,-,B,base,,,,2026-08-11
SE028,博敏电子,B1,2025年度,229.46,万平方米,"2025年报产销量表直接披露(印制电路板:销售量2,294,598.58平方米(-10.19%)/生产量2,374,223.15平方米/库存202,891.90平方米);注记:PCB全口径未拆光模块",-,https://static.cninfo.com.cn/finalpage/2026-04-28/1225210653.PDF,-,-,-,-,-,-,B,base,,,,2026-08-11
SE029,芯源微,EQ2,2025年度,274,台/套,2025年报产销量表直接披露(电子工艺装备:销售量274台/套(-11.33%)/生产量332台/套/库存199台/套(+41.13%);注记:大型机台占比增加致产量下降),-,https://static.cninfo.com.cn/finalpage/2026-04-18/1225120170.PDF,-,-,-,-,-,-,B,base,,,,2026-08-11
SE030,拓荆科技,EQ5,2025年度,250,台,"2025年报产销量表直接披露(半导体专用设备:销售量250台(+32.98%)/生产量316台/库存391台(主要为发出商品);营收6,295,533,874.95元)","6,295,533,874.95元",https://static.cninfo.com.cn/finalpage/2026-04-28/1225222226.PDF,-,-,-,-,-,-,B,base,,,,2026-08-11
SE031,博众精工,EQ3,2025年度,22676,台,"2025年报产销量表直接披露(自动化设备:销售量22,676台(+6.13%)/生产量23,512台/库存11,523台;营收588,424.40万元);注记:全口径含3C自动化主业,光模块共晶贴片机未单列","5,884,244,000元(自动化设备(线),588,424.40万元)",https://static.cninfo.com.cn/finalpage/2026-04-11/1225096862.PDF,-,-,-,-,-,-,B,base,,,,2026-08-11
SE032,斯瑞新材,B2,2025年度,328.70,万件,"2025年报产销量表直接披露(光模块芯片基座/壳体:销售量328.70万件(+164.00%)/生产量362.80万件(+201.00%)/库存31.86万件;注记:光模块专指产品线,订单及销售量稳步提升/产品开始批量供应)",-,https://static.cninfo.com.cn/finalpage/2026-04-28/1225214766.PDF,-,-,-,-,-,-,B,base,,,,2026-08-11
SE033,沪硅产业,M1,2025年度,641.63,万片,"2025年报产销量表直接披露(300mm半导体硅片:销售量641.63万片(+27.01%)/生产量773.70万片(+62.93%)/库存182.23万片(+221.65%);注记:300mm含SOI/普通硅片未拆,200mm另列)",-,https://static.cninfo.com.cn/finalpage/2026-04-17/1225114274.PDF,-,-,-,-,-,-,B,base,,,,2026-08-11
SE034,炬光科技,D7/D9聚合,2025年度,451.31,万件,"2025年报产销量表直接披露(半导体激光元器件和原材料:销售量4,513,091件(+514.16%)/生产量4,298,884件(+318.11%)/库存462,303件(-31.66%);注记:全口径含工业激光应用,光通信应用另见在册点)",-,https://static.cninfo.com.cn/finalpage/2026-04-29/1225227562.PDF,-,-,-,-,-,-,B,base,,,,2026-08-11
SE035,燕东微,C4,2025年度,122.86,万片,"2025年报产销量表直接披露(制造服务(晶圆代工):销售量122.86万片(+12.06%)/生产量130.09万片/库存12.29万片;注记:制造服务全口径,硅光SiN代工在其中但未单列)",-,https://static.cninfo.com.cn/finalpage/2026-04-29/1225238474.PDF,-,-,-,-,-,-,B,base,,,,2026-08-11
SE036,普源精电,EQ7,2025年度,141764,台,"2025年报产销量表直接披露(电子测试测量仪器:销售量141,764台(+12.17%)/生产量143,201台(+18.27%)/库存17,316台;注记:仪器全口径,光通信测试为其中应用)",-,https://static.cninfo.com.cn/finalpage/2026-03-26/1225031855.PDF,-,-,-,-,-,-,B,base,,,,2026-08-11
SE037,新益昌,EQ3,2025年度,2231,台,"2025年报产销量表直接披露(固晶机:销售量2,231台(-25.93%)/生产量2,258台(-40.09%)/库存2,861台;注记:以销定产订单减少,含LED固晶机主业,光通讯固晶为其中档位)",-,https://static.cninfo.com.cn/finalpage/2026-04-28/1225210169.PDF,-,-,-,-,-,-,B,base,,,,2026-08-11
SE038,奥特维,EQ6,2025年度,214,台,"2025年报产销量表直接披露(半导体设备:销售量214台(+256.67%)/生产量241台(+45.18%)/库存11台;注记:半导体设备含光模块AOI检测设备(获AAOI等批量订单,在册P205)",-,https://static.cninfo.com.cn/finalpage/2026-04-23/1225145661.PDF,-,-,-,-,-,-,B,base,,,,2026-08-11
SE039,三安光电,C1/C2/C3,2025年度,381.82,KK,"2025年报问询函回复(2026-08-10上交所监管问询)分产品产销表直接披露:光技术销售量381.82KK/生产量356.37KK/库存量92.50KK(KK=10^6,即销3.8182亿只),产销率107.14%/产能利用率39.08%/毛利率-14.12%;注记:光技术聚合含CW光源/EML/DFB/FP/VCSEL/PD等光芯片,cell边界C1/C2/C3;销量同比-13.9%(2024销443.62KK/2023销202.54KK);交叉验证:滤波器1,124.10+光技术356.37=年报集成电路产品KK行产1,480.47(销1,339.60/存460.01)逐列吻合","14,047.92万元(光技术,2025年报问询函回复)",https://static.cninfo.com.cn/finalpage/2026-08-10/1225465355.PDF,"隐含混合ASP≈0.368元/只(光技术聚合,量价同表同口径)",同收入锚,-,-,"产销率107.14%复算吻合(销381.82KK/产356.37KK);产能利用率39.08%同表披露,通过",同收入锚,B,base,,,,2026-08-12
SE040,中际旭创,MOD1,2024年度,1459,万只,"FY2024年报产销量表本期列直接披露(光通信模块:销1,459万只/产1,536万只/存254万只);与2025年报上年列双源对位一致","22,885,756,727.93元(中际旭创2024年报同节分产品表)",https://static.cninfo.com.cn/finalpage/2025-04-21/1223155483.PDF,隐含混合ASP≈1569元/只(2024量价同表口径),同收入锚,-,-,"产销率94.99%复算(销1459万只/产1536万只),通过",同收入锚,B,base,,,,2026-08-15
SE041,新易盛,MOD1,2024年度,877,万只,"FY2024年报产销量表本期列直接披露(光通信设备行业(2025年报口径:光互联产品):销877万只/产984万只/存144万只);与2025年报上年列双源对位一致;注:2025年报生产经营表""光互联产品""上年列营收8,599,038,645.17/毛利率44.85%,与FY2024分","8,646,831,134.32元(新易盛2024年报同节分产品表)",https://static.cninfo.com.cn/finalpage/2025-04-23/1223219348.PDF,隐含混合ASP≈986元/只(2024量价同表口径),同收入锚,-,-,"产销率89.13%复算(销877万只/产984万只),通过",同收入锚,B,base,,,,2026-08-15
SE042,天孚通信,D系聚合,2024年度,20876.67,万个,"FY2024年报产销量表本期列直接披露(光通信元器件:销20,876.67万个/产33,232.09万个/存6,866.51万个);与2025年报上年列双源对位一致","3,231,611,356.68元(天孚通信2024年报同节分产品表)",https://static.cninfo.com.cn/finalpage/2025-04-21/1223152632.PDF,隐含混合ASP≈15.48元/件(2024量价同表口径),同收入锚,-,-,"产销率62.82%复算(销20876.67万个/产33232.09万个),通过",同收入锚,B,base,,,,2026-08-15
SE043,长芯博创,MOD1,2024年度,1305.21,万件,"FY2024年报产销量表本期列直接披露(数据通信、消费及工业互联市场:销1,305.21万件/产1,394.72万件/存300.21万件);与2025年报上年列双源对位一致","1,073,840,710.92元(长芯博创2024年报同节分产品表)",https://static.cninfo.com.cn/finalpage/2025-03-28/1222925704.PDF,隐含混合ASP≈82.27元/件(2024量价同表口径),同收入锚,-,-,"产销率93.58%复算(销1305.21万件/产1394.72万件),通过",同收入锚,B,base,,,,2026-08-15
SE044,长芯博创,MOD3,2024年度,459.67,万件,FY2024年报产销量表本期列直接披露(电信市场:销459.67万件/产449.15万件/存22.80万件);与2025年报上年列双源对位一致,"669,682,029.81元(长芯博创2024年报同节分产品表)",https://static.cninfo.com.cn/finalpage/2025-03-28/1222925704.PDF,隐含混合ASP≈145.7元/件(2024量价同表口径),同收入锚,-,-,"产销率102.34%复算(销459.67万件/产449.15万件),通过",同收入锚,B,base,,,,2026-08-15
SE045,太辰光,D8/D9/D10聚合,2024年度,24101.52,万个,"FY2024年报产销量表本期列直接披露(光通信光器件产品(2025年报口径:光器件):销24,101.52万个/产25,632.07万个/存8,790.60万个);与2025年报上年列双源对位一致","1,320,596,413.31元(太辰光2024年报同节分产品表)",https://static.cninfo.com.cn/finalpage/2025-03-29/1222945632.PDF,隐含混合ASP≈5.479元/件(2024量价同表口径),同收入锚,-,-,"产销率94.03%复算(销24101.52万个/产25632.07万个),通过",同收入锚,B,base,,,,2026-08-15
SE046,光库科技,D6/D7/D8/D9/C6聚合,2024年度,387.1827,万件,"FY2024年报产销量表本期列直接披露(光通讯器件:销3,871,827件/产3,872,255件/存121,432件);与2025年报上年列双源对位一致","392,355,069.34元(光库科技2024年报同节分产品表)",https://static.cninfo.com.cn/finalpage/2025-03-29/1222950505.PDF,隐含混合ASP≈101.3元/件(2024量价同表口径),同收入锚,-,-,"产销率99.99%复算(销387.1827万件/产387.2255万件),通过",同收入锚,B,base,,,,2026-08-15
SE047,联特科技,MOD系聚合,2024年度,246,万只,"FY2024年报产销量表本期列直接披露(光通信行业(2025年报口径:光模块及受托加工光模块业务):销246万只/产251万只/存40万只);与2025年报上年列双源对位一致;口径注记:FY2024产销表行名为""光通信行业"",营收/毛利率取同节分行业表891,052,732.69/30.35%","891,052,732.69元(联特科技2024年报同节分产品表)",https://static.cninfo.com.cn/finalpage/2025-04-23/1223218412.PDF,隐含混合ASP≈362.2元/只(2024量价同表口径),同收入锚,-,-,"产销率98.01%复算(销246万只/产251万只),通过",同收入锚,B,base,,,,2026-08-15
SE048,阿莱德,B2,2024年度,8835.4231,万件,"FY2024年报产销量表本期列直接披露(通信设备零部件:销88,354,231 PCS/产88,579,668 PCS/存7,365,528 PCS);与2025年报上年列双源对位一致","316,234,885.23元(阿莱德2024年报同节分产品表)",https://static.cninfo.com.cn/finalpage/2025-04-21/1223141674.PDF,隐含混合ASP≈3.579元/件(2024量价同表口径),同收入锚,-,-,"产销率99.75%复算(销8835.4231万件/产8857.9668万件),通过",同收入锚,B,base,,,,2026-08-15
SE049,光迅科技,C1/C2/C3/C4/D3/D8/MOD1/MOD3/C6聚合,2024年度,25093.16,万只,"FY2024年报产销量表本期列直接披露(通讯设备制造业:销25,093.16万只/产27,838.05万只/存5,309.99万只);与2025年报上年列双源对位一致","8,229,975,580.87元(光迅科技2024年报同节分产品表)",https://static.cninfo.com.cn/finalpage/2025-04-24/1223234851.PDF,隐含混合ASP≈32.8元/只(2024量价同表口径),同收入锚,-,-,"产销率90.14%复算(销25093.16万只/产27838.05万只),通过",同收入锚,B,base,,,,2026-08-15
SE050,仕佳光子,C1/D1/D8/D9聚合,2024年度,10711.97,万只,"FY2024年报产销量表本期列直接披露(光芯片及器件:销10,711.97万只(同比反算)/产12,312.00万只(同比反算)/存1,045.78万只(同比反算));与2025年报上年列双源对位一致","606,346,946.80元(仕佳光子2024年报同节分产品表)",https://static.cninfo.com.cn/finalpage/2025-04-19/1223157242.PDF,隐含混合ASP≈5.66元/只(2024量价同表口径),同收入锚,-,-,"产销率87.00%复算(销10711.97万只/产12312万只),通过",同收入锚,B,base,,,,2026-08-15
SE051,德科立,MOD1/MOD2/MOD3/C6聚合,2024年度,1566829,支/套,"FY2024年报产销量表本期列直接披露(传输类:销1,566,829支/套(同比反算)/产1,818,248支/套(同比反算)/存232,667支/套(同比反算));与2025年报上年列双源对位一致","723,700,145.63元(德科立2024年报同节分产品表)",https://static.cninfo.com.cn/finalpage/2025-04-25/1223285628.PDF,隐含混合ASP≈461.9元/件(2024量价同表口径),同收入锚,-,-,"产销率86.17%复算(销1566829支/套/产1818248支/套),通过",同收入锚,B,base,,,,2026-08-15
SE052,剑桥科技,MOD1,2024年度,35.5764,万支,"FY2024年报产销量表本期列直接披露(高速光模块:销355,764支(同比反算)/产302,011支(同比反算)/存159,764支(同比反算));与2025年报上年列双源对位一致","491,527,421.68元(剑桥科技2024年报同节分产品表)",https://static.cninfo.com.cn/finalpage/2025-04-08/1223020234.PDF,隐含混合ASP≈1382元/件(2024量价同表口径),同收入锚,-,-,"产销率117.80%复算(销35.5764万支/产30.2011万支),通过",同收入锚,B,base,,,,2026-08-15
SE053,福晶科技,行业聚合(D7在册),2024年度,3282552,片/个,"FY2024年报产销量表本期列直接披露(光电子行业:销3,282,552.00片/个/产3,335,594.20片/个/存1,915,970.20片/个);与2025年报上年列双源对位一致","875,715,492.95元(福晶科技2024年报同节分产品表)",https://static.cninfo.com.cn/finalpage/2025-04-29/1223360523.PDF,隐含混合ASP≈266.8元/件(2024量价同表口径),同收入锚,-,-,"产销率98.41%复算(销3282552片/个/产3335594.2片/个),通过",同收入锚,B,base,,,,2026-08-15
SE054,蓝特光学,D7,2024年度,5211.3605,万件,"FY2024年报产销量表本期列直接披露(光学棱镜:销52,113,605件(同比反算)/产53,090,784件(同比反算)/存12,111,656件(同比反算));与2025年报上年列双源对位一致","653,903,403.19元(蓝特光学2024年报同节分产品表)",https://static.cninfo.com.cn/finalpage/2025-04-25/1223281663.PDF,隐含混合ASP≈12.55元/件(2024量价同表口径),同收入锚,-,-,"产销率98.16%复算(销5211.3605万件/产5309.0784万件),通过",同收入锚,B,base,,,,2026-08-15
SE055,腾景科技,D7/D11聚合,2024年度,6352.264902,万件,"FY2024年报产销量表本期列直接披露(精密光学元组件:销63,522,649.02 Pcs(同比反算)/产65,969,840.28 Pcs(同比反算)/存4,644,940.80 Pcs(同比反算));与2025年报上年列双源对位一致","355,148,338.35元(腾景科技2024年报同节分产品表)",https://static.cninfo.com.cn/finalpage/2025-03-22/1222868017.PDF,隐含混合ASP≈5.591元/件(2024量价同表口径),同收入锚,-,-,"产销率96.29%复算(销6352.264902万件/产6596.984028万件),通过",同收入锚,B,base,,,,2026-08-15
