edge_id,source_node_id,target_node_id,relation_type,route_scope,requiredness,evidence_ids,notes
SE-CLD-028,SN-PRC-402,SN-PRC-400,part_of,all,mandatory,,
SE-CLD-029,SN-PRC-403,SN-PRC-400,part_of,all,mandatory,,倒装互连方案中键合量减少但通常仍存在
SE-CLD-030,SN-PRC-404,SN-PRC-400,part_of,all,mandatory,,
SE-CLD-031,SN-PRC-404A,SN-PRC-404,part_of,all,optional,,与无源耦合互为替代路径
SE-CLD-032,SN-PRC-404B,SN-PRC-404,part_of,all,optional,,与有源耦合互为替代路径
SE-CLD-033,SN-PRC-405,SN-PRC-400,part_of,all,mandatory,,
SE-CLD-034,SN-PRC-406,SN-PRC-400,part_of,all,mandatory,,
SE-CLD-035,SN-PRC-501,SN-PRC-500,part_of,all,mandatory,,
SE-CLD-036,SN-PRC-502,SN-PRC-500,part_of,all,mandatory,,
SE-CLD-037,SN-PRC-503,SN-PRC-500,part_of,all,unknown,,全检还是抽检待核
SE-CLD-038,SN-PRC-504,SN-PRC-500,part_of,all,mandatory,,
SE-CLD-039,SN-PRC-505,SN-PRC-500,part_of,800G-2xFR4;400ZR,route_specific,,DR8可能仅抽检光谱、待核
SE-CLD-040,SN-PRC-506,SN-PRC-500,part_of,400ZR,route_specific,,
SE-CLD-041,SN-PRC-507,SN-PRC-500,part_of,all,mandatory,,
SE-CLD-042,SN-PRC-101,SN-PRC-102,precedes,all,mandatory,,DFB光栅位于外延层间、实际为外延-光栅-再生长交织、此处线性化简化
SE-CLD-043,SN-PRC-102,SN-PRC-103,precedes,all,mandatory,,
SE-CLD-044,SN-PRC-103,SN-PRC-104,precedes,all,mandatory,,实际光刻-刻蚀多轮循环、此处简化为单次
SE-CLD-045,SN-PRC-104,SN-PRC-105,precedes,all,optional,,脊波导流程跳过SN-PRC-105直接进入SN-PRC-106
SE-CLD-046,SN-PRC-105,SN-PRC-106,precedes,all,optional,,
SE-CLD-047,SN-PRC-104,SN-PRC-106,precedes,all,optional,,无掩埋再生长时的直连路径
SE-CLD-048,SN-PRC-106,SN-PRC-107,precedes,all,mandatory,,
SE-CLD-049,SN-PRC-107,SN-PRC-108,precedes,all,mandatory,,
SE-CLD-050,SN-PRC-108,SN-PRC-109,precedes,all,mandatory,,
SE-CLD-051,SN-PRC-109,SN-PRC-110,precedes,all,mandatory,,
SE-CLD-052,SN-PRC-110,SN-PRC-111,precedes,all,mandatory,,
SE-CLD-053,SN-PRC-201,SN-PRC-202,precedes,800G-DR8;400ZR,mandatory,,实际代工流程中注入与图形化交织、此处线性化简化
SE-CLD-054,SN-PRC-202,SN-PRC-203,precedes,800G-DR8;400ZR,mandatory,,
SE-CLD-055,SN-PRC-203,SN-PRC-204,precedes,800G-DR8;400ZR,mandatory,,
SE-CLD-056,SN-PRC-204,SN-PRC-205,precedes,800G-DR8;400ZR,mandatory,,
SE-CLD-057,SN-PRC-205,SN-PRC-206,precedes,800G-DR8;400ZR,mandatory,,
SE-CLD-058,SN-PRC-100,SN-PRC-300,precedes,all,mandatory,,芯片层到组件层的阶段先后
SE-CLD-059,SN-PRC-200,SN-PRC-300,precedes,800G-DR8;400ZR,route_specific,,
SE-CLD-060,SN-PRC-300,SN-PRC-400,precedes,all,mandatory,,
SE-CLD-061,SN-PRC-400,SN-PRC-500,precedes,all,mandatory,,
SE-CLD-062,SN-PRC-111,SN-PRC-301,precedes,all,mandatory,,III-V芯片流入组件封装的分支汇合点
SE-CLD-063,SN-PRC-206,SN-PRC-303,precedes,800G-DR8;400ZR,route_specific,,硅光die流入倒装键合的分支汇合点
SE-CLD-064,SN-PRC-206,SN-PRC-307,precedes,800G-DR8;400ZR,route_specific,,
SE-CLD-065,SN-PRC-301,SN-PRC-302,precedes,all,mandatory,,
SE-CLD-066,SN-PRC-302,SN-PRC-309,precedes,all,mandatory,,
SE-CLD-067,SN-PRC-303,SN-PRC-307,precedes,800G-DR8;400ZR,unknown,,先电互连后光源集成为一种常见顺序、实际依方案而定
SE-CLD-068,SN-PRC-304,SN-PRC-404,precedes,all,mandatory,,光学元件备料线汇入耦合总成
SE-CLD-069,SN-PRC-305,SN-PRC-404,precedes,800G-2xFR4,route_specific,,合分波组件汇入耦合总成
SE-CLD-070,SN-PRC-306,SN-PRC-404,precedes,all,mandatory,,光纤阵列备料线汇入耦合总成
SE-CLD-071,SN-PRC-401,SN-PRC-402,precedes,all,mandatory,,
SE-CLD-072,SN-PRC-402,SN-PRC-403,precedes,all,mandatory,,
SE-CLD-073,SN-PRC-403,SN-PRC-404,precedes,all,mandatory,,
SE-CLD-074,SN-PRC-404,SN-PRC-405,precedes,all,mandatory,,
SE-CLD-075,SN-PRC-405,SN-PRC-406,precedes,all,mandatory,,
SE-CLD-076,SN-PRC-406,SN-PRC-501,precedes,all,mandatory,,
SE-CLD-077,SN-PRC-501,SN-PRC-502,precedes,all,mandatory,,
SE-CLD-078,SN-PRC-502,SN-PRC-503,precedes,all,unknown,,温循是否100%在线待核
SE-CLD-079,SN-PRC-503,SN-PRC-504,precedes,all,unknown,,
SE-CLD-080,SN-PRC-502,SN-PRC-504,precedes,all,optional,,温循为抽检时的直连路径
SE-CLD-081,SN-PRC-504,SN-PRC-505,precedes,800G-2xFR4;400ZR,route_specific,,
SE-CLD-082,SN-PRC-505,SN-PRC-506,precedes,400ZR,route_specific,,
SE-CLD-083,SN-PRC-506,SN-PRC-507,precedes,400ZR,route_specific,,
SE-CLD-084,SN-PRC-504,SN-PRC-507,precedes,800G-DR8,route_specific,,DR8无强制波长栅格测试时的直连路径
SE-CLD-085,SN-PRC-505,SN-PRC-507,precedes,800G-2xFR4,route_specific,,
SE-CLD-086,SN-PRC-100,SN-PRC-200,alternative_to,800G-DR8,route_specific,,仅指DR8光引擎实现路径互替(EML方案vs硅光方案);400ZR中两者互补(可调光源为III-V、引擎多为硅光)、FR4通常仅用III-V
SE-CLD-087,SN-PRC-404A,SN-PRC-404B,alternative_to,all,optional,,依产品设计与产能策略选择;高速模块以有源耦合为主(假设)
SE-CLD-088,SN-PRC-101,SN-EQC-01,enabled_by,all,mandatory,,
SE-CLD-089,SN-PRC-105,SN-EQC-01,enabled_by,all,mandatory,,
SE-CLD-090,SN-PRC-102,SN-EQC-04,enabled_by,all,mandatory,,
SE-CLD-091,SN-PRC-102,SN-EQC-05,enabled_by,all,mandatory,,光栅刻蚀
SE-CLD-092,SN-PRC-103,SN-EQC-03,enabled_by,all,mandatory,,
SE-CLD-093,SN-PRC-104,SN-EQC-05,enabled_by,all,mandatory,,
SE-CLD-094,SN-PRC-106,SN-EQC-06,enabled_by,all,mandatory,,
SE-CLD-095,SN-PRC-107,SN-EQC-08,enabled_by,all,mandatory,,
SE-CLD-096,SN-PRC-108,SN-EQC-09,enabled_by,all,mandatory,,
SE-CLD-097,SN-PRC-109,SN-EQC-10,enabled_by,all,mandatory,,
SE-CLD-098,SN-PRC-110,SN-EQC-11,enabled_by,all,mandatory,,
SE-CLD-099,SN-PRC-110,SN-EQC-24,enabled_by,all,mandatory,,芯片光谱测试
SE-CLD-100,SN-PRC-111,SN-EQC-21,enabled_by,all,mandatory,,芯片级老化设备与模块级形态不同、本轮同类
SE-CLD-101,SN-PRC-201,SN-EQC-03,enabled_by,800G-DR8;400ZR,mandatory,,硅光用DUV档次光刻
SE-CLD-102,SN-PRC-201,SN-EQC-05,enabled_by,800G-DR8;400ZR,mandatory,,
SE-CLD-103,SN-PRC-202,SN-EQC-07,enabled_by,800G-DR8;400ZR,mandatory,,
SE-CLD-104,SN-PRC-203,SN-EQC-02,enabled_by,800G-DR8;400ZR,mandatory,,
SE-CLD-105,SN-PRC-204,SN-EQC-06,enabled_by,800G-DR8;400ZR,mandatory,,
SE-CLD-106,SN-PRC-205,SN-EQC-11,enabled_by,800G-DR8;400ZR,mandatory,,
SE-CLD-107,SN-PRC-206,SN-EQC-08,enabled_by,800G-DR8;400ZR,mandatory,,
SE-CLD-108,SN-PRC-206,SN-EQC-09,enabled_by,800G-DR8;400ZR,mandatory,,
SE-CLD-109,SN-PRC-301,SN-EQC-12,enabled_by,all,mandatory,,
SE-CLD-110,SN-PRC-302,SN-EQC-14,enabled_by,all,mandatory,,
SE-CLD-111,SN-PRC-303,SN-EQC-13,enabled_by,800G-DR8;400ZR,mandatory,,
SE-CLD-112,SN-PRC-304,SN-EQC-15,enabled_by,all,mandatory,,透镜等元件装配依赖对准平台
SE-CLD-113,SN-PRC-305,SN-EQC-15,enabled_by,800G-2xFR4,mandatory,,
SE-CLD-114,SN-PRC-306,SN-EQC-16,enabled_by,all,mandatory,,
SE-CLD-115,SN-PRC-307,SN-EQC-12,enabled_by,800G-DR8;400ZR,mandatory,,
SE-CLD-116,SN-PRC-307,SN-EQC-15,enabled_by,800G-DR8;400ZR,mandatory,,
SE-CLD-117,SN-PRC-308,SN-EQC-19,enabled_by,400ZR,mandatory,,
SE-CLD-118,SN-PRC-309,SN-EQC-11,enabled_by,all,mandatory,,
SE-CLD-119,SN-PRC-401,SN-EQC-20,enabled_by,all,mandatory,,
SE-CLD-120,SN-PRC-402,SN-EQC-12,enabled_by,all,mandatory,,
SE-CLD-121,SN-PRC-403,SN-EQC-14,enabled_by,all,mandatory,,
SE-CLD-122,SN-PRC-404A,SN-EQC-15,enabled_by,all,mandatory,,
SE-CLD-123,SN-PRC-404B,SN-EQC-12,enabled_by,all,unknown,,无源耦合依赖高精度贴装与机器视觉、设备归类待核
SE-CLD-124,SN-PRC-405,SN-EQC-17,enabled_by,all,mandatory,,
SE-CLD-125,SN-PRC-405,SN-EQC-18,enabled_by,all,mandatory,,
SE-CLD-126,SN-PRC-501,SN-EQC-23,enabled_by,all,mandatory,,
SE-CLD-127,SN-PRC-501,SN-EQC-25,enabled_by,400ZR,route_specific,,相干校准需相干测试仪器
SE-CLD-128,SN-PRC-502,SN-EQC-21,enabled_by,all,mandatory,,
SE-CLD-129,SN-PRC-503,SN-EQC-22,enabled_by,all,mandatory,,
SE-CLD-130,SN-PRC-504,SN-EQC-23,enabled_by,all,mandatory,,
SE-CLD-131,SN-PRC-505,SN-EQC-24,enabled_by,800G-2xFR4;400ZR,mandatory,,
SE-CLD-132,SN-PRC-506,SN-EQC-25,enabled_by,400ZR,mandatory,,
SE-CLD-133,SN-PRC-507,SN-EQC-26,enabled_by,all,unknown,,AOI是否全流程标配待核
