edge_id,source_node_id,target_node_id,relation_type,route_scope,requiredness,evidence_ids,notes
SE-RT-DR8-SIPH,SN-ROUTE-800G-DR8,SN-COMP-SIPH-TX,requires,SN-ROUTE-800G-DR8,optional,,替代路径
SE-RT-DR8-MPO,SN-ROUTE-800G-DR8,SN-COMP-MPO-RECEPTACLE,requires,SN-ROUTE-800G-DR8,mandatory,,
SE-RT-DR8-PIN,SN-ROUTE-800G-DR8,SN-COMP-PIN-PD,requires,SN-ROUTE-800G-DR8,mandatory,,
SE-RT-DR8-DSP,SN-ROUTE-800G-DR8,SN-COMP-DD-DSP,requires,SN-ROUTE-800G-DR8,mandatory,,
SE-RT-2X-EML,SN-ROUTE-800G-2XFR4,SN-COMP-EML-CWDM4,requires,SN-ROUTE-800G-2XFR4,route_specific,,
SE-RT-2X-MUX,SN-ROUTE-800G-2XFR4,SN-COMP-CWDM-MUXDEMUX,requires,SN-ROUTE-800G-2XFR4,mandatory,,
SE-RT-2X-LC,SN-ROUTE-800G-2XFR4,SN-COMP-LC-RECEPTACLE,requires,SN-ROUTE-800G-2XFR4,mandatory,,
SE-RT-2X-PIN,SN-ROUTE-800G-2XFR4,SN-COMP-PIN-PD,requires,SN-ROUTE-800G-2XFR4,mandatory,,
SE-RT-2X-DSP,SN-ROUTE-800G-2XFR4,SN-COMP-DD-DSP,requires,SN-ROUTE-800G-2XFR4,mandatory,,
SE-RT-ZR-ITL,SN-ROUTE-400ZR,SN-COMP-ITL,requires,SN-ROUTE-400ZR,mandatory,,
SE-RT-ZR-IQ,SN-ROUTE-400ZR,SN-COMP-IQ-MOD,requires,SN-ROUTE-400ZR,mandatory,,
SE-RT-ZR-ICR,SN-ROUTE-400ZR,SN-COMP-ICR,requires,SN-ROUTE-400ZR,mandatory,,
SE-RT-ZR-DSP,SN-ROUTE-400ZR,SN-COMP-COH-DSP,requires,SN-ROUTE-400ZR,mandatory,,
SE-MAT-EML-INP,SN-COMP-EML-1310,SN-MAT-INP,uses_material,SN-ROUTE-800G-DR8,route_specific,,
SE-MAT-CWDMEML-INP,SN-COMP-EML-CWDM4,SN-MAT-INP,uses_material,SN-ROUTE-800G-2XFR4,route_specific,,
SE-MAT-PIN-INP,SN-COMP-PIN-PD,SN-MAT-INP,uses_material,SN-ROUTE-800G-DR8;SN-ROUTE-800G-2XFR4,route_specific,,PIN亦常见InGaAs/InP系
SE-MAT-SIPH-PLAT,SN-COMP-SIPH-TX,SN-MAT-SI-PLATFORM,uses_material,SN-ROUTE-800G-DR8,optional,,
SE-MAT-DSPDD-SI,SN-COMP-DD-DSP,SN-MAT-SIGE-CMOS,uses_material,SN-ROUTE-800G-DR8;SN-ROUTE-800G-2XFR4,mandatory,,
SE-MAT-COHDSP-SI,SN-COMP-COH-DSP,SN-MAT-SIGE-CMOS,uses_material,SN-ROUTE-400ZR,mandatory,,
SE-MAT-TIA-SI,SN-COMP-TIA,SN-MAT-SIGE-CMOS,uses_material,SN-ROUTE-800G-DR8;SN-ROUTE-800G-2XFR4,mandatory,,
SE-MAT-MUX-SILICA,SN-COMP-CWDM-MUXDEMUX,SN-MAT-SILICA-FILTER,uses_material,SN-ROUTE-800G-2XFR4,route_specific,,薄膜/PLC等
SE-MAT-IQ-INP,SN-COMP-IQ-MOD,SN-MAT-INP,uses_material,SN-ROUTE-400ZR,optional,,InP PIC为常见实现之一；硅光调制亦可能
SE-ALT-EML-SIPH,SN-COMP-EML-1310,SN-COMP-SIPH-TX,alternative_to,SN-ROUTE-800G-DR8,optional,,DR8发送实现二选一常见分叉
SE-ALT-PAR-CWDM,SN-FN-PARALLEL-FIBER,SN-FN-CWDM-MUX,alternative_to,SN-ROUTE-800G-DR8;SN-ROUTE-800G-2XFR4,route_specific,,空间复用 vs 波分；分属不同产品路线
