queue_id,发现算子,对象类型,对象,发现证据(URL/出处),发现日期,待验证T1路径,状态,闸裁决,闸裁决人,闸裁决时间戳,裁决理由,备注
DQ-CD-006,customs_diff,flow_anomaly,墨西哥,flows/out/customs-partners.csv 自算（2025H1 vs 2026H1，USD）,2026-07-24,按省份分拆+台账节点定位对应该伙伴国的主要出口主体，定向检索其产能/募投/环评披露；海关量为旁证不承重,待闸,,,,,"2025H1=105,406,911 → 2026H1=231,874,180 USD，Δ=+126,467,269（+120.0%）"
DQ-CD-007,customs_diff,flow_anomaly,挪威,flows/out/customs-partners.csv 自算（2025H1 vs 2026H1，USD）,2026-07-24,按省份分拆+台账节点定位对应该伙伴国的主要出口主体，定向检索其产能/募投/环评披露；海关量为旁证不承重,待闸,,,,,"2025H1=8,700,897 → 2026H1=3,208,487 USD，Δ=-5,492,410（-63.1%）"
DQ-CD-008,customs_diff,flow_anomaly,日本,flows/out/customs-partners.csv 自算（2025H1 vs 2026H1，USD）,2026-07-24,按省份分拆+台账节点定位对应该伙伴国的主要出口主体，定向检索其产能/募投/环评披露；海关量为旁证不承重,待闸,,,,,"2025H1=17,106,699 → 2026H1=40,549,657 USD，Δ=+23,442,958（+137.0%）"
DQ-CD-009,customs_diff,flow_anomaly,爱尔兰,flows/out/customs-partners.csv 自算（2025H1 vs 2026H1，USD）,2026-07-24,按省份分拆+台账节点定位对应该伙伴国的主要出口主体，定向检索其产能/募投/环评披露；海关量为旁证不承重,待闸,,,,,"2025H1=93,729,721 → 2026H1=11,593,946 USD，Δ=-82,135,775（-87.6%）"
DQ-CD-010,customs_diff,flow_anomaly,美国,flows/out/customs-partners.csv 自算（2025H1 vs 2026H1，USD）,2026-07-24,按省份分拆+台账节点定位对应该伙伴国的主要出口主体，定向检索其产能/募投/环评披露；海关量为旁证不承重,待闸,,,,,"2025H1=674,845,614 → 2026H1=235,462,089 USD，Δ=-439,383,525（-65.1%）"
DQ-CD-011,customs_diff,flow_anomaly,菲律宾,flows/out/customs-partners.csv 自算（2025H1 vs 2026H1，USD）,2026-07-24,按省份分拆+台账节点定位对应该伙伴国的主要出口主体，定向检索其产能/募投/环评披露；海关量为旁证不承重,待闸,,,,,"2025H1=8,981,137 → 2026H1=3,162,918 USD，Δ=-5,818,219（-64.8%）"
DQ-CD-012,customs_diff,flow_anomaly,阿联酋,flows/out/customs-partners.csv 自算（2025H1 vs 2026H1，USD）,2026-07-24,按省份分拆+台账节点定位对应该伙伴国的主要出口主体，定向检索其产能/募投/环评披露；海关量为旁证不承重,待闸,,,,,"2025H1=9,361,632 → 2026H1=21,594,804 USD，Δ=+12,233,172（+130.7%）"
DQ-CD-013,customs_diff,flow_anomaly,韩国,flows/out/customs-partners.csv 自算（2025H1 vs 2026H1，USD）,2026-07-24,按省份分拆+台账节点定位对应该伙伴国的主要出口主体，定向检索其产能/募投/环评披露；海关量为旁证不承重,待闸,,,,,"2025H1=19,272,175 → 2026H1=29,898,849 USD，Δ=+10,626,674（+55.1%）"
DQ-CD-014,customs_diff,flow_anomaly,马来西亚,flows/out/customs-partners.csv 自算（2025H1 vs 2026H1，USD）,2026-07-24,按省份分拆+台账节点定位对应该伙伴国的主要出口主体，定向检索其产能/募投/环评披露；海关量为旁证不承重,待闸,,,,,"2025H1=756,716,958 → 2026H1=1,432,598,334 USD，Δ=+675,881,376（+89.3%）"
DQ-BOM-MOCK-001,bom_scan,company,MOCK-示例主体甲,MOCK（schema 占位，非真实检索结果）,MOCK,MOCK：命中段落上下文 → 判定闸（六类裁决）,待闸,,,,,词表出处：MOCK-词表-v0（占位）；MOCK 行不得引用
DQ-BFS-MOCK-001,bfs_jump,company,MOCK-示例主体乙,MOCK（接口占位：真实实现以新入账公开主体证券代码枚举其当期核心披露的交易对手段落）,MOCK,MOCK：证券代码 → 核心披露 → 对手方段落 → 判定闸,待闸,,,,,触发=新入账公开主体；MOCK 行不得引用
